Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0007411,axon guidance,19_GO:0032502 developmental process,-5.4,3.4,5.8,30230,232,729,19,2.6,0.59,1946|1947|1948|1949|2044|2049|2737|4756|4854|4917|6091|6092|6387|9723|10501|23767|57549|57715|89884,EFNA5|EFNB1|EFNB2|EFNB3|EPHA5|EPHB3|GLI3|NEO1|NOTCH3|NTN3|ROBO1|ROBO2|CXCL12|SEMA3E|SEMA6B|FLRT3|IGSF9|SEMA4G|LHX4,-2.8
MyList,GO Biological Processes,19,GO:0071824,protein-DNA complex organization,19_GO:0009987 cellular process,-5.4,3.4,5.8,30230,232,729,19,2.6,0.59,2961|3007|3014|6874|6880|6881|6882|6925|10001|29079|29855|54107|83860|112950|119392|129685|144108|219541|375757,GTF2E2|H1-3|H2AX|TAF4|TAF9|TAF10|TAF11|TCF4|MED6|MED4|UBN1|POLE3|TAF3|MED8|SFR1|TAF8|SPTY2D1|MED19|SWI5,-2.8
MyList,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-5.4,2.3,5.3,30230,650,729,36,4.9,0.8,1946|1948|1949|2039|2049|3383|4734|4739|4756|6091|6092|6383|6387|6696|6792|8766|9139|9760|10413|10602|11135|22871|23247|26037|26039|50487|51199|65009|65078|81565|84079|84260|116840|148170|162427|221914,EFNA5|EFNB2|EFNB3|DMTN|EPHB3|ICAM1|NEDD4|NEDD9|NEO1|ROBO1|ROBO2|SDC2|CXCL12|SPP1|CDKL5|RAB11A|CBFA2T2|TOX|YAP1|CDC42EP3|CDC42EP1|NLGN1|KATNIP|SIPA1L1|SS18L1|PLA2G3|NIN|NDRG4|RTN4R|NDEL1|ANKRD27|TCHP|CNTROB|CDC42EP5|RETREG3|GPC2,-2.8
MyList,Reactome Gene Sets,6,R-HSA-674695,RNA Polymerase II Pre-transcription Events,,-5.4,5.6,6.5,30230,82,729,11,1.5,0.45,904|2961|4300|6874|6880|6881|6882|27125|51616|83860|129685,CCNT1|GTF2E2|MLLT3|TAF4|TAF9|TAF10|TAF11|AFF4|TAF9B|TAF3|TAF8,-2.8
MyList,GO Molecular Functions,21,GO:0015631,tubulin binding,,-5.3,2.7,5.4,30230,396,729,26,3.6,0.69,4744|8766|9857|10018|10297|10749|22983|23247|25876|26146|29911|51199|51308|54462|54820|65055|79884|80817|81565|84080|84140|84722|147700|152206|256714|644150,NEFH|RAB11A|CEP350|BCL2L11|APC2|KIF1C|MAST1|KATNIP|SPEF1|TRAF3IP1|HOOK2|NIN|REEP2|CCSER2|NDE1|REEP1|MAP9|CEP44|NDEL1|ENKD1|FAM161A|PSRC1|KLC3|CCDC13|MAP7D2|WIPF3,-2.7
MyList,GO Cellular Components,20,GO:0000123,histone acetyltransferase complex,,-5.3,5,6.3,30230,99,729,12,1.6,0.47,71|6874|6880|6881|10524|11143|26009|51562|51616|54107|284058|339287,ACTG1|TAF4|TAF9|TAF10|KAT5|KAT7|ZZZ3|MBIP|TAF9B|POLE3|KANSL1|MSL1,-2.7
MyList,Reactome Gene Sets,6,R-HSA-6806942,MET Receptor Activation,,-5.3,28,10,30230,6,729,4,0.55,0.27,3082|3083|6692|10653,HGF|HGFAC|SPINT1|SPINT2,-2.7
MyList,GO Biological Processes,19,GO:0031399,regulation of protein modification process,19_GO:0050789 regulation of biological process,-5.3,2.3,5.2,30230,656,729,36,4.9,0.8,575|819|868|904|1026|1389|1489|2039|3479|3597|4216|4739|5606|7060|9113|9759|10010|10318|10362|10524|11170|26009|26146|26272|27338|29108|29997|51149|51562|54552|54984|55859|79058|80254|84335|131377,ADGRB1|CAMLG|CBLB|CCNT1|CDKN1A|CREBL2|CTF1|DMTN|IGF1|IL13RA1|MAP3K4|NEDD9|MAP2K3|THBS4|LATS1|HDAC4|TANK|TNIP1|HMG20B|KAT5|FAM107A|ZZZ3|TRAF3IP1|FBXO4|UBE2S|PYCARD|NOP53|MRNIP|MBIP|GNL3L|PINX1|BEX1|ASPSCR1|CEP63|AKT1S1|KLHL40,-2.7
MyList,KEGG Pathway,24,hsa03082,ATP-dependent chromatin remodeling,,-5.3,4.6,6.1,30230,117,729,13,1.8,0.49,71|605|3014|10524|23506|26039|29998|54107|54815|65980|83444|124944|283899,ACTG1|BCL7A|H2AX|KAT5|BICRAL|SS18L1|BICRA|POLE3|GATAD2A|BRD9|INO80B|BACC1|INO80E,-2.7
MyList,Reactome Gene Sets,6,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,,-5.3,8.1,7.1,30230,41,729,8,1.1,0.39,1634|2719|4060|4969|6383|10082|63827|221914,DCN|GPC3|LUM|OGN|SDC2|GPC6|BCAN|GPC2,-2.7
MyList,CORUM,33,CORUM:514,TFIID-beta complex,,-5.3,17,8.9,30230,12,729,5,0.69,0.31,6874|6880|6881|6882|51616,TAF4|TAF9|TAF10|TAF11|TAF9B,-2.7
MyList,Reactome Gene Sets,6,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,,-5.3,12,8,30230,20,729,6,0.82,0.33,1634|2719|6383|10082|63827|221914,DCN|GPC3|SDC2|GPC6|BCAN|GPC2,-2.7
MyList,Reactome Gene Sets,6,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",,-5.3,12,8,30230,20,729,6,0.82,0.33,1634|2719|6383|10082|63827|221914,DCN|GPC3|SDC2|GPC6|BCAN|GPC2,-2.7
MyList,Reactome Gene Sets,6,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,,-5.3,12,8,30230,20,729,6,0.82,0.33,1634|2719|6383|10082|63827|221914,DCN|GPC3|SDC2|GPC6|BCAN|GPC2,-2.7
MyList,GO Molecular Functions,21,GO:0016922,nuclear receptor binding,,-5.2,4.2,5.9,30230,138,729,14,1.9,0.51,6777|6881|6882|6934|7041|8805|9113|9325|9326|9611|23054|27086|29079|55791,STAT5B|TAF10|TAF11|TCF7L2|TGFB1I1|TRIM24|LATS1|TRIP4|ZNHIT3|NCOR1|NCOA6|FOXP1|MED4|LRIF1,-2.6
MyList,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-5.2,2.4,5.2,30230,531,729,31,4.3,0.75,71|2002|3082|3083|3400|3479|3667|4734|5125|5782|5978|6387|6457|6464|6692|6696|6777|6938|7059|7060|7424|8660|9611|9846|10252|10413|10653|23767|26469|30011|80310,ACTG1|ELK1|HGF|HGFAC|ID4|IGF1|IRS1|NEDD4|PCSK5|PTPN12|REST|CXCL12|SH3GL3|SHC1|SPINT1|SPP1|STAT5B|TCF12|THBS3|THBS4|VEGFC|IRS2|NCOR1|GAB2|SPRY1|YAP1|SPINT2|FLRT3|PTPN18|SH3KBP1|PDGFD,-2.6
