"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"KRTCAP2","KRTCAP2","Q8N6L1","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.69,0.605,1.62,0.00148862276872865,4.3,0.516619343609634,1.01,0.000325850045743396,5.31
"MAN1A1","MAN1A1","P33908","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.351,0.847,0.27,0.00136816534149538,1.2,0.163913147678732,-0.577,0.0682033009109569,0.621
"SEC61A1","SEC61A1","P61619","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.36,0.209,0.224,0.00167598965363695,1.57,0.984396169245763,0.0153,0.00196035181943841,1.59
"STT3A","STT3A","P46977","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.14,-0.145,0.341,0.00113422439843118,0.992,0.14450477169844,0.485,3.10146310286469e-05,1.48
"DDOST","DDOST","P39656","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.838,-0.219,0.134,0.00305585971133583,0.619,0.144812611032217,0.353,9.55522963883215e-05,0.972
"RPN1","RPN1","P04843","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.01,-0.158,0.0981,0.00398553640594122,0.85,0.470863523803623,0.256,0.000746714577106405,1.11
"RPN2","RPN2","P04844","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.99,-0.0558,-0.0329,0.00624455602429172,0.934,0.965742198477802,0.0228,0.00717974319239091,0.957
"SEC23A","SEC23A","Q15436","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.542,0.38,-0.172,0.0057871187680876,0.921,0.166359318306074,-0.552,0.255651366689112,0.369
"SEC23B","SEC23B","Q15437","ER-associated",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.783,0.262,-0.208,0.00323916637851432,1.04,0.249881135292669,-0.469,0.0883387832597245,0.575
"DNAJC10","DNAJC10","Q8IXB1","ER-associated",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.883,0.0119,0.313,0.00220952199087517,0.894,0.369921174849146,0.301,0.000272410289186622,1.2
