_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,hsa00100,Steroid biosynthesis,M1,1,0
1,-3.8,GO:0007059,chromosome segregation,M1,1,0
1,-2.5,hsa04070,Phosphatidylinositol signaling system,M1,1,0
1,-5.4,hsa05161,Hepatitis B,M1,1,0
1,-4.2,R-HSA-9612973,Autophagy,M1,1,0
1,-5.4,GO:0031968,organelle outer membrane,M1,1,0
1,-7,GO:1990928,response to amino acid starvation,M1,1,0
1,-4.4,GO:0005778,peroxisomal membrane,M1,1,0
1,-3.1,GO:0042552,myelination,M1,1,0
1,-4.9,R-HSA-193648,NRAGE signals death through JNK,M1,1,0
1,-2.1,WP4155,Endometrial cancer,M1,1,0
1,-2.8,GO:0098803,respiratory chain complex,M1,1,0
1,-2,GO:2000377,regulation of reactive oxygen species metabolic process,M1,1,0
1,-2,GO:0018279,protein N-linked glycosylation via asparagine,M1,1,0
1,-3.3,GO:0051561,positive regulation of mitochondrial calcium ion concentration,M1,1,0
1,-6,R-HSA-9639288,Amino acids regulate mTORC1,M1,1,0
1,-5.6,GO:0061919,process utilizing autophagic mechanism,M1,1,0
1,-3.4,WP35,G protein signaling,M1,1,0
1,-4.2,GO:0009142,nucleoside triphosphate biosynthetic process,M1,1,0
1,-3.3,GO:0140112,extracellular vesicle biogenesis,M1,1,0
1,-2.6,M83,PID CDC42 REG PATHWAY,M1,1,0
1,-2.3,GO:0006352,DNA-templated transcription initiation,M1,1,0
1,-3,R-HSA-9711097,Cellular response to starvation,M1,1,0
1,-7,GO:0051603,proteolysis involved in protein catabolic process,M1,1,0
1,-2,hsa04912,GnRH signaling pathway,M1,1,0
1,-2.2,GO:0045834,positive regulation of lipid metabolic process,M1,1,0
1,-3.3,hsa04120,Ubiquitin mediated proteolysis,M1,1,0
1,-3.1,GO:0006641,triglyceride metabolic process,M1,1,0
1,-3,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,M1,1,0
1,-2.7,GO:0022900,electron transport chain,M1,1,0
1,-5.1,GO:0016241,regulation of macroautophagy,M1,1,0
1,-3.3,GO:0006886,intracellular protein transport,M1,1,0
1,-2.1,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-4.1,GO:0070900,mitochondrial tRNA modification,M1,1,0
1,-2.5,M63,PID AVB3 OPN PATHWAY,M1,1,0
1,-2.6,GO:0043434,response to peptide hormone,M1,1,0
1,-2.2,GO:0030672,synaptic vesicle membrane,M1,1,0
1,-7.1,GO:1903432,regulation of TORC1 signaling,M1,1,0
1,-2.2,GO:0000902,cell morphogenesis,M1,1,0
1,-3.4,GO:0006836,neurotransmitter transport,M1,1,0
1,-2.4,hsa04710,Circadian rhythm,M1,1,0
1,-19,GO:0031966,mitochondrial membrane,M1,1,0
1,-3.8,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-6.5,GO:0032008,positive regulation of TOR signaling,M1,1,0
1,-3.5,hsa05170,Human immunodeficiency virus 1 infection,M1,1,0
1,-3.1,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-2.1,GO:0051650,establishment of vesicle localization,M1,1,0
1,-5.5,WP5531,AKT signaling and ARTD family members,M1,1,0
1,-2.1,GO:0051259,protein complex oligomerization,M1,1,0
1,-3.4,GO:0006351,DNA-templated transcription,M1,1,0
1,-3.3,GO:0021692,cerebellar Purkinje cell layer morphogenesis,M1,1,0
1,-2.8,GO:0035435,phosphate ion transmembrane transport,M1,1,0
1,-4.4,GO:0061700,GATOR2 complex,M1,1,0
1,-2.6,R-HSA-70268,Pyruvate metabolism,M1,1,0
1,-2.4,R-HSA-8868766,rRNA processing in the mitochondrion,M1,1,0
1,-2.2,GO:0031098,stress-activated protein kinase signaling cascade,M1,1,0
1,-3,GO:0018209,peptidyl-serine modification,M1,1,0
1,-4.4,WP111,Electron transport chain OXPHOS system in mitochondria,M1,1,0
1,-4.2,GO:1902495,transmembrane transporter complex,M1,1,0
1,-7.7,GO:0046488,phosphatidylinositol metabolic process,M1,1,0
1,-2.3,M99,PID TXA2PATHWAY,M1,1,0
1,-13,GO:0045017,glycerolipid biosynthetic process,M1,1,0
1,-4.7,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-4.5,R-HSA-3781860,Diseases associated with N-glycosylation of proteins,M1,1,0
1,-2.1,GO:0031646,positive regulation of nervous system process,M1,1,0
1,-4.1,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,M1,1,0
1,-3,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.7,GO:0034250,positive regulation of amide metabolic process,M1,1,0
1,-2.6,GO:0022011,myelination in peripheral nervous system,M1,1,0
1,-3.8,GO:0016126,sterol biosynthetic process,M1,1,0
1,-2.1,GO:0043009,chordate embryonic development,M1,1,0
1,-2.6,GO:0099504,synaptic vesicle cycle,M1,1,0
1,-2.1,GO:0034045,phagophore assembly site membrane,M1,1,0
1,-4,GO:0006839,mitochondrial transport,M1,1,0
1,-7.8,GO:0030990,intraciliary transport particle,M1,1,0
1,-3,GO:0070498,interleukin-1-mediated signaling pathway,M1,1,0
1,-2.8,R-HSA-9013026,RHOB GTPase cycle,M1,1,0
1,-2.2,GO:0010212,response to ionizing radiation,M1,1,0
1,-5.7,GO:0016236,macroautophagy,M1,1,0
1,-4.8,GO:0005815,microtubule organizing center,M1,1,0
1,-4.4,GO:0006066,alcohol metabolic process,M1,1,0
1,-3.7,R-HSA-1483255,PI Metabolism,M1,1,0
1,-3.1,GO:0019725,cellular homeostasis,M1,1,0
1,-3.8,GO:0043201,response to L-leucine,M1,1,0
1,-6,hsa04140,Autophagy - animal,M1,1,0
1,-3.8,GO:0009896,positive regulation of catabolic process,M1,1,0
1,-2.3,GO:0007224,smoothened signaling pathway,M1,1,0
1,-3.9,R-HSA-416482,G alpha (12/13) signalling events,M1,1,0
1,-2.5,GO:0042770,signal transduction in response to DNA damage,M1,1,0
1,-2.4,R-HSA-187687,Signalling to ERKs,M1,1,0
1,-2.5,GO:0070382,exocytic vesicle,M1,1,0
1,-5,GO:0019216,regulation of lipid metabolic process,M1,1,0
1,-3,GO:0038203,TORC2 signaling,M1,1,0
1,-3.2,GO:0006851,mitochondrial calcium ion transmembrane transport,M1,1,0
1,-2.9,GO:1990253,cellular response to leucine starvation,M1,1,0
1,-4.2,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,M1,1,0
1,-2,GO:0099023,vesicle tethering complex,M1,1,0
1,-7.8,GO:0005765,lysosomal membrane,M1,1,0
1,-4.8,GO:0006281,DNA repair,M1,1,0
1,-4.4,GO:0006754,ATP biosynthetic process,M1,1,0
1,-4,hsa00510,N-Glycan biosynthesis,M1,1,0
1,-3,GO:0140534,endoplasmic reticulum protein-containing complex,M1,1,0
1,-2.3,WP4863,Host pathogen interaction of human coronaviruses autophagy,M1,1,0
1,-7.7,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-2.5,GO:0010043,response to zinc ion,M1,1,0
1,-2.4,GO:0034142,toll-like receptor 4 signaling pathway,M1,1,0
1,-8.2,GO:0030991,intraciliary transport particle A,M1,1,0
1,-4.2,hsa04932,Non-alcoholic fatty liver disease,M1,1,0
1,-2.2,GO:0021696,cerebellar cortex morphogenesis,M1,1,0
1,-2.7,WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,M1,1,0
1,-2.3,GO:0006882,intracellular zinc ion homeostasis,M1,1,0
1,-2.7,GO:0021697,cerebellar cortex formation,M1,1,0
1,-3.9,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-2.6,GO:0006897,endocytosis,M1,1,0
1,-3,GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,M1,1,0
1,-4.8,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M1,1,0
1,-2.4,GO:0006909,phagocytosis,M1,1,0
1,-2,GO:0045009,chitosome,M1,1,0
1,-3.3,GO:0070383,DNA cytosine deamination,M1,1,0
1,-8.7,GO:0031667,response to nutrient levels,M1,1,0
1,-2.8,WP4532,Intraflagellar transport proteins binding to dynein,M1,1,0
1,-2.1,GO:0031901,early endosome membrane,M1,1,0
1,-2.1,GO:0010256,endomembrane system organization,M1,1,0
1,-2.1,GO:0005758,mitochondrial intermembrane space,M1,1,0
1,-2.6,WP75,Toll like receptor signaling,M1,1,0
1,-2.8,GO:0006309,apoptotic DNA fragmentation,M1,1,0
1,-2.1,GO:1903509,liposaccharide metabolic process,M1,1,0
1,-6.2,GO:0061695,"transferase complex, transferring phosphorus-containing groups",M1,1,0
1,-6.3,GO:0048471,perinuclear region of cytoplasm,M1,1,0
1,-7,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-7,GO:0098791,Golgi apparatus subcompartment,M1,1,0
1,-3.5,GO:0006506,GPI anchor biosynthetic process,M1,1,0
1,-4.2,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-3,WP2261,Glioblastoma signaling,M1,1,0
1,-2,GO:0030262,apoptotic nuclear changes,M1,1,0
1,-2.1,GO:0007269,neurotransmitter secretion,M1,1,0
1,-3.1,GO:0000407,phagophore assembly site,M1,1,0
1,-2.1,GO:0010232,vascular transport,M1,1,0
1,-4.9,R-HSA-1428517,Aerobic respiration and respiratory electron transport,M1,1,0
1,-2.9,GO:0061723,glycophagy,M1,1,0
1,-3.9,GO:0072665,protein localization to vacuole,M1,1,0
1,-4,WP5153,N glycan biosynthesis,M1,1,0
1,-4.3,hsa05415,Diabetic cardiomyopathy,M1,1,0
1,-3.2,GO:0070525,tRNA threonylcarbamoyladenosine metabolic process,M1,1,0
1,-2.6,GO:0046467,membrane lipid biosynthetic process,M1,1,0
1,-2,GO:0002218,activation of innate immune response,M1,1,0
1,-2.2,R-HSA-9013404,RAC2 GTPase cycle,M1,1,0
1,-6.2,GO:0031902,late endosome membrane,M1,1,0
1,-2.1,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-5.2,GO:0141188,nucleic acid catabolic process,M1,1,0
1,-2,GO:0035024,negative regulation of Rho protein signal transduction,M1,1,0
1,-4,GO:0046390,ribose phosphate biosynthetic process,M1,1,0
1,-2.3,GO:0045055,regulated exocytosis,M1,1,0
1,-4.2,WP1471,Target of rapamycin signaling,M1,1,0
1,-9.3,GO:0141124,intracellular signaling cassette,M1,1,0
1,-2.5,WP5530,MAPK signaling and ARTD family members,M1,1,0
1,-3.5,GO:0072594,establishment of protein localization to organelle,M1,1,0
1,-3.1,GO:0043524,negative regulation of neuron apoptotic process,M1,1,0
1,-2.3,GO:0033490,cholesterol biosynthetic process via lathosterol,M1,1,0
1,-2.7,R-HSA-5218920,VEGFR2 mediated vascular permeability,M1,1,0
1,-2.9,GO:0072666,establishment of protein localization to vacuole,M1,1,0
1,-6.4,GO:0010008,endosome membrane,M1,1,0
1,-2.8,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-4,GO:0006401,RNA catabolic process,M1,1,0
1,-4.7,GO:0008202,steroid metabolic process,M1,1,0
1,-4.2,hsa04068,FoxO signaling pathway,M1,1,0
1,-3.6,GO:0090646,mitochondrial tRNA processing,M1,1,0
1,-2.5,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-2.7,GO:0000027,ribosomal large subunit assembly,M1,1,0
1,-2.2,GO:0006664,glycolipid metabolic process,M1,1,0
1,-3.5,M136,PID FOXO PATHWAY,M1,1,0
1,-5.7,R-HSA-193704,p75 NTR receptor-mediated signalling,M1,1,0
1,-2.3,GO:0090174,organelle membrane fusion,M1,1,0
1,-2.1,R-HSA-9768919,NPAS4 regulates expression of target genes,M1,1,0
1,-2.2,hsa05210,Colorectal cancer,M1,1,0
1,-4.4,WP2637,Interleukin 1 IL 1 structural pathway,M1,1,0
1,-2.3,GO:0008021,synaptic vesicle,M1,1,0
1,-3.4,GO:0035721,intraciliary retrograde transport,M1,1,0
1,-2.7,GO:0006783,heme biosynthetic process,M1,1,0
1,-2.1,R-HSA-5696400,Dual Incision in GG-NER,M1,1,0
1,-2,GO:0022037,metencephalon development,M1,1,0
1,-3.4,WP1982,Sterol regulatory element binding proteins SREBP signaling,M1,1,0
1,-2.5,GO:0051276,chromosome organization,M1,1,0
1,-3.2,WP4877,Host pathogen interaction of human coronaviruses MAPK signaling,M1,1,0
1,-2.3,hsa05213,Endometrial cancer,M1,1,0
1,-2.3,M271,PID PI3K PLC TRK PATHWAY,M1,1,0
1,-5.3,GO:0019867,outer membrane,M1,1,0
1,-4.4,M270,PID MAPK TRK PATHWAY,M1,1,0
1,-2.1,GO:0071230,cellular response to amino acid stimulus,M1,1,0
1,-2.4,WP195,IL1 signaling,M1,1,0
1,-6,GO:0140053,mitochondrial gene expression,M1,1,0
1,-2,GO:0044804,nucleophagy,M1,1,0
1,-3.8,CORUM:6172,Intraflagellar transport complex B,M1,1,0
1,-3.2,GO:0016239,positive regulation of macroautophagy,M1,1,0
1,-4.8,R-HSA-975871,MyD88 cascade initiated on plasma membrane,M1,1,0
1,-7.8,GO:0098852,lytic vacuole membrane,M1,1,0
1,-2.5,GO:0000932,P-body,M1,1,0
1,-2.7,hsa05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2.9,GO:0017157,regulation of exocytosis,M1,1,0
1,-2.9,GO:1902017,regulation of cilium assembly,M1,1,0
1,-3,GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,M1,1,0
1,-4.4,GO:0051668,localization within membrane,M1,1,0
1,-3.4,hsa05020,Prion disease,M1,1,0
1,-2.3,GO:0098553,lumenal side of endoplasmic reticulum membrane,M1,1,0
1,-3.5,GO:0021575,hindbrain morphogenesis,M1,1,0
1,-2.8,GO:0007622,rhythmic behavior,M1,1,0
1,-2.1,GO:0140042,lipid droplet formation,M1,1,0
1,-2,R-HSA-1489509,DAG and IP3 signaling,M1,1,0
1,-4.2,GO:0072657,protein localization to membrane,M1,1,0
1,-5.5,WP5504,Disorders of mitochondrial homeostatis dynamics protein import and quality control,M1,1,0
1,-3.2,GO:0031344,regulation of cell projection organization,M1,1,0
1,-3.8,hsa00564,Glycerophospholipid metabolism,M1,1,0
1,-2.8,GO:0070536,protein K63-linked deubiquitination,M1,1,0
1,-3.6,GO:0021587,cerebellum morphogenesis,M1,1,0
1,-6.2,CORUM:6585,Intraflagellar transport complex A,M1,1,0
1,-4.6,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-2.9,GO:0006289,nucleotide-excision repair,M1,1,0
1,-2.1,GO:0150104,transport across blood-brain barrier,M1,1,0
1,-2.9,R-HSA-166166,MyD88-independent TLR4 cascade,M1,1,0
1,-4.4,GO:0051640,organelle localization,M1,1,0
1,-2.5,R-HSA-352230,Amino acid transport across the plasma membrane,M1,1,0
1,-4.7,WP4577,Neurodegeneration with brain iron accumulation NBIA subtypes pathway,M1,1,0
1,-3.7,GO:0032391,photoreceptor connecting cilium,M1,1,0
1,-3.7,GO:0051604,protein maturation,M1,1,0
1,-2.9,GO:0071233,cellular response to L-leucine,M1,1,0
1,-2.3,GO:0030136,clathrin-coated vesicle,M1,1,0
1,-3,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",M1,1,0
1,-2.1,GO:0030119,AP-type membrane coat adaptor complex,M1,1,0
1,-2.8,WP5496,Targeted therapy in breast cancer,M1,1,0
1,-3.2,GO:0015693,magnesium ion transport,M1,1,0
1,-2.5,GO:0009792,embryo development ending in birth or egg hatching,M1,1,0
1,-3.3,WP5275,Ether lipid biosynthesis,M1,1,0
1,-3.1,CORUM:1009,TFIIH transcription factor complex,M1,1,0
1,-6.7,GO:0019941,modification-dependent protein catabolic process,M1,1,0
1,-3.5,GO:0061462,protein localization to lysosome,M1,1,0
1,-2.1,GO:0035264,multicellular organism growth,M1,1,0
1,-4.1,GO:0048284,organelle fusion,M1,1,0
1,-4.4,WP4971,Phosphoinositides metabolism,M1,1,0
1,-2.9,GO:0071294,cellular response to zinc ion,M1,1,0
1,-4.5,GO:0061512,protein localization to cilium,M1,1,0
1,-10,GO:0032446,protein modification by small protein conjugation,M1,1,0
1,-2.5,hsa03320,PPAR signaling pathway,M1,1,0
1,-2.2,GO:0043129,surfactant homeostasis,M1,1,0
1,-3.7,GO:0019693,ribose phosphate metabolic process,M1,1,0
1,-3.2,GO:0046165,alcohol biosynthetic process,M1,1,0
1,-9.5,GO:0010506,regulation of autophagy,M1,1,0
1,-4.3,GO:0015914,phospholipid transport,M1,1,0
1,-3.3,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M1,1,0
1,-2.5,R-HSA-449147,Signaling by Interleukins,M1,1,0
1,-2.5,WP2435,Quercetin and Nf kB AP 1 induced apoptosis,M1,1,0
1,-2.1,WP5521,SLC25A46 pathway,M1,1,0
1,-2.5,R-HSA-9920951,Dengue virus modulates apoptosis,M1,1,0
1,-2.5,GO:0120032,regulation of plasma membrane bounded cell projection assembly,M1,1,0
1,-2.2,GO:0043583,ear development,M1,1,0
1,-5.1,WP5234,Bardet Biedl syndrome,M1,1,0
1,-2.8,WP4318,Mitochondrial fission and fusion,M1,1,0
1,-2.7,GO:0048511,rhythmic process,M1,1,0
1,-2.3,GO:0002221,pattern recognition receptor signaling pathway,M1,1,0
1,-2.7,GO:0006119,oxidative phosphorylation,M1,1,0
1,-5,GO:0033044,regulation of chromosome organization,M1,1,0
1,-3,WP712,Estrogen signaling,M1,1,0
1,-2.1,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-3,GO:0006390,mitochondrial transcription,M1,1,0
1,-3.5,GO:0051058,negative regulation of small GTPase mediated signal transduction,M1,1,0
1,-11,GO:0005774,vacuolar membrane,M1,1,0
1,-2.3,WP5193,Cholesterol synthesis disorders,M1,1,0
1,-5.1,GO:0042073,intraciliary transport,M1,1,0
1,-3.6,hsa04010,MAPK signaling pathway,M1,1,0
1,-3.1,R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,M1,1,0
1,-2.3,WP5333,Enterocyte cholesterol metabolism,M1,1,0
1,-2.2,GO:0009247,glycolipid biosynthetic process,M1,1,0
1,-2.1,GO:0001510,RNA methylation,M1,1,0
1,-2.1,GO:0031643,positive regulation of myelination,M1,1,0
1,-4.8,hsa05135,Yersinia infection,M1,1,0
1,-4,GO:0016125,sterol metabolic process,M1,1,0
1,-2.3,R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,M1,1,0
1,-4,hsa04668,TNF signaling pathway,M1,1,0
1,-3.5,GO:0010970,transport along microtubule,M1,1,0
1,-3.8,GO:0045333,cellular respiration,M1,1,0
1,-2.3,GO:0030658,transport vesicle membrane,M1,1,0
1,-3.9,hsa04936,Alcoholic liver disease,M1,1,0
1,-2,GO:0032580,Golgi cisterna membrane,M1,1,0
1,-12,GO:0016567,protein ubiquitination,M1,1,0
1,-3.2,GO:0008053,mitochondrial fusion,M1,1,0
1,-5.3,WP4536,Genes related to primary cilium development based on CRISPR,M1,1,0
1,-3.8,GO:0009259,ribonucleotide metabolic process,M1,1,0
1,-2.9,GO:0022904,respiratory electron transport chain,M1,1,0
1,-2,GO:0062012,regulation of small molecule metabolic process,M1,1,0
1,-2.5,R-HSA-8957322,Metabolism of steroids,M1,1,0
1,-2.7,GO:0042775,mitochondrial ATP synthesis coupled electron transport,M1,1,0
1,-4.7,GO:0009145,purine nucleoside triphosphate biosynthetic process,M1,1,0
1,-8.7,hsa04150,mTOR signaling pathway,M1,1,0
1,-4.1,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,M1,1,0
1,-2.2,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-2.3,R-HSA-75105,Fatty acyl-CoA biosynthesis,M1,1,0
1,-2.2,R-HSA-9031628,NGF-stimulated transcription,M1,1,0
1,-3.4,R-HSA-6807062,Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway),M1,1,0
1,-3.1,GO:0043200,response to amino acid,M1,1,0
1,-2.1,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-5.7,GO:0044088,regulation of vacuole organization,M1,1,0
1,-3.7,R-HSA-6782315,tRNA modification in the nucleus and cytosol,M1,1,0
1,-6.9,GO:0010508,positive regulation of autophagy,M1,1,0
1,-2.9,R-HSA-194138,Signaling by VEGF,M1,1,0
1,-4.2,WP437,EGF EGFR signaling,M1,1,0
1,-2.2,GO:0099501,exocytic vesicle membrane,M1,1,0
1,-11,GO:0008654,phospholipid biosynthetic process,M1,1,0
1,-2.1,GO:0042632,cholesterol homeostasis,M1,1,0
1,-8.2,R-HSA-73887,Death Receptor Signaling,M1,1,0
1,-2.4,GO:0021510,spinal cord development,M1,1,0
1,-3.3,CORUM:107,TFIIH transcription factor complex,M1,1,0
1,-2.2,WP4659,Gastrin signaling,M1,1,0
1,-4.9,hsa05014,Amyotrophic lateral sclerosis,M1,1,0
1,-2.3,GO:0043278,response to morphine,M1,1,0
1,-3.2,GO:0006695,cholesterol biosynthetic process,M1,1,0
1,-2.3,GO:0071071,regulation of phospholipid biosynthetic process,M1,1,0
1,-2.7,GO:0031175,neuron projection development,M1,1,0
1,-2.2,WP4871,Kisspeptin kisspeptin receptor system in the ovary,M1,1,0
1,-3,GO:0019432,triglyceride biosynthetic process,M1,1,0
1,-3.2,R-HSA-4420097,VEGFA-VEGFR2 Pathway,M1,1,0
1,-2.5,WP4674,Head and neck squamous cell carcinoma,M1,1,0
1,-4.8,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M1,1,0
1,-3,R-HSA-5628897,TP53 Regulates Metabolic Genes,M1,1,0
1,-4.5,GO:0009201,ribonucleoside triphosphate biosynthetic process,M1,1,0
1,-7.8,GO:0032006,regulation of TOR signaling,M1,1,0
1,-4.2,R-HSA-8932504,DAG1 core M2 glycosylations,M1,1,0
1,-2.7,GO:0051607,defense response to virus,M1,1,0
1,-2.5,GO:0030003,intracellular monoatomic cation homeostasis,M1,1,0
1,-14,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-2.4,R-HSA-2559583,Cellular Senescence,M1,1,0
1,-3.9,R-HSA-389599,Alpha-oxidation of phytanate,M1,1,0
1,-2.4,GO:0003333,amino acid transmembrane transport,M1,1,0
1,-2.1,hsa04662,B cell receptor signaling pathway,M1,1,0
1,-2.1,GO:0032365,intracellular lipid transport,M1,1,0
1,-3.7,GO:0021694,cerebellar Purkinje cell layer formation,M1,1,0
1,-4.3,R-HSA-3700989,Transcriptional Regulation by TP53,M1,1,0
1,-2.8,R-HSA-6793080,rRNA modification in the mitochondrion,M1,1,0
1,-3.1,GO:1905515,non-motile cilium assembly,M1,1,0
1,-2.3,R-HSA-9958863,SLC-mediated transport of amino acids,M1,1,0
1,-4.9,R-HSA-9013148,CDC42 GTPase cycle,M1,1,0
1,-5.5,GO:2000785,regulation of autophagosome assembly,M1,1,0
1,-2.9,GO:0002431,Fc receptor mediated stimulatory signaling pathway,M1,1,0
1,-3.1,CORUM:1029,TFIIH transcription factor complex,M1,1,0
1,-4.4,GO:0007034,vacuolar transport,M1,1,0
1,-2.4,GO:0046578,regulation of Ras protein signal transduction,M1,1,0
1,-4.2,WP5381,Smith Magenis and Potocki Lupski syndrome copy number variation,M1,1,0
1,-3,GO:0031965,nuclear membrane,M1,1,0
1,-2.1,GO:0045190,isotype switching,M1,1,0
1,-3.5,R-HSA-1369062,ABC transporters in lipid homeostasis,M1,1,0
1,-2.7,GO:0032366,intracellular sterol transport,M1,1,0
1,-3.8,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-3.4,GO:0180026,mitochondrial small ribosomal subunit assembly,M1,1,0
1,-2.1,GO:0070977,bone maturation,M1,1,0
1,-2.3,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-2.3,GO:0048858,cell projection morphogenesis,M1,1,0
1,-2.7,R-HSA-390918,Peroxisomal lipid metabolism,M1,1,0
1,-2.1,GO:0032648,regulation of interferon-beta production,M1,1,0
1,-2.2,GO:0032479,regulation of type I interferon production,M1,1,0
1,-2.4,GO:0006626,protein targeting to mitochondrion,M1,1,0
1,-2.9,GO:0033059,cellular pigmentation,M1,1,0
1,-6,GO:0009100,glycoprotein metabolic process,M1,1,0
1,-2.4,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-5,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-4.4,GO:0031903,microbody membrane,M1,1,0
1,-3.4,M121,PID MTOR 4PATHWAY,M1,1,0
1,-5.5,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-2.2,GO:0007623,circadian rhythm,M1,1,0
1,-3.4,R-HSA-382556,ABC-family proteins mediated transport,M1,1,0
1,-2.9,WP5523,HINT1 pathway,M1,1,0
1,-2.8,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,M1,1,0
1,-3.9,WP5500,Bempedoic acid therapy in atherosclerosis and metabolic syndrome,M1,1,0
1,-2.5,R-HSA-1660499,Synthesis of PIPs at the plasma membrane,M1,1,0
1,-4,GO:0007264,small GTPase-mediated signal transduction,M1,1,0
1,-2.7,GO:0033045,regulation of sister chromatid segregation,M1,1,0
1,-2.8,GO:0033106,cis-Golgi network membrane,M1,1,0
1,-4.1,GO:0009314,response to radiation,M1,1,0
1,-2.9,GO:0046580,negative regulation of Ras protein signal transduction,M1,1,0
1,-2.7,M68,PID RHOA REG PATHWAY,M1,1,0
1,-3.1,GO:0140467,integrated stress response signaling,M1,1,0
1,-3.2,GO:0006493,protein O-linked glycosylation,M1,1,0
1,-6.4,GO:0055088,lipid homeostasis,M1,1,0
1,-7.4,GO:0097542,ciliary tip,M1,1,0
1,-3,GO:0010807,regulation of synaptic vesicle priming,M1,1,0
1,-2.5,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M1,1,0
1,-2.9,WP2571,Polycystic kidney disease pathway,M1,1,0
1,-2.6,GO:0009615,response to virus,M1,1,0
1,-2.4,GO:0051648,vesicle localization,M1,1,0
1,-2.5,R-HSA-73863,RNA Polymerase I Transcription Termination,M1,1,0
1,-5,GO:0061668,mitochondrial ribosome assembly,M1,1,0
1,-2.4,GO:0010927,cellular component assembly involved in morphogenesis,M1,1,0
1,-3.4,GO:0006338,chromatin remodeling,M1,1,0
1,-5.1,GO:0140694,membraneless organelle assembly,M1,1,0
1,-3.2,hsa04660,T cell receptor signaling pathway,M1,1,0
1,-3.8,WP405,Eukaryotic transcription initiation,M1,1,0
1,-3.4,M81,PID CDC42 PATHWAY,M1,1,0
1,-7.2,GO:0034198,cellular response to amino acid starvation,M1,1,0
1,-3,R-HSA-9937008,Mitochondrial mRNA modification,M1,1,0
1,-2.5,GO:0060491,regulation of cell projection assembly,M1,1,0
1,-3.4,hsa05016,Huntington disease,M1,1,0
1,-3.1,GO:0099111,microtubule-based transport,M1,1,0
1,-2.9,hsa05132,Salmonella infection,M1,1,0
1,-4.4,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M1,1,0
1,-3.1,GO:0046942,carboxylic acid transport,M1,1,0
1,-2.9,GO:0006638,neutral lipid metabolic process,M1,1,0
1,-2.6,R-HSA-9013106,RHOC GTPase cycle,M1,1,0
1,-2.4,R-HSA-9634815,Transcriptional Regulation by NPAS4,M1,1,0
1,-4.8,WP481,Insulin signaling,M1,1,0
1,-4.4,GO:0006164,purine nucleotide biosynthetic process,M1,1,0
1,-2,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-5,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-3.3,CORUM:1036,TFIIH transcription factor complex,M1,1,0
1,-2.4,GO:0006873,intracellular monoatomic ion homeostasis,M1,1,0
