_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.077409246151861,GO:0008654,M1,1,0,GO Biological Processes,19,phospholipid biosynthetic process,19_GO:0009987 cellular process,-11.077409246151861,5.437363301484978,9.645972375229494,30230,238,584,25,4.280821917808219,0.8376385138868881,1040|5286|5287|5290|8443|9489|9517|9926|10162|23049|23167|23761|27132|30849|51205|57605|64924|65258|81490|84302|84947|93183|114971|128869|200576,CDS1|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|SPTLC2|LPGAT1|LPCAT3|SMG1|EFR3A|PISD|CPNE7|PIK3R4|ACP6|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|PIKFYVE,-7.877964912698043,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-10.52983735053519,GO:0006644,M1,1,0,GO Biological Processes,19,phospholipid metabolic process,19_GO:0009987 cellular process,-10.52983735053519,4.289809278740634,8.838065113013249,30230,362,584,30,5.136986301369863,0.9134741018332575,20|21|1040|5286|5287|5290|8443|9489|9517|9926|10162|23049|23167|23175|23761|27132|30849|51205|56261|57605|64924|65258|66036|81490|84302|84947|93183|114971|128869|200576,ABCA2|ABCA3|CDS1|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|SPTLC2|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|PISD|CPNE7|PIK3R4|ACP6|GPCPD1|PITPNM2|SLC30A5|MPPE1|MTMR9|PTDSS2|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|PIKFYVE,-7.422112122589183,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-10.52073669673182,GO:0046474,M1,1,0,GO Biological Processes,19,glycerophospholipid biosynthetic process,19_GO:0009987 cellular process,-10.52073669673182,5.900525232450848,9.585797905180968,30230,193,584,22,3.767123287671233,0.7878802744630862,1040|5286|5287|5290|8443|9489|10162|23049|23167|23761|27132|30849|51205|57605|64924|65258|81490|84302|93183|114971|128869|200576,CDS1|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPCAT3|SMG1|EFR3A|PISD|CPNE7|PIK3R4|ACP6|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|PIKFYVE,-7.422112122589183,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-8.937127961803585,R-HSA-1483257,M1,1,0,Reactome Gene Sets,6,Phospholipid metabolism,,-8.937127961803585,5.127536185060738,8.46453694430895,30230,212,584,21,3.595890410958904,0.7704502033461142,1040|5286|5287|5290|8443|9489|9926|10162|23175|23761|27132|30849|51205|54545|56261|57605|59338|66036|81490|114971|200576,CDS1|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|LPIN1|PISD|CPNE7|PIK3R4|ACP6|MTMR12|GPCPD1|PITPNM2|PLEKHA1|MTMR9|PTDSS2|PTPMT1|PIKFYVE,-5.976565717264903,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-7.6652195201111155,GO:0046488,M1,1,0,GO Biological Processes,19,phosphatidylinositol metabolic process,19_GO:0009987 cellular process,-7.6652195201111155,5.751522070015221,8.021711397306282,30230,144,584,16,2.73972602739726,0.6754837232184769,1040|5286|5287|5290|9926|23049|23167|30849|57605|64924|65258|66036|84302|93183|128869|200576,CDS1|PIK3C2A|PIK3C2B|PIK3CA|LPGAT1|SMG1|EFR3A|PIK3R4|PITPNM2|SLC30A5|MPPE1|MTMR9|PGAP4|PIGM|PIGU|PIKFYVE,-4.845986428368904,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-7.2406601179151036,GO:0006661,M1,1,0,GO Biological Processes,19,phosphatidylinositol biosynthetic process,19_GO:0009987 cellular process,-7.2406601179151036,6.2473429381199805,7.947297698180045,30230,116,584,14,2.3972602739726026,0.6329686127171638,1040|5286|5287|5290|23049|23167|30849|57605|64924|65258|84302|93183|128869|200576,CDS1|PIK3C2A|PIK3C2B|PIK3CA|SMG1|EFR3A|PIK3R4|PITPNM2|SLC30A5|MPPE1|PGAP4|PIGM|PIGU|PIKFYVE,-4.47790838212534,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-5.856013131740287,R-HSA-1483206,M1,1,0,Reactome Gene Sets,6,Glycerophospholipid biosynthesis,,-5.856013131740287,5.216496761176595,6.735834780632788,30230,129,584,13,2.2260273972602738,0.6104786211136067,1040|8443|9489|9926|10162|23175|23761|27132|51205|56261|57605|81490|114971,CDS1|GNPAT|PGS1|LPGAT1|LPCAT3|LPIN1|PISD|CPNE7|ACP6|GPCPD1|PITPNM2|PTDSS2|PTPMT1,-3.376163713696752,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-3.752751797125452,hsa00564,M1,1,0,KEGG Pathway,24,Glycerophospholipid metabolism,,-3.752751797125452,4.523041627876047,5.026824292018858,30230,103,584,9,1.5410958904109588,0.509724966965557,1040|8443|9489|9926|10162|23175|23761|56261|81490,CDS1|GNPAT|PGS1|LPGAT1|LPCAT3|LPIN1|PISD|GPCPD1|PTDSS2,-1.8274653129353136,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-13.332721648101833,GO:0070647,M1,1,0,GO Biological Processes,19,protein modification by small protein conjugation or removal,19_GO:0009987 cellular process,-13.332721648101833,3.3758933889219773,9.447952150619997,30230,782,584,51,8.732876712328768,1.1682328707679432,373|1540|1959|5192|7126|7328|8925|9817|9960|11043|23032|23038|23113|23411|26001|26249|29761|29882|51255|54542|55128|55167|55585|55819|55958|57161|57448|57520|57531|57542|57558|57559|57560|63891|64682|64750|79786|80013|80067|84078|84219|84447|84669|84861|89890|91947|123228|142678|142685|151525|257218,TRIM23|CYLD|EGR2|PEX10|TNFAIP1|UBE2H|HERC1|KEAP1|USP3|MID2|USP33|WDTC1|CUL9|SIRT1|RNF167|KLHL3|USP25|ANAPC2|RNF181|RC3H2|TRIM68|MSL2|UBE2Q1|RNF130|KLHL9|PELI2|BIRC6|HECW2|HACE1|KLHL42|USP35|STAMBPL1|IFT80|RNF123|ANAPC1|SMURF2|KLHL36|MINDY3|DCAF17|KBTBD7|WDR24|SYVN1|USP32|KLHL22|KBTBD6|ARRDC4|SENP8|MIB2|ASB15|WDSUB1|SHPRH,-9.80228409560659,0,3,1,1,-13.332721648101833,7.501985308715504,
1,-11.579004826321077,GO:0016567,M1,1,0,GO Biological Processes,19,protein ubiquitination,19_GO:0009987 cellular process,-11.579004826321077,3.5729152253124856,8.888821152811513,30230,594,584,41,7.02054794520548,1.057237532658426,373|5192|7126|7328|8925|9817|11043|23038|23113|23411|26001|26249|29882|51255|54542|55128|55167|55585|55819|55958|57161|57448|57520|57531|57542|57560|63891|64682|64750|79786|80067|84078|84219|84447|84861|89890|91947|142678|142685|151525|257218,TRIM23|PEX10|TNFAIP1|UBE2H|HERC1|KEAP1|MID2|WDTC1|CUL9|SIRT1|RNF167|KLHL3|ANAPC2|RNF181|RC3H2|TRIM68|MSL2|UBE2Q1|RNF130|KLHL9|PELI2|BIRC6|HECW2|HACE1|KLHL42|IFT80|RNF123|ANAPC1|SMURF2|KLHL36|DCAF17|KBTBD7|WDR24|SYVN1|KLHL22|KBTBD6|ARRDC4|MIB2|ASB15|WDSUB1|SHPRH,-8.349597269489815,0,3,0,0,-13.332721648101833,7.501985308715504,
