"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-8980692","RHOA GTPase cycle",76,13,1.535,1.6255,0.701,0.0523341446354766,1.28121486967388,1,0.186907659412416,1,"IQGAP3,AAAS,SCFD1,DIAPH3,RTKN,ARHGAP11A,PKN3,ABR,VANGL1,TIAM1,FARP1,SRGAP1,OPHN1","20669,13666,20726,15480,10466,15783,17999,81,15512,11805,3591,17382,8148","rhoa gtpase cycle","AAAS;ABR;ARHGAP11A;DIAPH3;FARP1;IQGAP3;OPHN1;PKN3;RTKN;SCFD1;SRGAP1;TIAM1;VANGL1",13
NA,"REACTOME pathway","R-HSA-70326","Glucose metabolism",59,12,1.417,1.9328,0.951,0.0181875351586663,1.74022615412637,1,0.109080895240111,0.916438959462736,"G6PC3,PRKACG,NUP155,NUP107,PCK2,NUP214,NUP93,NUP85,PPP2R1B,AAAS,SLC37A4,NUP160","24861,9382,8063,29914,8725,8064,28958,8734,9303,13666,4061,18017","glucose metabolism","AAAS;G6PC3;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;PCK2;PPP2R1B;PRKACG;SLC37A4",12
NA,"REACTOME pathway","R-HSA-9013148","CDC42 GTPase cycle",70,12,1.417,1.6291,0.704,0.05987616024586,1.22274605798669,1,0.200657771904075,1,"FGD1,VANGL1,FARP1,SRGAP1,OPHN1,SHKBP1,ARHGEF26,ABR,DIAPH3,TIAM1,IQGAP3,PLEKHG1","3663,15512,3591,17382,8148,19214,24490,81,15480,11805,20669,20884","cdc42 gtpase cycle","ABR;ARHGEF26;DIAPH3;FARP1;FGD1;IQGAP3;OPHN1;PLEKHG1;SHKBP1;SRGAP1;TIAM1;VANGL1",12
NA,"KEGG Pathway H.sap","path:hsa03015","mRNA surveillance pathway",73,12,1.417,1.5621,0.643,0.0777086733728126,1.10953050516652,1,0.235835955549265,1,"WDR82,SYMPK,PPP2R1B,CPSF3,GLE1,CPSF1,PPP2R3A,DDX19A,PAPOLG,NCBP1,CPSF2,PPP2R5B","28826,22935,9303,2326,4315,2324,9307,25628,14982,7658,2325,9310","mrna surveillance pathway","CPSF1;CPSF2;CPSF3;DDX19A;GLE1;NCBP1;PAPOLG;PPP2R1B;PPP2R3A;PPP2R5B;SYMPK;WDR82",12
NA,"KEGG Pathway H.sap","path:hsa04114","Oocyte meiosis",74,12,1.417,1.541,0.624,0.0843291251749679,1.07402240499312,1,0.24919954247922,1,"ANAPC4,MAD2L2,CCNB1,PPP2R5B,ANAPC16,CAMK2G,PLK1,CDC16,PRKACG,PKMYT1,ANAPC5,PPP2R1B","19990,6764,1579,9310,26976,1463,9077,1720,9382,29650,15713,9303","oocyte meiosis","ANAPC16;ANAPC4;ANAPC5;CAMK2G;CCNB1;CDC16;MAD2L2;PKMYT1;PLK1;PPP2R1B;PPP2R5B;PRKACG",12
NA,"REACTOME pathway","R-HSA-5619102","SLC transporter disorders",37,9,1.063,2.3115,1.209,0.0125396226000759,1.9017155340931,1,0.0925922425396976,0.77791017593518,"NUP85,SLC16A1,NUP155,NUP160,NUP214,NUP93,NUP107,AAAS,SLC9A6","8734,10922,8063,18017,8064,28958,29914,13666,11079","slc transporter disorders","AAAS;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;SLC16A1;SLC9A6",9
NA,"REACTOME pathway","R-HSA-1483249","Inositol phosphate metabolism",45,9,1.063,1.9006,0.926,0.0419470552559663,1.37729852186682,1,0.167410331640222,1,"NUP107,AAAS,NUP93,IMPA2,NUP85,SYNJ1,NUP160,NUP214,NUP155","29914,13666,28958,6051,8734,11503,18017,8064,8063","inositol phosphate metabolism","AAAS;IMPA2;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;SYNJ1",9
NA,"KEGG Pathway H.sap","path:hsa01040","Biosynthesis of unsaturated fatty acids",17,8,0.945,4.472,2.161,0.000148433288128916,3.82846869185005,0.371083220322289,0.0068719114874498,0.0577341009093839,"ACOX3,HACD3,TECR,HSD17B12,FADS1,SCD,SCD5,FADS2","121,24175,4551,18646,3574,10571,21088,3575","biosynthesis of unsaturated fatty acids","ACOX3;FADS1;FADS2;HACD3;HSD17B12;SCD;SCD5;TECR",8
NA,"REACTOME pathway","R-HSA-9033241","Peroxisomal protein import",34,8,0.945,2.236,1.161,0.0220671781970906,1.65625319795675,1,0.119153230005889,1,"MLYCD,NUDT19,ACOX3,PECR,PEX1,GNPAT,TYSND1,PEX13","7150,32036,121,18281,8850,4416,28531,8855","peroxisomal protein import","ACOX3;GNPAT;MLYCD;NUDT19;PECR;PEX1;PEX13;TYSND1",8
NA,"REACTOME pathway","R-HSA-9772573","Late SARS-CoV-2 Infection Events",34,8,0.945,2.236,1.161,0.0220671781970906,1.65625319795675,1,0.119153230005889,1,"RPN2,ZDHHC8,STT3A,MGAT4B,ANO10,RPN1,ZDHHC5,DDOST","10382,18474,6172,7048,25519,10381,18472,2728","late sars cov 2 infection events","ANO10;DDOST;MGAT4B;RPN1;RPN2;STT3A;ZDHHC5;ZDHHC8",8
