"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BTN2A3P",0.842,NA,0.8,NA,"0.8",NA,"NS",NA
"C1orf159",0.872,0.594711874761066,0.9,0.59,"0.9","0.59","NS",NA
"C1orf198",-0.262,0.51290632084937,-0.3,0.51,"-0.3","0.51","NS",NA
"C2CD2L",1.18,0.0336185357919582,1.2,0.03,"1.2","0.03","NS",NA
"C4A",0.916,0.559322331164653,0.9,0.56,"0.9","0.56","NS",NA
"C4BPA",2.8,0.0364417521473955,2.8,0.04,"2.8","0.04","NS",NA
"C6orf89",-0.688,0.145236064144671,-0.7,0.15,"-0.7","0.15","NS",NA
"C8orf88",1.35,NA,1.4,NA,"1.4",NA,"NS",NA
"C9orf72",2.22,0.43614584316256,2.2,0.44,"2.2","0.44","NS",NA
"CABIN1",1.22,0.00987708075257461,1.2,0.01,"1.2","<0.01","Up",NA
"CALCOCO2",-0.695,0.119998875474825,-0.7,0.12,"-0.7","0.12","NS",NA
"CAMKK1",0.0355,0.936790621636891,0,0.94,"0.0","0.94","NS",NA
"CARMIL2",0.0953,0.879570930050265,0.1,0.88,"0.1","0.88","NS",NA
"CASTOR2",0.0624,0.941097852671976,0.1,0.94,"0.1","0.94","NS",NA
"CBY1",-0.104,0.867067585743574,-0.1,0.87,"-0.1","0.87","NS",NA
"CCDC106",0.588,0.0949418542626668,0.6,0.09,"0.6","0.09","NS",NA
"CCDC120",0.721,NA,0.7,NA,"0.7",NA,"NS",NA
"CCDC138",-3.8,0.0737245597734674,-3.8,0.07,"-3.8","0.07","NS",NA
"CCDC158",0.0635,0.939268892616594,0.1,0.94,"0.1","0.94","NS",NA
"CCDC18",-0.358,0.566606620724526,-0.4,0.57,"-0.4","0.57","NS",NA
"CCDC186",-0.555,0.0683316701561134,-0.6,0.07,"-0.6","0.07","NS",NA
"CCDC28B",0.134,0.811853635871271,0.1,0.81,"0.1","0.81","NS",NA
"CCDC66",0.7,NA,0.7,NA,"0.7",NA,"NS",NA
"CCDC82",1.98,0.424007737483378,2,0.42,"2.0","0.42","NS",NA
"CCK",4.92,3.97138771837827e-06,4.9,0,"4.9","<0.01","Up",NA
"CCN1",0.431,0.715473955669459,0.4,0.72,"0.4","0.72","NS",NA
"CCN2",0.263,0.906875619829387,0.3,0.91,"0.3","0.91","NS",NA
"CCNQ",1.52,0.436693647968922,1.5,0.44,"1.5","0.44","NS",NA
"CCPG1",-0.725,0.0917911314401835,-0.7,0.09,"-0.7","0.09","NS",NA
"CD151",0.399,0.388513929632443,0.4,0.39,"0.4","0.39","NS",NA
"CD40",4.75,0.0363670040739724,4.8,0.04,"4.8","0.04","NS",NA
"CD81",0.0322,0.95767854584339,0,0.96,"0.0","0.96","NS",NA
"CD84",-6.5,0.00553012507504109,-6.5,0.01,"-6.5","<0.01","Down",NA
"CD99",2.39,0.316183998748426,2.4,0.32,"2.4","0.32","NS",NA
"CDC42EP1",-0.393,0.317301153479537,-0.4,0.32,"-0.4","0.32","NS",NA
"CDCA7L",0.196,0.523025094939434,0.2,0.52,"0.2","0.52","NS",NA
"CDK11A",0.18,0.893724881208881,0.2,0.89,"0.2","0.89","NS",NA
"CDKN2A",0.105,0.76330611158102,0.1,0.76,"0.1","0.76","NS",NA
"CEBPZOS",0.233,0.707466439820496,0.2,0.71,"0.2","0.71","NS",NA
"CENPW",1.21,0.0406534316301463,1.2,0.04,"1.2","0.04","NS",NA
"CENPX",0.195,0.733689518478605,0.2,0.73,"0.2","0.73","NS",NA
"CEP170B",-0.325,0.291444971869483,-0.3,0.29,"-0.3","0.29","NS",NA
"CEP41",-0.368,0.180324988391659,-0.4,0.18,"-0.4","0.18","NS",NA
"CFAP97",-0.0998,0.863881369809128,-0.1,0.86,"-0.1","0.86","NS",NA
"CHCHD4",0.928,0.554194889505744,0.9,0.55,"0.9","0.55","NS",NA
