"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"TTI2",-1.06,0.156888876174773,-1.1,0.16,"-1.1","0.16","NS",NA
"TTK",1.1,0.00169180756361216,1.1,0,"1.1","<0.01","Up",NA
"TTL",0.593,0.0936171659092283,0.6,0.09,"0.6","0.09","NS",NA
"TTLL12",0.111,0.785822057582209,0.1,0.79,"0.1","0.79","NS",NA
"TTLL4",-1.68,0.0755737610884045,-1.7,0.08,"-1.7","0.08","NS",NA
"TTPAL",0.195,0.619808252918256,0.2,0.62,"0.2","0.62","NS",NA
"TTYH2",-2.52,0.0567809517384027,-2.5,0.06,"-2.5","0.06","NS",NA
"TTYH3",-0.176,0.678877958311798,-0.2,0.68,"-0.2","0.68","NS",NA
"TUB",0.153,0.830814472681095,0.2,0.83,"0.2","0.83","NS",NA
"TUBA1C",0.267,0.554725040026535,0.3,0.55,"0.3","0.55","NS",NA
"TUBAL3",0.18,0.690685144464452,0.2,0.69,"0.2","0.69","NS",NA
"TUBB",0.494,0.247749938449236,0.5,0.25,"0.5","0.25","NS",NA
"TUBB2A",0.47,0.16279452192057,0.5,0.16,"0.5","0.16","NS",NA
"TUBB2B",0.531,0.186242692673402,0.5,0.19,"0.5","0.19","NS",NA
"TUBB3",0.458,0.330386380220993,0.5,0.33,"0.5","0.33","NS",NA
"TUBB4A",0.778,0.123231329027381,0.8,0.12,"0.8","0.12","NS",NA
"TUBB4B",0.737,0.0779779653612391,0.7,0.08,"0.7","0.08","NS",NA
"TUBB6",0.299,0.507362118223388,0.3,0.51,"0.3","0.51","NS",NA
"TUBE1",-1.13,0.168421969656788,-1.1,0.17,"-1.1","0.17","NS",NA
"TUBG1",0.213,0.339501677355491,0.2,0.34,"0.2","0.34","NS",NA
"TUBGCP2",0.617,0.146766663389817,0.6,0.15,"0.6","0.15","NS",NA
"TUBGCP3",-1.5,0.182655179351217,-1.5,0.18,"-1.5","0.18","NS",NA
"TUBGCP4",-1.39,0.291385212624508,-1.4,0.29,"-1.4","0.29","NS",NA
"TUBGCP5",-3.3,0.0651428036029638,-3.3,0.07,"-3.3","0.07","NS",NA
"TUBGCP6",0.46,0.469310806347897,0.5,0.47,"0.5","0.47","NS",NA
"TUFM",-0.51,0.0064132746936557,-0.5,0.01,"-0.5","<0.01","NS",NA
"TUFT1",0.389,0.253314349719374,0.4,0.25,"0.4","0.25","NS",NA
"TULP3",-0.161,0.776747137243889,-0.2,0.78,"-0.2","0.78","NS",NA
"TUSC1",0.449,0.380568610670166,0.4,0.38,"0.4","0.38","NS",NA
"TUSC2",0.173,0.703111450089045,0.2,0.7,"0.2","0.70","NS",NA
