"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BTN2A3P",0.217,0.984316215188769,0.2,0.98,"0.2","0.98","NS",NA
"C1orf159",-1.52,0.526511112501906,-1.5,0.53,"-1.5","0.53","NS",NA
"C1orf198",0.124,0.912008394489654,0.1,0.91,"0.1","0.91","NS",NA
"C2CD2L",1.59,0.00958132657368822,1.6,0.01,"1.6","<0.01","Up",NA
"C4A",0.0885,NA,0.1,NA,"0.1",NA,"NS",NA
"C4BPA",-0.376,NA,-0.4,NA,"-0.4",NA,"NS",NA
"C6orf89",0.332,0.715055733233954,0.3,0.72,"0.3","0.72","NS",NA
"C8orf88",-2.32,0.337051328973129,-2.3,0.34,"-2.3","0.34","NS",NA
"C9orf72",1.51,0.813030276922651,1.5,0.81,"1.5","0.81","NS",NA
"CABIN1",0.606,0.261258630757685,0.6,0.26,"0.6","0.26","NS",NA
"CALCOCO2",-0.39,0.608841756347246,-0.4,0.61,"-0.4","0.61","NS",NA
"CAMKK1",-0.505,0.295859325469927,-0.5,0.3,"-0.5","0.30","NS",NA
"CARMIL2",0.251,0.8365484218839,0.3,0.84,"0.3","0.84","NS",NA
"CASTOR2",-2.5,0.00192933504415561,-2.5,0,"-2.5","<0.01","Down",NA
"CBY1",-0.358,0.717923159918774,-0.4,0.72,"-0.4","0.72","NS",NA
"CCDC106",0.61,0.190358912470375,0.6,0.19,"0.6","0.19","NS",NA
"CCDC120",4.5,0.00728757477915659,4.5,0.01,"4.5","<0.01","Up",NA
"CCDC138",0.539,NA,0.5,NA,"0.5",NA,"NS",NA
"CCDC158",0.178,0.930341450684203,0.2,0.93,"0.2","0.93","NS",NA
"CCDC18",-0.208,0.899342031367672,-0.2,0.9,"-0.2","0.90","NS",NA
"CCDC186",-0.468,0.238914239583098,-0.5,0.24,"-0.5","0.24","NS",NA
"CCDC28B",0.137,0.926776369549955,0.1,0.93,"0.1","0.93","NS",NA
"CCDC66",0.476,0.798724996481915,0.5,0.8,"0.5","0.80","NS",NA
"CCDC82",1.52,0.766600382507531,1.5,0.77,"1.5","0.77","NS",NA
"CCK",0.0834,0.977288427002445,0.1,0.98,"0.1","0.98","NS",NA
"CCN1",-7.24,1.68984369161787e-06,-7.2,0,"-7.2","<0.01","Down","CCN1"
"CCN2",-6.71,0.00162244054651392,-6.7,0,"-6.7","<0.01","Down",NA
"CCNQ",-0.75,0.883444166637658,-0.8,0.88,"-0.8","0.88","NS",NA
"CCPG1",-0.544,0.360221661387604,-0.5,0.36,"-0.5","0.36","NS",NA
"CD151",0.177,0.88543945605621,0.2,0.89,"0.2","0.89","NS",NA
"CD40",1.47,0.714626083915179,1.5,0.71,"1.5","0.71","NS",NA
"CD81",0.413,0.62115864689688,0.4,0.62,"0.4","0.62","NS",NA
"CD84",-0.587,0.920505478172461,-0.6,0.92,"-0.6","0.92","NS",NA
