"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CD2BP2",-1.18,0.00985843626508971,-1.2,0.01,"-1.2","<0.01","Down",NA
"CD302",0.234,0.372557308695384,0.2,0.37,"0.2","0.37","NS",NA
"CD320",-0.312,0.445041585257966,-0.3,0.45,"-0.3","0.45","NS",NA
"CD46",-0.862,0.082483977226189,-0.9,0.08,"-0.9","0.08","NS",NA
"CD47",-0.476,0.155663439874611,-0.5,0.16,"-0.5","0.16","NS",NA
"CD55",-2.05,0.0018675364091732,-2,0,"-2.0","<0.01","Down",NA
"CD58",-0.84,0.061422425487988,-0.8,0.06,"-0.8","0.06","NS",NA
"CD59",-1.74,0.00194943974946285,-1.7,0,"-1.7","<0.01","Down",NA
"CD63",-0.671,0.0937424626778089,-0.7,0.09,"-0.7","0.09","NS",NA
"CD82",-0.256,0.470369722377882,-0.3,0.47,"-0.3","0.47","NS",NA
"CD83",-1.93,0.0415632040716154,-1.9,0.04,"-1.9","0.04","NS",NA
"CD9",-0.769,0.16100928341822,-0.8,0.16,"-0.8","0.16","NS",NA
"CD99L2",-0.161,0.648601952768781,-0.2,0.65,"-0.2","0.65","NS",NA
"CDAN1",-0.725,0.0345951047040687,-0.7,0.03,"-0.7","0.03","NS",NA
"CDC123",-0.242,0.179056296591726,-0.2,0.18,"-0.2","0.18","NS",NA
"CDC16",2.71,8.65276323712776e-08,2.7,0,"2.7","<0.01","Up",NA
"CDC20",0.214,0.329499950365795,0.2,0.33,"0.2","0.33","NS",NA
"CDC23",0.0188,0.978308197474003,0,0.98,"0.0","0.98","NS",NA
"CDC25C",0.0618,0.876180701516438,0.1,0.88,"0.1","0.88","NS",NA
"CDC26",-1.66,0.00649560836518093,-1.7,0.01,"-1.7","<0.01","Down",NA
"CDC27",0.091,0.630336882579021,0.1,0.63,"0.1","0.63","NS",NA
"CDC34",-0.797,0.00599857091424986,-0.8,0.01,"-0.8","<0.01","NS",NA
"CDC37",-1.13,0.000904392757877613,-1.1,0,"-1.1","<0.01","Down",NA
"CDC40",-0.205,0.335942073056516,-0.2,0.34,"-0.2","0.34","NS",NA
"CDC42",-2.19,0.000873082243057179,-2.2,0,"-2.2","<0.01","Down",NA
"CDC42BPA",0.546,0.0859084438946664,0.5,0.09,"0.5","0.09","NS",NA
"CDC42BPB",-0.0702,0.717686791406126,-0.1,0.72,"-0.1","0.72","NS",NA
"CDC42EP4",-1.23,0.00177479496504355,-1.2,0,"-1.2","<0.01","Down",NA
"CDC42SE1",-1.07,0.230039819550056,-1.1,0.23,"-1.1","0.23","NS",NA
"CDC45",-0.773,0.186338813770075,-0.8,0.19,"-0.8","0.19","NS",NA
"CDC5L",-0.427,0.0470944182786744,-0.4,0.05,"-0.4","0.05","NS",NA
"CDC6",-1.01,0.0529457808477995,-1,0.05,"-1.0","0.05","NS",NA
"CDC7",-0.328,0.0780667460938857,-0.3,0.08,"-0.3","0.08","NS",NA
"CDC73",-0.0182,0.930353325826496,0,0.93,"-0.0","0.93","NS",NA
"CDCA2",-0.629,0.0363351634685133,-0.6,0.04,"-0.6","0.04","NS",NA
"CDCA3",-1.29,0.0263380143421202,-1.3,0.03,"-1.3","0.03","NS",NA
"CDCA5",-1.13,0.00153917875803137,-1.1,0,"-1.1","<0.01","Down",NA
"CDCA7",-0.961,0.0359287187965157,-1,0.04,"-1.0","0.04","NS",NA
"CDCA8",-1.32,0.00416955327371341,-1.3,0,"-1.3","<0.01","Down",NA
"CDH2",-1.45,0.00181367564606236,-1.4,0,"-1.4","<0.01","Down",NA
"CDIPT",0.629,0.00644008756645384,0.6,0.01,"0.6","<0.01","NS",NA
"CDK1",0.911,0.0113644136319166,0.9,0.01,"0.9","0.01","NS",NA
"CDK11B",0.00551,0.979472222972982,0,0.98,"0.0","0.98","NS",NA
"CDK12",-0.558,0.0543624903797132,-0.6,0.05,"-0.6","0.05","NS",NA
"CDK13",-0.29,0.181701764072381,-0.3,0.18,"-0.3","0.18","NS",NA
"CDK16",3.96,4.31953400377696e-05,4,0,"4.0","<0.01","Up",NA
"CDK19",4.07,1.27138814651811e-07,4.1,0,"4.1","<0.01","Up",NA
"CDK2",0.918,0.0109975422792062,0.9,0.01,"0.9","0.01","NS",NA
"CDK2AP1",-2.24,0.000483868705760406,-2.2,0,"-2.2","<0.01","Down",NA
"CDK4",0.635,0.0967941191905783,0.6,0.1,"0.6","0.10","NS",NA
"CDK5",1.16,0.0133985001797727,1.2,0.01,"1.2","0.01","NS",NA
"CDK5RAP1",0.482,0.0586062480455799,0.5,0.06,"0.5","0.06","NS",NA
"CDK5RAP2",0.37,0.147691543498827,0.4,0.15,"0.4","0.15","NS",NA
"CDK5RAP3",0.509,0.0626400598326137,0.5,0.06,"0.5","0.06","NS",NA
"CDK6",0.585,0.0731280530563917,0.6,0.07,"0.6","0.07","NS",NA
"CDK7",0.752,0.017397575201024,0.8,0.02,"0.8","0.02","NS",NA
