"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"SEC16A",0.654,0.00343689558122123,0.7,0,"0.7","<0.01","NS",NA
"SEC22B",-0.443,0.00990148628200632,-0.4,0.01,"-0.4","<0.01","NS",NA
"SEC23A",-0.121,0.772345934938642,-0.1,0.77,"-0.1","0.77","NS",NA
"SEC23B",0.37,0.324159027781782,0.4,0.32,"0.4","0.32","NS",NA
"SEC23IP",0.000347,0.999432481187388,0,1,"0.0","1.00","NS",NA
"SEC24A",0.241,0.472874724292601,0.2,0.47,"0.2","0.47","NS",NA
"SEC24B",-0.0986,0.767433227976919,-0.1,0.77,"-0.1","0.77","NS",NA
"SEC24C",-0.165,0.768370447514833,-0.2,0.77,"-0.2","0.77","NS",NA
"SEC24D",0.193,0.508691408276217,0.2,0.51,"0.2","0.51","NS",NA
"SEC31A",0.52,0.00799262775973331,0.5,0.01,"0.5","<0.01","NS",NA
"SEC61A1",-0.289,0.602066778149564,-0.3,0.6,"-0.3","0.60","NS",NA
"SEC61A2",1.07,0.464032908725041,1.1,0.46,"1.1","0.46","NS",NA
"SEC61B",0.226,0.51381716053287,0.2,0.51,"0.2","0.51","NS",NA
"SEC61G",1.87,0.00156556230903071,1.9,0,"1.9","<0.01","Up",NA
"SEC62",-0.0682,0.908658816501416,-0.1,0.91,"-0.1","0.91","NS",NA
"SECISBP2",1.69,1.18900343026391e-05,1.7,0,"1.7","<0.01","Up",NA
"SECISBP2L",1.31,0.0259555609605961,1.3,0.03,"1.3","0.03","NS",NA
"SEH1L",-0.455,0.130585488608267,-0.5,0.13,"-0.5","0.13","NS",NA
"SEL1L",-0.41,0.0620719461761884,-0.4,0.06,"-0.4","0.06","NS",NA
"SELENBP1",0.287,0.743585632173366,0.3,0.74,"0.3","0.74","NS",NA
"SELENOH",0.622,0.23277198860924,0.6,0.23,"0.6","0.23","NS",NA
"SELENOK",1.19,0.0339223351104432,1.2,0.03,"1.2","0.03","NS",NA
"SELENOM",1.13,0.0335460175169221,1.1,0.03,"1.1","0.03","NS",NA
"SELENON",0.727,0.10036155912479,0.7,0.1,"0.7","0.10","NS",NA
