"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-8953854","Metabolism of RNA",615,76,9.235,1.2086,0.273,0.0428506636290269,1.36804244776196,1,0.143601419668321,1,"LSM2,GEMIN6,ADAT2,CASC3,C9orf78,RPS5,SNRPC,PPIH,FAU,PSMB1,RPP25,C2orf49,RIOK1,SYF2,RPL12,RPS19,DDX39B,CNOT3,RIOK2,PRKRIP1,LSM10,SNRNP27,LSM3,RPL34,SNRPA1,CWC27,DXO,PSMA4,UBL5,RPP21,SNRNP48,DNAJC8,PHAX,PSMB2,RPS10,RNF113A,RPP38,RPSA,DUS2,LENG1,NSRP1,FAM32A,RPL27,RPS20,GEMIN2,ZFP36L1,YBX1,ZMAT5,GEMIN7,TNKS1BP1,WBP4,LSM7,RPS3,SNRPB2,SMNDC1,EIF4B,PSMA5,STEEP1,QTRT1,SDE2,ZC3H4,PPIL3,PSMB3,RPS17,SLBP,POP4,MNAT1,ZCCHC8,QTRT2,SARNP,LSM1,RPL30,SNRPA,DDX39A,CSTF1,PRCC","13940,20044,21172,17040,24932,10426,11157,14651,3597,9537,30361,28772,18656,19824,10302,10402,13917,7879,18999,21894,17562,30240,17874,10340,11152,10664,2992,9533,13736,21300,21368,15470,10241,9539,10383,12974,30329,6502,26014,15502,25305,24563,10328,10405,10884,1107,8014,28046,20045,19081,12739,20470,10420,11155,16900,3285,9534,26239,23797,26643,17808,9262,9540,10397,10904,30081,7181,25265,25771,24432,20472,10333,11151,17821,2483,9343","metabolism of rna","ADAT2;C2orf49;C9orf78;CASC3;CNOT3;CSTF1;CWC27;DDX39A;DDX39B;DNAJC8;DUS2;DXO;EIF4B;FAM32A;FAU;GEMIN2;GEMIN6;GEMIN7;LENG1;LSM1;LSM10;LSM2;LSM3;LSM7;MNAT1;NSRP1;PHAX;POP4;PPIH;PPIL3;PRCC;PRKRIP1;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;QTRT1;QTRT2;RIOK1;RIOK2;RNF113A;RPL12;RPL27;RPL30;RPL34;RPP21;RPP25;RPP38;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA;SARNP;SDE2;SLBP;SMNDC1;SNRNP27;SNRNP48;SNRPA;SNRPA1;SNRPB2;SNRPC;STEEP1;SYF2;TNKS1BP1;UBL5;WBP4;YBX1;ZC3H4;ZCCHC8;ZFP36L1;ZMAT5",76
NA,"REACTOME pathway","R-HSA-71291","Metabolism of amino acids and derivatives",217,34,4.131,1.5324,0.616,0.00734166675558564,2.1342053323756,1,0.050423535409242,0.423631399624651,"PSPH,ALDH7A1,RPSA,RPS10,ASRGL1,DARS1,PSMA4,RPL27,RPS20,PSMB2,GOT1,RPS3,RIDA,QDPR,BCKDHB,MTAP,RPS17,ADO,FAU,PSMA5,RPL30,SARS1,PSMB3,GSTZ1,RPS5,ADI1,CKB,PCBD1,RPL12,RPS19,GLUL,PSMB1,RPL34,SHMT1","9577,877,6502,10383,16448,2678,9533,10328,10405,9539,4432,10420,16897,9752,987,7413,10397,23506,3597,9534,10333,10537,9540,4643,10426,30576,1991,8646,10302,10402,4341,9537,10340,10850","metabolism of amino acids and derivatives","ADI1;ADO;ALDH7A1;ASRGL1;BCKDHB;CKB;DARS1;FAU;GLUL;GOT1;GSTZ1;MTAP;PCBD1;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;PSPH;QDPR;RIDA;RPL12;RPL27;RPL30;RPL34;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA;SARS1;SHMT1",34
NA,"KEGG Pathway H.sap","path:hsa04144","Endocytosis",185,30,3.645,1.586,0.665,0.00702230017556421,2.15352061010211,1,0.0488509372563815,0.410419276532993,"WASL,EPN1,EEA1,ARRB1,CAPZB,WASHC2A,ARF4,SH3GL1,CHMP4A,CHMP4C,RHOA,WIPF1,ARPC5L,AMPH,RAB11B,CHMP4B,CHMP5,ARF5,SH3GL2,CLTB,WIPF2,ARPC5,VPS29,WASHC2C,ARF1,RAB4A,BIN1,CDC42,IST1,ARF6","12735,21604,3185,711,1491,23416,655,10830,20274,30599,667,12736,23366,471,9761,16171,26942,658,10831,2091,30923,708,14340,23414,652,9781,1052,1736,28977,659","endocytosis","AMPH;ARF1;ARF4;ARF5;ARF6;ARPC5;ARPC5L;ARRB1;BIN1;CAPZB;CDC42;CHMP4A;CHMP4B;CHMP4C;CHMP5;CLTB;EEA1;EPN1;IST1;RAB11B;RAB4A;RHOA;SH3GL1;SH3GL2;VPS29;WASHC2A;WASHC2C;WASL;WIPF1;WIPF2",30
NA,"KEGG Pathway H.sap","path:hsa05131","Shigellosis",149,29,3.524,1.9035,0.929,0.000462437509284178,3.33494694661508,1,0.00825704097073494,0.069371213160698,"SEPTIN8,CRKL,ARPC5,UBE2N,CDC42,FOXO3,RAC1,WASF2,CAST,ARPC5L,RHOA,FNBP1,SEPTIN11,SEPTIN2,UBE2V1,WASL,PFN3,ARF1,BCL10,SEPTIN6,CRK,MALT1,SEPTIN7,CTTN,PLCB3,UBE2V2,CAPN1,FNBP1L,ARF6","16511,2363,708,12492,1736,3821,9801,12733,1515,23366,667,17069,25589,7729,12494,12735,18627,652,989,15848,2362,6819,1717,3338,9056,12495,1476,20851,659","shigellosis","ARF1;ARF6;ARPC5;ARPC5L;BCL10;CAPN1;CAST;CDC42;CRK;CRKL;CTTN;FNBP1;FNBP1L;FOXO3;MALT1;PFN3;PLCB3;RAC1;RHOA;SEPTIN11;SEPTIN2;SEPTIN6;SEPTIN7;SEPTIN8;UBE2N;UBE2V1;UBE2V2;WASF2;WASL",29
NA,"REACTOME pathway","R-HSA-449147","Signaling by Interleukins",162,24,2.916,1.4489,0.535,0.039702938139098,1.40117735292501,1,0.135782962172018,1,"BOLA2B,CFL1,JUNB,SNRPA1,ATF2,PSMA4,AIP,ARF1,GRB2,PSMB2,CNN2,MIF,TALDO1,CRKL,PSMA5,TXLNA,CDKN1A,RAPGEF1,PSMB3,CREB1,MTAP,UBE2N,FOXO3,PSMB1","32479,1874,6205,11152,784,9533,358,652,4566,9539,2156,7097,11559,2363,9534,30685,1784,4568,9540,2345,7413,12492,3821,9537","signaling by interleukins","AIP;ARF1;ATF2;BOLA2B;CDKN1A;CFL1;CNN2;CREB1;CRKL;FOXO3;GRB2;JUNB;MIF;MTAP;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;RAPGEF1;SNRPA1;TALDO1;TXLNA;UBE2N",24
NA,"KEGG Pathway H.sap","path:hsa03010","Ribosome",158,23,2.795,1.4237,0.51,0.0513503461068137,1.28945662486567,1,0.158488722551894,1,"RPS20,RPL12,MRPL16,MRPL37,RPL34,DAP3,RPS17,MRPL19,RPS3,RPL27,MRPS23,MRPL11,MRPL3,FAU,RPS19,RPL11,MRPL2,RPS5,RPL30,MRPS28,RPS10,MRPS6,RPSA","10405,10302,14476,14034,10340,2673,10397,14052,10420,10328,14509,14042,10379,3597,10402,10301,14056,10426,10333,14513,10383,14051,6502","ribosome","DAP3;FAU;MRPL11;MRPL16;MRPL19;MRPL2;MRPL3;MRPL37;MRPS23;MRPS28;MRPS6;RPL11;RPL12;RPL27;RPL30;RPL34;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA",23
NA,"REACTOME pathway","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation",145,22,2.673,1.4839,0.569,0.0377718095480167,1.42283220876809,1,0.130427519157516,1,"PSMA4,UBE2G1,RNF114,PSMB2,UBE2N,RNF34,UBE2A,RCHY1,PSMA5,UBE2H,PJA1,PSMB3,UBE2V2,TRIM11,UBE2K,UBE2B,RNF138,PSMB1,UBE2L3,RNF25,RNF4,UBAC1","9533,12482,13094,9539,12492,17297,12472,17479,9534,12484,16648,9540,12495,16281,4914,12473,17765,9537,12488,14662,10067,30221","antigen processing ubiquitination proteasome degradation","PJA1;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;RCHY1;RNF114;RNF138;RNF25;RNF34;RNF4;TRIM11;UBAC1;UBE2A;UBE2B;UBE2G1;UBE2H;UBE2K;UBE2L3;UBE2N;UBE2V2",22
NA,"REACTOME pathway","R-HSA-376176","Signaling by ROBO receptors",147,22,2.673,1.4637,0.55,0.043088325890063,1.3656403792194,1,0.143819512316632,1,"PSMB3,RPS17,RPSA,RPL30,VASP,PSMB1,RPS5,SRGAP1,RHOA,RPL12,RPS19,PSMA4,RPL34,CASC3,PSMB2,RPS10,FAU,RPL27,RPS20,PSMA5,RPS3,ENAH","9540,10397,6502,10333,12652,9537,10426,17382,667,10302,10402,9533,10340,17040,9539,10383,3597,10328,10405,9534,10420,18271","signaling by robo receptors","CASC3;ENAH;FAU;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;RHOA;RPL12;RPL27;RPL30;RPL34;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA;SRGAP1;VASP",22
NA,"KEGG Pathway H.sap","path:hsa01240","Biosynthesis of cofactors",97,20,2.43,2.0165,1.012,0.0016437267830009,2.78417036836285,1,0.0181027178744593,0.152089290207956,"PDXK,NAPRT,PTS,NADK2,GSS,NME1,PNPO,PMM1,SHMT1,AK1,BCAT1,PPCDC,MAT2A,NME2,RFK,PMM2,CTPS2,AKR1A1,NADSYN1,MOCS2","8819,30450,9689,26404,4624,7849,30260,9114,10850,361,976,28107,6904,7850,30324,9115,2520,380,29832,7193","biosynthesis of cofactors","AK1;AKR1A1;BCAT1;CTPS2;GSS;MAT2A;MOCS2;NADK2;NADSYN1;NAPRT;NME1;NME2;PDXK;PMM1;PMM2;PNPO;PPCDC;PTS;RFK;SHMT1",20
NA,"REACTOME pathway","R-HSA-9948299","Ribosome-associated quality control",123,19,2.309,1.5107,0.595,0.0436183111946108,1.36033115336209,1,0.144623047727489,1,"PSMB1,RPS5,RPL12,RPS19,PSMA4,RPL34,RCHY1,PSMB2,RPS10,FAU,RPL27,RPS20,PSMA5,RPS3,PSMB3,RPS17,RPSA,RPL30,UFD1","9537,10426,10302,10402,9533,10340,17479,9539,10383,3597,10328,10405,9534,10420,9540,10397,6502,10333,12520","ribosome associated quality control","FAU;PSMA4;PSMA5;PSMB1;PSMB2;PSMB3;RCHY1;RPL12;RPL27;RPL30;RPL34;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA;UFD1",19
