"Gene","DisplayGene","Pathway","name","ID","SigIn","100 vs Veh significant","200 vs 100 significant","200 vs Veh significant","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"DPAGT1","DPAGT1","N-glycan","DPAGT1","Q9H3H5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.75,0.139,1.62,0.0345864695051703,2.89,0.398071721586918,1.48,0.00446098807686299,4.37
"ALG11","ALG11","N-glycan","ALG11","Q2TAA5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.97,0.18,0.878,0.0047326061708265,2.15,0.444778909954309,0.698,0.00079661581724798,2.85
"DPM1","DPM1","N-glycan","DPM1","O60762","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.871,0.036,0.515,0.00151407587158327,0.907,0.133420612538071,0.479,3.88620874765294e-05,1.39
"STT3B","STT3B","N-glycan","STT3B","Q8TCJ2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.748,0.112,0.297,0.00793474638394709,0.86,0.668353487452328,0.185,0.00300013426433247,1.04
"ALG5","ALG5","N-glycan","ALG5","Q9Y673","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.19,0.266,-0.0944,0.00787557029768855,1.46,0.612790609576595,-0.36,0.0454264756649678,1.09
"STT3A","STT3A","N-glycan","STT3A","P46977","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.14,-0.145,0.341,0.00112511671621028,0.992,0.143497430013276,0.485,3.04674726728179e-05,1.48
"RPN1","RPN1","N-glycan","RPN1","P04843","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.01,-0.158,0.0981,0.00394738846199018,0.85,0.468435361860517,0.256,0.000736130049547527,1.11
"RPN2","RPN2","N-glycan","RPN2","P04844","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.99,-0.0558,-0.0329,0.00618751037067615,0.934,0.965749202832929,0.0228,0.00709025874322895,0.957
"UGGT1","UGGT1","N-glycan","UGGT1","Q9NYU2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.08,-0.144,-0.0798,0.00297608887550481,0.934,0.886025239231292,0.0643,0.00243974041614033,0.998
"ALG1","ALG1","N-glycan","ALG1","Q9BT22","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.99,-0.0876,0.0938,5.49182224235359e-07,2.9,0.730610653285779,0.181,1.89790347738924e-07,3.08
"ALG8","ALG8","N-glycan","ALG8","Q9BVK2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.83,0.161,-0.386,0.000105379736094014,2.99,0.463540630587871,-0.546,0.000510079601122339,2.45
"ALG3","ALG3*","N-glycan","ALG3","Q92685","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.64,0.0472,0.125,0.000745405997243016,2.69,0.941781919041438,0.0774,0.000609729747808925,2.77
"ALG9","ALG9","N-glycan","ALG9","Q9H6U8","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.45,0.0321,-0.17,3.14758841074633e-07,2.48,0.629587018330741,-0.202,8.33893070851521e-07,2.28
"ALG2","ALG2","N-glycan","ALG2","Q9H553","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.34,-0.645,-0.616,0.00253243660656273,1.69,0.971441558144061,0.0293,0.00290855672300204,1.72
"RFT1","RFT1","N-glycan","RFT1","Q96AA3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.45,-0.308,-0.545,0.0145732195128038,1.14,0.710182854285076,-0.237,0.0570199105333509,0.903
"TUBA4A","TUBA4A","CCT/TriC","TUBA4A","P68366","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-6.41,4.7,2.94,0.000614338407083342,11.1,0.630250479286853,-1.76,0.00228004034425838,9.34
"CCT2","CCT2","CCT/TriC","CCT2","P78371","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.418,0.344,-0.447,0.025460612655619,0.762,0.0737846478606704,-0.791,0.945002442843226,-0.0292
"CCT3","CCT3","CCT/TriC","CCT3","P49368","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.435,0.408,-0.409,0.00883726033381765,0.843,0.050154257455525,-0.816,0.945144166600729,0.0264
"CCT4","CCT4","CCT/TriC","CCT4","P50991","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.442,0.426,-0.317,0.00413441821126254,0.868,0.0502301642537864,-0.743,0.681512692004631,0.125
"CCT8","CCT8","CCT/TriC","CCT8","P50990","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.383,0.403,-0.387,0.0143352455817135,0.786,0.0583642461669457,-0.79,0.990646058780416,-0.00452
"CCT5","CCT5","CCT/TriC","CCT5","P48643","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.345,0.399,-0.359,0.014426990783055,0.744,0.0567689194491972,-0.758,0.972190060676321,-0.0137
"TUBAL3","TUBAL3","CCT/TriC","TUBAL3","A6NHL2","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.147,0.551,-0.257,0.0531781187006154,0.698,0.0884619755854197,-0.808,0.791530448655146,-0.11
"TUBB6","TUBB6","CCT/TriC","TUBB6","Q9BUF5","100 vs Veh",TRUE,FALSE,FALSE,-0.46,0.468,-0.09,0.018037446683171,0.929,0.247044010455558,-0.558,0.353547899550046,0.37
"TCP1","TCP1","CCT/TriC","TCP1","P17987","100 vs Veh",TRUE,FALSE,FALSE,-0.99,0.339,-0.444,0.00276004602286359,1.33,0.127469513467963,-0.782,0.188596235721393,0.546
"TUBA1C","TUBA1C","CCT/TriC","TUBA1C","Q9BQE3","100 vs Veh",TRUE,FALSE,FALSE,-0.587,0.221,-0.16,0.0341858170359006,0.808,0.437671953919491,-0.381,0.278625107730556,0.427
"TUBB2A","TUBB2A*","CCT/TriC","TUBB2A","Q13885","100 vs Veh",TRUE,FALSE,FALSE,-0.589,0.18,-0.205,0.0138779745821145,0.768,0.31531256905811,-0.384,0.220114362210909,0.384
"TUBB4B","TUBB4B*","CCT/TriC","TUBB4B","P68371","100 vs Veh",TRUE,FALSE,FALSE,-0.703,0.235,-0.454,0.0156827383979572,0.938,0.152003010328669,-0.689,0.533898006216386,0.249
"TUBB4A","TUBB4A","CCT/TriC","TUBB4A","P04350","100 vs Veh",TRUE,FALSE,FALSE,-0.672,0.266,-0.46,0.0392596199604059,0.938,0.205689480681618,-0.726,0.669802563690788,0.212
"CCT7","CCT7","CCT/TriC","CCT7","Q99832","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.634,0.461,-0.296,0.00254249456810126,1.09,0.0770573371136879,-0.757,0.320299236291689,0.337
"CCT6A","CCT6A","CCT/TriC","CCT6A","P40227","100 vs Veh; 200 vs 100",TRUE,TRUE,FALSE,-0.645,0.378,-0.392,0.00685216941102075,1.02,0.0966683918424444,-0.77,0.50238064294527,0.253
"SLC39A10","SLC39A10","Transporters","SLC39A10","Q9ULF5","100 vs Veh; 200 vs 100; 200 vs Veh",TRUE,TRUE,TRUE,-0.729,-1.87,0.331,0.0132822589726185,-1.14,0.0011965856071181,2.2,0.0254690047798739,1.06
"SLC9A6","SLC9A6","Transporters","SLC9A6","Q92581","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.93,0.0959,0.563,0.0015259247449504,3.02,0.689861418652478,0.467,0.000599830168056517,3.49
"SLC7A11","SLC7A11","Transporters","SLC7A11","Q9UPY5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.25,0.162,0.575,0.0117828465008489,1.41,0.568268673541457,0.413,0.00310433796473387,1.82
"SLC11A2","SLC11A2*","Transporters","SLC11A2","P49281","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.607,0.631,0.962,0.0105254444612874,1.24,0.602230254595609,0.331,0.00315302450515915,1.57
"SLC9A1","SLC9A1","Transporters","SLC9A1","P19634","200 vs Veh",FALSE,FALSE,TRUE,-0.436,0.0609,0.506,0.140312600282971,0.497,0.307750735974206,0.446,0.0122060011157294,0.942
"SLC39A14","SLC39A14","Transporters","SLC39A14","Q15043","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.754,0.141,0.325,0.00181953886458202,0.895,0.59369463207139,0.184,0.000522689958961521,1.08
"ORAI1","ORAI1","Calcium handling","ORAI1","Q96D31","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.965,0.963,0.786,0.00868167980419721,1.93,0.869880403712586,-0.177,0.0199036438371461,1.75
"ATP2A2","ATP2A2","Calcium handling","ATP2A2","P16615","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.07,0.0304,0.154,0.00216988042311114,1.1,0.793810689272672,0.124,0.00124203805598826,1.23
"ATP2B1","ATP2B1","Calcium handling","ATP2B1","P20020","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.779,0.0958,-0.0869,0.00977365182055335,0.875,0.687968879944414,-0.183,0.0430948807861169,0.692
"PFDN6","PFDN6","Prefoldin","PFDN6","O15212","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,0.803,-0.701,-1.1,0.0165630160527785,-1.5,0.634273094169418,-0.402,0.0054090199239939,-1.91
"PFDN4","PFDN4","Prefoldin","PFDN4","Q9NQP4","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.81,-0.332,0.436,0.00215715166985591,-2.14,0.331565233708556,0.769,0.0375109049179906,-1.37
"PFDN5","PFDN5","Prefoldin","PFDN5","Q99471","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.09,0.0211,0.0589,0.040224833007236,-1.07,0.965203544934225,0.0377,0.0589257337275516,-1.03
"PFDN1","PFDN1","Prefoldin","PFDN1","O60925","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.1,-0.222,-0.309,0.018494237899015,-1.32,0.921203631101265,-0.0875,0.0173042865541104,-1.41
"PFDN2","PFDN2","Prefoldin","PFDN2","Q9UHV9","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.24,-0.223,-0.18,0.00808324493730599,-1.46,0.95907614144598,0.0436,0.0129153541807357,-1.42
"VBP1","VBP1/PFDN3","Prefoldin","VBP1","P61758","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,1.27,-0.112,-0.232,0.00098136876540744,-1.38,0.821202850660943,-0.12,0.00055227305196853,-1.5
"AGPAT5","AGPAT5","Lipid Metabolism","AGPAT5","Q9NUQ2","200 vs Veh",FALSE,FALSE,TRUE,-3.15,-0.833,1.45,0.186899474893977,2.32,0.319991183367931,2.28,0.0182834298302014,4.6
"MIGA1","MIGA1","Lipid Metabolism","MIGA1","Q8NAN2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.65,-0.00672,0.72,0.000998922330837007,2.64,0.408470331148888,0.726,0.000133339901214538,3.37
"GPAT4","GPAT4","Lipid Metabolism","GPAT4","Q86UL3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.08,0.351,0.57,3.8384921922425e-07,3.43,0.716925595919284,0.22,1.32577560585909e-07,3.65
"DDHD1","DDHD1","Lipid Metabolism","DDHD1","Q8NEL9","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.77,-0.422,0.181,2.00912389046106e-05,3.35,0.397457836670908,0.603,1.799105763391e-06,3.95
"AGPAT4","AGPAT4","Lipid Metabolism","AGPAT4","Q9NRZ5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-3.32,-0.281,-0.528,6.99136113754822e-06,3.04,0.705441210354416,-0.247,1.58861578990818e-05,2.79
"PLA2G4A","PLA2G4A","Lipid Metabolism","PLA2G4A","P47712","200 vs Veh",FALSE,FALSE,TRUE,-0.0172,0.179,0.651,0.421128391381873,0.197,0.137059806904143,0.472,0.0135007258537368,0.668
"GNPAT","GNPAT","Lipid Metabolism","GNPAT","O15228","100 vs Veh; 200 vs 100; 200 vs Veh",TRUE,TRUE,TRUE,-0.795,-0.202,0.287,0.0083120314277567,0.593,0.0810007250461631,0.489,0.000104379039676513,1.08
"GPD2","GPD2","Lipid Metabolism","GPD2","P43304","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.781,-0.0662,0.289,0.00861573425818869,0.715,0.278707637368733,0.355,0.000658305438271938,1.07
"LPCAT1","LPCAT1","Lipid Metabolism","LPCAT1","Q8NF37","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.07,-0.223,0.011,0.00231986834879453,0.845,0.468488768722884,0.234,0.00043973883906837,1.08
"PNPLA6","PNPLA6","Lipid Metabolism","PNPLA6","Q8IY17","200 vs Veh",FALSE,FALSE,TRUE,-0.876,-0.35,0.149,0.169057708666447,0.526,0.31531256905811,0.5,0.0158212249548002,1.03
"LPCAT4","LPCAT4","Lipid Metabolism","LPCAT4","Q643R3","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.71,-0.721,-0.213,0.0755657576313116,0.991,0.493405313694751,0.508,0.014592385294015,1.5
"AGPAT3","AGPAT3*","Lipid Metabolism","AGPAT3","Q9NRZ7","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.03,-0.144,0.323,0.000640645939442912,1.88,0.423509693093187,0.467,8.08382489989818e-05,2.35
