"LipidClass","Veh","100","200"
"PC",52,46,54
"PC Ether",32,28,31
"SM",20,19,21
"PE",17,14,13
"PI",14,9,9
"DG",10,17,13
"PE Ether",8,4,4
"TG",8,5,13
"PS",6,5,7
"CE",6,6,7
"Cer",6,11,8
"PG",1,0,0
"CAR",0,0,2
"Sum",180,164,182
