plot_id,plot_title,x_label,y_label,name,ID,x_ratio,y_ratio,x_padj,y_padj,significant_x,significant_y,significance_class,significant_either_axis,combined_abs_ratio
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARCKSL1,P49006,-0.322,-0.114,0.999035847456636,0.909130429522487,FALSE,FALSE,Not significant,FALSE,0.436
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARF1,Q9Y4F3,0.11,-0.27,0.999035847456636,0.780662302387986,FALSE,FALSE,Not significant,FALSE,0.38
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARK1,Q9P0L2,-0.0229,-0.106,0.999035847456636,0.685590124413359,FALSE,FALSE,Not significant,FALSE,0.1289
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARK2,Q7KZI7,0.118,0.259,0.999035847456636,0.247889449505369,FALSE,FALSE,Not significant,FALSE,0.377
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARK3,P27448,0.0217,-0.214,0.999035847456636,0.414853856718335,FALSE,FALSE,Not significant,FALSE,0.2357
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARS1,P56192,0.0793,-0.173,0.999035847456636,0.455576482698613,FALSE,FALSE,Not significant,FALSE,0.25229999999999997
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARS2,Q96GW9,0.279,0.66,0.999035847456636,0.00510360992209079,FALSE,TRUE,Significant on y-axis only,TRUE,0.9390000000000001
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MARVELD2,Q8N4S9,-0.414,-0.764,0.999035847456636,0.0842770449988125,FALSE,FALSE,Not significant,FALSE,1.178
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAST4,O15021,-0.121,-0.659,0.999035847456636,0.485520542473063,FALSE,FALSE,Not significant,FALSE,0.78
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MASTL,Q96GX5,0.0885,0.0261,0.999035847456636,0.968902282569231,FALSE,FALSE,Not significant,FALSE,0.1146
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MAT2A,P31153,-0.312,-0.489,0.999035847456636,0.137320841056563,FALSE,FALSE,Not significant,FALSE,0.8009999999999999
