"name","ID","log2fc_100_vs_vehicle","log2fc_200_vs_vehicle","pvalue_100_vs_vehicle","pvalue_200_vs_vehicle","direction_100","direction_200","sig_100","sig_200","significance_group","same_direction","combined_abs_log2fc","min_pvalue"
"PI 36:3","878.61227 -> 601.555998",-0.0706,-0.161,0.502616763515438,0.146671394191901,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2316,0.146671394191901
"PI 36:4","876.56017 -> 599.503898",0.0715,-0.205,0.33777935520299,0.0182023912144016,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2765,0.0182023912144016
"PI 38:2","908.65917 -> 631.602898",-0.147,-0.184,0.190140960540427,0.109627929938108,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.331,0.109627929938108
"PI 38:3","906.60717 -> 629.550898",-0.134,-0.191,0.250145176481611,0.113274362827124,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.325,0.113274362827124
"PI 38:4","904.59147 -> 627.535198",0.115,0.0997,0.180458823468826,0.240438563060685,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2147,0.180458823468826
"PI 38:5","902.57587 -> 625.519598",-0.192,-0.205,0.0835178289278385,0.067659297991932,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.397,0.067659297991932
"PI 40:5","930.60717 -> 653.550898",0.167,-0.171,0.0791230271496856,0.0730417065335327,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.338,0.0730417065335327
"PI O-36:1","868.62787 -> 591.571598",0.0398,-0.108,0.662123119794766,0.253748733228225,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1478,0.253748733228225
"PS 28:0","680.486625 -> 495.477698",0.285,0.27,0.0112586820731541,0.0148159352008628,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.555,0.0112586820731541
"PS 34:1","762.564925 -> 577.555998",0.0159,-0.062,0.857159742822528,0.48744398347305,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0779,0.48744398347305
"PS 36:1","790.596225 -> 605.587298",-0.0734,0.0312,0.474567232075318,0.758660493168879,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1046,0.474567232075318
"PS 36:2","788.580525 -> 603.571598",0.118,0.115,0.280375223902004,0.291528187861785,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.233,0.280375223902004
"PS 36:8","776.580525 -> 591.571598",-0.0216,-0.0227,0.824974721276059,0.816244997531652,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0443,0.816244997531652
"PS 38:3","814.559825 -> 629.550898",0.0354,-0.0979,0.813133961214451,0.517708092817443,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1333,0.517708092817443
"PS 40:5","838.559825 -> 653.550898",0.0282,-0.0468,0.790728111033313,0.661113721652829,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.075,0.661113721652829
"PS 40:6","836.544125 -> 651.535198",0.141,0.0476,0.123966965712745,0.579727425659609,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1886,0.123966965712745
"SM(32:0","677.559725 -> 184.1",0.124,0.0796,0.362436972111503,0.5518767707872,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2036,0.362436972111503
"SM(32:1","675.544125 -> 184.1",0.058,0.272,0.777874706404606,0.206872619784066,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.33,0.206872619784066
"SM(34:0","705.591025 -> 184.1",0.0109,0.2,0.922341079993078,0.100833083877953,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2109,0.100833083877953
