"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-HSA-983169","Class I MHC mediated antigen processing & presentation","189","48","2.602","1.108","0.148","0.230114631661484","0.638055766173522","1","0.568281818856154","1","UBE2Z,PSMB6,UBE2G1,UBAC1,RNF138,PSMA4,FBXO11,RNF4,UBE2N,SEC61G,PSMB1,PJA1,CDC26,PSMB4,UBE2B,UBE2M,UBE2S,UBE2K,UBA5,PSMB7,UBE2H,UBE2E3,UBE2R2,PSMA5,TRIM11,PSMB2,UBA1,UBE2V2,MKRN1,CDC34,RNF25,PSMB5,UBE2D1,RNF7,RLIM,HMGB1,RNF34,PSME2,UBE2L3,RBCK1,RNF114,PSMA6,UBE2F,PSMB3,UBE2A,VAMP8,RCHY1,CYBA","25847,9543,12482,30221,17765,9533,13590,10067,12492,18277,9537,16648,17839,9541,12473,12491,17895,4914,23230,9544,12484,12479,19907,9534,16281,9539,12469,12495,7112,1734,14662,9542,12474,10070,13429,4983,17297,9569,12488,15864,13094,9535,12480,9540,12472,12647,17479,2577"
"","KEGG Pathway H.sap","path:hsa05222","Small cell lung cancer","63","16","0.867","1.108","0.148","0.366017827180827","0.436497761442442","1","0.721643981034754","1","ITGA3,CDKN1B,COL4A6,RELA,BIRC2,CASP3,PTK2,CKS1B,E2F3,RXRA,XIAP,CDKN1A,CKS2,RARB,FHIT,TP53","6139,1785,2208,9955,590,1504,9611,19083,3115,10477,592,1784,2000,9865,3701,11998"
"","Direct GO Biological Processes","GO:0006887","exocytosis","67","17","0.921","1.1069","0.147","0.360883398407361","0.442633096177984","1","0.713208297247748","1","SNAP29,TXLNA,PAK1,ARFGEF1,RAB11A,MICAL3,SCRN1,RAB12,ITSN1,SNAPIN,BRSK2,SYTL4,RAB8A,ARFGEF2,WASH6P,STX3,LIN7C","11133,30685,8590,15772,9760,24694,22192,31332,6183,17145,11405,15588,7007,15853,31685,11438,17789"
"","Direct GO Biological Processes","GO:0034599","cellular response to oxidative stress","75","19","1.03","1.1052","0.144","0.351197732100961","0.454448297262571","1","0.696820897025716","1","PRDX5,MSRA,ZFAND1,ENDOG,PRDX2,PARK7,GPX1,RWDD1,ARNT,SNCA,FOXO1,CCS,SETX,GSR,SELENOS,ATF2,STAU1,PRDX3,FOXO3","9355,7377,25858,3346,9353,16369,4553,20993,700,11138,3819,1613,445,4623,30396,784,11370,9354,3821"
"","KEGG Pathway H.sap","path:hsa05202","Transcriptional misregulation in cancer","79","20","1.084","1.1045","0.143","0.346611835293769","0.460156612092327","1","0.69120704654761","1","ZEB1,CEBPB,RELA,BCL11B,BIRC2,TAF15,CDKN1A,PRCC,TFE3,FOXO1,ASPSCR1,MAF,TCF3,CDKN1B,PTK2,TP53,FUS,RXRA,KLF3,MITF","11642,1834,9955,13222,590,11547,1784,9343,11752,3819,13825,6776,11633,1785,9611,11998,4010,10477,16516,7105"
"","REACTOME pathway","R-HSA-5653656","Vesicle-mediated transport","411","104","5.637","1.1039","0.143","0.132003433440204","0.879414772546104","1","0.424721471815328","1","SNX5,RAB14,ASPSCR1,TRAPPC6B,YWHAQ,GABARAPL2,YWHAZ,TRIP11,ARRB1,BLOC1S1,KIF5B,RAB5B,COPS7A,BLOC1S4,TBC1D17,RABEPK,SH3D19,RAB35,GGA3,RAB11A,ARF1,VPS4B,CAPZB,GOLGA4,PAFAH1B3,SPTBN1,NECAP1,CHMP5,COPS7B,VPS25,DCTN6,PACSIN2,YWHAE,RABEP1,ARF6,ARPC3,DYNC1LI2,AGFG1,RAB4A,EPN1,RAB6B,GCC1,CHMP4B,RAB32,KIFAP3,RAB7A,SNAP29,BICD1,GOLGA1,RAB8A,SH3GL1,DYNC1LI1,DENND4C,RAB1B,DENND4A,RAB12,RAB31,SNAPIN,TMF1,SYNJ2,ARF4,GCC2,CLTB,GOLGB1,PRKAB1,BLOC1S6,VTA1,KLC2,CHMP4C,COPS8,DCTN3,YWHAG,RAB11B,ARL1,PLIN3,CTTN,HSPA8,RAB5A,SH3KBP1,FNBP1L,VPS37B,VPS37A,COPS5,FNBP1,VAMP8,AMPH,RAB9A,CAPZA1,GOLGA2,PAFAH1B2,SH3GL2,BET1L,NECAP2,DTNBP1,TFG,KIF3A,ARFIP2,TPD52L1,WASL,ARF5,ARPC5,DYNC1I2,GRB2,RAB1A","14969,16524,13825,23066,12854,13291,12855,12305,711,4200,6324,9784,16758,24206,25699,16896,30418,9774,17079,9760,652,10895,1491,4427,8576,11275,24539,26942,16760,28122,16964,8571,12851,17677,659,706,2966,5175,9781,21604,14902,19095,16171,9772,17060,9788,11133,1049,4424,7007,10830,18745,26079,18370,24321,31332,9771,17145,11870,11504,655,23218,2091,4429,9378,8549,20954,20716,30599,24335,2713,12852,9761,692,16893,3338,5241,9783,13867,20851,25754,24928,2240,17069,12647,471,9792,1488,4425,8575,10831,19348,25528,17328,11758,6319,17160,12006,12735,658,708,2964,4566,9758"
"","Direct GO Biological Processes","GO:0008033","tRNA processing","91","23","1.247","1.1026","0.141","0.333721287733412","0.476616089268859","1","0.69120704654761","1","ADAT2,POP4,DUS2,AARS1,LSM6,ELAC1,RPP21,POP7,CDKAL1,ZBTB8OS,POP1,THG1L,DUS1L,SSB,ELP5,QTRT1,RPP38,RPP25,RPP14,TYW1,QTRT2,LAGE3,POP5","21172,30081,26014,20,17017,14197,21300,19949,21050,24094,30129,26053,30086,11316,30617,23797,30329,30361,30327,25598,25771,26058,17689"
"","KEGG Pathway H.sap","path:hsa05017","Spinocerebellar ataxia","95","24","1.301","1.1021","0.14","0.329678448529341","0.481909442273603","1","0.69120704654761","1","NRBF2,PSMA5,PSMB6,NFYA,PSMB1,PSMD9,RB1CC1,PSMA3,PSMB4,ATXN2L,PSMA6,PSMB7,ATXN1,PLCB3,PSMB2,PLCB1,PSMA4,PSMB5,ITPR3,PSMA7,PSMD4,ATXN2,PSMA1,PSMB3","19692,9534,9543,7804,9537,9567,15574,9532,9541,31326,9535,9544,10548,9056,9539,15917,9533,9542,6182,9536,9561,10555,9530,9540"
"","Direct GO Biological Processes","GO:0007399","nervous system development","258","65","3.523","1.0991","0.136","0.208531325607778","0.680828696005757","1","0.544184043861634","1","GATA3,MAP1B,BORCS5,PAX6,TCF12,NUMBL,SRGAP2,PCDH10,CDC42,GSS,NEDD4,RXRA,ESS2,DEAF1,NDE1,PHACTR4,EFNB1,LRCH4,TCF3,UNC119,ZNF423,ZC4H2,UNC119B,NRGN,APC,GMFB,MBNL1,TRAPPC6B,PRPS1,ZIC2,FEZ2,TMOD2,HES4,TBCB,HES1,NME1,SDC2,SSNA1,ADNP2,MAP1S,NDEL1,EFNB3,CAPRIN1,ZIC5,PAFAH1B3,ZEB1,INA,VPS13A,SRGAP1,ARF6,RAPGEF1,NAP1L1,DPF2,DPF1,HDAC4,EVL,IRF2BPL,DPYSL2,STMN1,SMN2,BRSK2,SETX,PPP1R9A,PPP1R9B,NOVA1","4172,6836,17950,8620,11623,8061,19751,13404,1736,4624,7727,10477,16817,14677,17619,25793,3226,6691,11633,12565,16762,24931,16488,8000,583,4373,6923,23066,9462,12873,3660,11872,24149,1989,5192,7849,10659,11321,23803,15715,17620,3228,6743,20322,8576,11642,6057,1908,17382,659,4568,7637,9964,20225,14063,20234,14282,3014,6510,11118,11405,445,14946,9298,7886"
"","Direct GO Biological Processes","GO:0042981","regulation of apoptotic process","139","35","1.897","1.0985","0.136","0.291344377089617","0.535593359322644","1","0.649050938056992","1","NME1,BAG6,MORF4L1,USP42,ACTN1,SOX9,BCL10,BRMS1,XIAP,TPT1,ANP32B,CAAP1,DFFA,NME2,PEA15,PPP1R13B,NME2P1,APEX1,PRDX2,PDCD5,ING3,BAD,VCP,MALT1,FBXO11,ACTN4,MSX2,RPS3,FADD,TNFAIP8,BIRC2,TP53,MORF4L2,HS1BP3,CREB1","7849,13919,16989,20068,163,11204,989,17262,592,12022,16677,25834,2772,7850,8822,14950,31358,587,9353,8764,14587,936,12666,6819,13590,166,7392,10420,3573,17260,590,11998,16849,24979,2345"
"","REACTOME pathway","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","171","43","2.331","1.097","0.134","0.268507368969709","0.571043790936617","1","0.618110886210196","1","RPS15,RPS25,RIOK1,RPSA,RPL30,RPS5,RPS18,RPP38,EXOSC6,RPL8,RPLP0,RPS12,RPS21,RIOK2,RPL22,RPS3A,RPS15A,RPS28,LTV1,NCL,RPL31,RPS19,RPP14,RPL22L1,RPS7,RPL12,RPS2,RPS13,RPS24,RPP21,FAU,RPL27,RPS4X,RPS17,MPHOSPH6,RRP36,RPL5,RPL34,RPS20,RPP25,RPS10,RPL15,RPS3","10388,10413,18656,6502,10333,10426,10401,30329,19055,10368,10371,10385,10409,18999,10315,10421,10389,10418,21173,7667,10334,10402,30327,27610,10440,10302,10404,10386,10411,21300,3597,10328,10424,10397,7214,21374,10360,10340,10405,30361,10383,10306,10420"
