"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Biological Processes","GO:0006954","inflammatory response","115","2","5.714","3.9995","2","0.0887783606665701","1.05169287868479","1","0.210072252606082","1","NFE2L2,LXN","7782,13347"
"","REACTOME pathway","R-HSA-9711097","Cellular response to starvation","118","2","5.714","3.8978","1.963","0.0927501053017236","1.03268558864627","1","0.216793945319069","1","ATP6V0D2,CASTOR2","18266,37073"
"","REACTOME pathway","R-HSA-9711123","Cellular response to chemical stress","121","2","5.714","3.8012","1.926","0.0967739210737169","1.01424166190354","1","0.219940729712993","1","NFE2L2,TRIM21","7782,11312"
"","Direct GO Cellular Component","GO:0016324","apical plasma membrane","130","2","5.714","3.538","1.823","0.109138711784776","0.962021176703367","1","0.234159549538233","1","ATP6V0D2,SLC26A11","18266,14471"
"","Direct GO Cellular Component","GO:0031410","cytoplasmic vesicle","443","4","11.429","2.0765","1.054","0.124018013318144","0.906515230027271","1","0.244252561550485","1","FGFR3,LMBRD1,TRIM21,CLTCL1","3690,23038,11312,2093"
"","Direct GO Cellular Component","GO:0005764","lysosome","285","3","8.571","2.4208","1.275","0.125647276616702","0.900846920228238","1","0.244252561550485","1","SLC46A3,SLC26A11,LMBRD1","27501,14471,23038"
"","SLIM2 GO CC","GO:0005764","lysosome","446","4","11.429","2.0625","1.044","0.126278921442724","0.89866913610413","1","0.244252561550485","1","LMBRD1,SLC26A11,ATP6V0D2,SLC46A3","23038,14471,18266,27501"
"","REACTOME pathway","R-HSA-2262752","Cellular responses to stress","466","4","11.429","1.974","0.981","0.141806486286604","0.848303903891634","1","0.265598467800643","1","ATP6V0D2,NFE2L2,CASTOR2,TRIM21","18266,7782,37073,11312"
"","SLIM2 GO BP","GO:0006810","transport","2032","12","34.286","1.3581","0.442","0.149581679132875","0.825121595901665","1","0.273915495227399","1","SLC26A11,RAP1BL,CLTCL1,ORAI1,CHKA,LMBRD1,ARL5B,SLC39A7,PHAF1,ATP6V0D2,NFE2L2,SLC46A3","14471,55079,2093,25896,1937,23038,23052,4927,29564,18266,7782,27501"
"","REACTOME pathway","R-HSA-212436","Generic Transcription Pathway","505","4","11.429","1.8216","0.865","0.174193682340962","0.758967600041404","1","0.298433644899749","1","PIDD1,ZNF627,PCBP4,ZNF71","16491,30570,8652,13141"
"","KEGG Pathway H.sap","path:hsa05012","Parkinson disease","175","2","5.714","2.6282","1.394","0.176087288794749","0.754271993297599","1","0.299556778275091","1","SLC39A7,NFE2L2","4927,7782"
"","REACTOME pathway","R-HSA-8953897","Cellular responses to stimuli","511","4","11.429","1.8002","0.848","0.179402162572637","0.746172326131935","1","0.30340071611549","1","ATP6V0D2,NFE2L2,CASTOR2,TRIM21","18266,7782,37073,11312"
"","KEGG Pathway H.sap","path:hsa04144","Endocytosis","185","2","5.714","2.4862","1.314","0.191790641249715","0.71717258878564","1","0.316731466787441","1","FGFR3,CLTCL1","3690,2093"
"","Direct GO Biological Processes","GO:0010468","regulation of gene expression","200","2","5.714","2.2997","1.201","0.215692592635213","0.66616476928267","1","0.341661820289938","1","PCBP4,TRIM21","8652,11312"
"","Direct GO Cellular Component","GO:0005769","early endosome","204","2","5.714","2.2546","1.173","0.222120957963369","0.653410462169992","1","0.348960521390539","1","ATP6V0D2,CLTCL1","18266,2093"
"","REACTOME pathway","R-HSA-1280218","Adaptive Immune System","381","3","8.571","1.8108","0.857","0.228904774701693","0.640345148326021","1","0.355730393117496","1","TRIM21,ORAI1,NFE2L2","11312,25896,7782"
"","Direct GO Biological Processes","GO:0006886","intracellular protein transport","212","2","5.714","2.1695","1.117","0.235029224101521","0.628878133145593","1","0.360378143622332","1","CLTCL1,ARL5B","2093,23052"
"","REACTOME pathway","R-HSA-3700989","Transcriptional Regulation by TP53","214","2","5.714","2.1493","1.104","0.2382652578474","0.622939278782988","1","0.36340191846752","1","PIDD1,PCBP4","16491,8652"
"","Direct GO Biological Processes","GO:0016192","vesicle-mediated transport","221","2","5.714","2.0812","1.057","0.249613125227877","0.602732582194049","1","0.373644436535866","1","ARL5B,CLTCL1","23052,2093"
"","REACTOME pathway","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","223","2","5.714","2.0625","1.044","0.252860429931718","0.597119127978158","1","0.375697021216377","1","FGFR3,ATP6V0D2","3690,18266"
"","Direct GO Biological Processes","GO:0006915","apoptotic process","402","3","8.571","1.7162","0.779","0.253524196778035","0.595980584552781","1","0.375712405018994","1","PIDD1,BCL2L12,FGFR3","16491,13787,3690"
"","REACTOME pathway","R-HSA-73857","RNA Polymerase II Transcription","601","4","11.429","1.5306","0.614","0.263222942826476","0.579676259781901","1","0.388064454382546","1","ZNF627,PCBP4,ZNF71,PIDD1","30570,8652,13141,16491"
"","SLIM2 GO BP","GO:0007267","cell-cell signaling","435","3","8.571","1.586","0.665","0.292999367331498","0.533133317409494","1","0.413942595124353","1","RAP1BL,FGFR3,ORAI1","55079,3690,25896"
"","KEGG Pathway H.sap","path:hsa05200","Pathways in cancer","250","2","5.714","1.8398","0.88","0.296766150652203","0.527585636490422","1","0.417214025978036","1","FGFR3,NFE2L2","3690,7782"
"","Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process","265","2","5.714","1.7356","0.795","0.321076609342966","0.493391331939861","1","0.439569167552871","1","BCL2L12,PIDD1","13787,16491"
"","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","882","5","14.286","1.3037","0.383","0.336746787105632","0.472696539180185","1","0.455598594319385","1","CLTCL1,RAP1BL,ARL5B,LMBRD1,PHAF1","2093,55079,23052,23038,29564"
"","Direct GO Biological Processes","GO:0016567","protein ubiquitination","293","2","5.714","1.5698","0.651","0.365945434426864","0.436583666774929","1","0.479313496117191","1","NFE2L2,TRIM21","7782,11312"
"","SLIM2 GO CC","GO:0005576","extracellular region","1564","8","22.857","1.1763","0.234","0.367524866653815","0.434713271313983","1","0.480288178013508","1","PLEKHH3,ATP6V0D2,FGFR3,PRPH,SLC46A3,LXN,CLTCL1,SLC26A11","26105,18266,3690,9461,27501,13347,2093,14471"
"","SLIM2 GO CC","GO:0005615","extracellular space","1384","7","20","1.1632","0.218","0.396364309327325","0.401905458525911","1","0.51215613002969","1","PLEKHH3,ATP6V0D2,PRPH,SLC46A3,LXN,CLTCL1,SLC26A11","26105,18266,9461,27501,13347,2093,14471"
"","REACTOME pathway","R-HSA-74160","Gene expression (Transcription)","748","4","11.429","1.2298","0.298","0.411880304189675","0.385228975186712","1","0.521992593287659","1","ZNF71,PIDD1,ZNF627,PCBP4","13141,16491,30570,8652"
"","Direct GO Cellular Component","GO:1990904","ribonucleoprotein complex","331","2","5.714","1.3896","0.475","0.425102273698228","0.371506572163075","1","0.534866099292081","1","TRIM21,PCBP4","11312,8652"
"","Direct GO Cellular Component","GO:0000785","chromatin","558","3","8.571","1.2364","0.306","0.441335455733208","0.35523118107141","1","0.554078355996931","1","ZBTB5,H1-6,NFE2L2","23836,4720,7782"
"","SLIM2 GO BP","GO:0008219","cell death","1026","5","14.286","1.1207","0.164","0.466632424270913","0.331025087246749","1","0.574680595449811","1","SLC39A7,BCL2L12,NFE2L2,FGFR3,PIDD1","4927,13787,7782,3690,16491"
"","SLIM2 GO CC","GO:0031410","cytoplasmic vesicle","1258","6","17.143","1.0968","0.133","0.472873188407171","0.325255309492541","1","0.578515070923666","1","ATP6V0D2,FGFR3,PHAF1,TRIM21,CLTCL1,LMBRD1","18266,3690,29564,11312,2093,23038"
"","Direct GO Biological Processes","GO:0006355","regulation of DNA-templated transcription","591","3","8.571","1.1674","0.223","0.479751501579739","0.318983657287073","1","0.584829283794485","1","ZNF627,NFE2L2,RBAK","30570,7782,17680"
"","Direct GO Cellular Component","GO:0005615","extracellular space","368","2","5.714","1.2498","0.322","0.480068559914777","0.318696735402689","1","0.584829283794485","1","PLEKHH3,LXN","26105,13347"
"","Direct GO Biological Processes","GO:0045944","positive regulation of transcription by RNA polymerase II","606","3","8.571","1.1385","0.187","0.49685183770588","0.303773099515917","1","0.601452224591329","1","ZNF71,BCL2L12,NFE2L2","13141,13787,7782"
"","SLIM2 GO BP","GO:0034655","nucleobase-containing compound catabolic process","386","2","5.714","1.1916","0.253","0.505704831078484","0.296102897463549","1","0.61088293670195","1","PCBP4,MEX3D","8652,16734"
