"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ATP5MK",0.193,0.999934611520757,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",-6.52,5.31067406174742e-07,-6.5,0,"-6.5","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ATP6V1D",0.239,0.851603075225538,0.2,0.85,"0.2","0.85","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATR",-0.057,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",1.3,0.999934611520757,1.3,1,"1.3","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"B4GALT5",0.423,0.973074388883508,0.4,0.97,"0.4","0.97","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"B4GALT6",2.19,0.0782456186609797,2.2,0.08,"2.2","0.08","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"B9D1",5.62,6.75713632318085e-07,5.6,0,"5.6","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"BACE1",-0.0918,0.999934611520757,-0.1,1,"-0.1","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BCL2L12",-0.00622,0.999934611520757,0,1,"-0.0","1.00","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"BCOR",0.0704,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",0.152,0.999934611520757,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLM",0.102,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S4",0.0903,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",-0.596,0.999934611520757,-0.6,1,"-0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BMP4",0.582,0.999934611520757,0.6,1,"0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BMPR2",4.27,0.0993820636898029,4.3,0.1,"4.3","0.10","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"BNIP3",5,0.00460568552648777,5,0,"5.0","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"BOD1",0.75,0.875393160914881,0.8,0.88,"0.8","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BORCS6",0.0547,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPGM",0.0435,0.999934611520757,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPNT2",-0.329,0.910876212511042,-0.3,0.91,"-0.3","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3",0.79,0.955672560728938,0.8,0.96,"0.8","0.96","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BRI3BP",-0.0631,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BRWD3",-0.0793,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BTBD9",-2.77,0.910876212511042,-2.8,0.91,"-2.8","0.91","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"BTN2A3P",-4.72,0.437148200316167,-4.7,0.44,"-4.7","0.44","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"C1orf159",-2.38,0.522186233000682,-2.4,0.52,"-2.4","0.52","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"C1orf198",0.355,0.930446025089416,0.4,0.93,"0.4","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C2CD2L",0.133,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C4A",1.59,0.876872548340984,1.6,0.88,"1.6","0.88","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"C4BPA",5.44,0.00020403280717554,5.4,0,"5.4","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C6orf89",0.111,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C8orf88",-0.623,0.999934611520757,-0.6,1,"-0.6","1.00","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"C9orf72",0.605,0.999934611520757,0.6,1,"0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CABIN1",0.0589,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALCOCO2",0.317,0.999934611520757,0.3,1,"0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMKK1",0.0723,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARMIL2",0.605,0.827717438468323,0.6,0.83,"0.6","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASTOR2",-0.846,0.799210858170993,-0.8,0.8,"-0.8","0.80","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"CBY1",0.513,0.904237588017912,0.5,0.9,"0.5","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC106",0.49,0.664459282389606,0.5,0.66,"0.5","0.66","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC120",-0.501,0.999934611520757,-0.5,1,"-0.5","1.00","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"CCDC138",5.22,0.056026172839037,5.2,0.06,"5.2","0.06","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"CCDC158",-5.22,9.529012728324e-08,-5.2,0,"-5.2","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CCDC18",-0.394,0.999934611520757,-0.4,1,"-0.4","1.00","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CCDC186",0.475,0.484420374606411,0.5,0.48,"0.5","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC28B",0.363,0.999934611520757,0.4,1,"0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC66",0.565,0.999934611520757,0.6,1,"0.6","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC82",-4.61,0.309911879947206,-4.6,0.31,"-4.6","0.31","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CCK",0.0585,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CCN1",-0.978,0.928217795782644,-1,0.93,"-1.0","0.93","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CCN2",0.407,0.999934611520757,0.4,1,"0.4","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CCNQ",2.45,0.781285578389001,2.5,0.78,"2.5","0.78","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"CCPG1",0.298,0.999934611520757,0.3,1,"0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CD151",-1.11,0.079109937954671,-1.1,0.08,"-1.1","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CD40",-5.55,0.0386315554765051,-5.6,0.04,"-5.6","0.04","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CD81",-1.88,0.000889757104317281,-1.9,0,"-1.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CD84",-0.183,0.999934611520757,-0.2,1,"-0.2","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CD99",6.09,0.0562087975092598,6.1,0.06,"6.1","0.06","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"CDC42EP1",0.657,0.453949339144775,0.7,0.45,"0.7","0.45","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CDCA7L",0.0319,0.999934611520757,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CDK11A",0.434,0.999934611520757,0.4,1,"0.4","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CDKN2A",0.0441,0.999934611520757,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CEBPZOS",0.524,0.927225718024138,0.5,0.93,"0.5","0.93","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CENPW",0.443,0.978739125605706,0.4,0.98,"0.4","0.98","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"CENPX",0.111,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CEP170B",0.274,0.946836877298512,0.3,0.95,"0.3","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CEP41",0.555,0.226072718923789,0.6,0.23,"0.6","0.23","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CFAP97",0.484,0.896881668971033,0.5,0.9,"0.5","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CHCHD4",0.0526,0.999934611520757,0.1,1,"0.1","1.00","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CHKA",0.331,0.999934611520757,0.3,1,"0.3","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"CHPF",-0.055,0.999934611520757,-0.1,1,"-0.1","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"CHPF2",-0.0947,0.999934611520757,-0.1,1,"-0.1","1.00","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"CHSY1",0.139,0.999934611520757,0.1,1,"0.1","1.00","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"CISD1",-0.0215,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CKS1B",0.591,0.601256959883989,0.6,0.6,"0.6","0.60","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CKS2",0.247,0.999934611520757,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CLK3",-0.303,0.912172943400727,-0.3,0.91,"-0.3","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CLOCK",-0.424,0.999934611520757,-0.4,1,"-0.4","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CLTCL1",-4.47,0.000824557737247346,-4.5,0,"-4.5","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CLU",0.655,0.25581580932736,0.7,0.26,"0.7","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CMTM6",0.288,0.999934611520757,0.3,1,"0.3","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CNBP",-4.84,0.00011939133317788,-4.8,0,"-4.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CNEP1R1",-4.69,0.00375734580772048,-4.7,0,"-4.7","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CNOT8",0.0929,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CNOT9",-0.239,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COL1A1",-0.0181,0.999934611520757,0,1,"-0.0","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"COL1A2",0.498,0.999934611520757,0.5,1,"0.5","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"COL4A6",-0.0572,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COLEC12",0.314,0.930446025089416,0.3,0.93,"0.3","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD3",-0.11,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD5",-0.56,0.999934611520757,-0.6,1,"-0.6","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD8",-0.196,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD9",-0.0236,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COQ9",-0.239,0.998174798376593,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COX6A1",-0.378,0.999934611520757,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CPNE8",0.233,0.908083182419655,0.2,0.91,"0.2","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CRABP2",-3.21,8.10902835375818e-06,-3.2,0,"-3.2","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CRBN",0.00321,0.999934611520757,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CREM",3.28,0.387969207611027,3.3,0.39,"3.3","0.39","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"CRIM1",-1.47,0.0774796272541597,-1.5,0.08,"-1.5","0.08","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CRYGD",0.302,0.999934611520757,0.3,1,"0.3","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"CSPG4",-0.1,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CSPG5",0.568,0.999934611520757,0.6,1,"0.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CUL7",-4.31,1.30620370623438e-05,-4.3,0,"-4.3","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CWC22",-0.0317,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CYBA",-0.153,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CYBC1",-0.000882,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CYLD",-1.36,0.307080357147341,-1.4,0.31,"-1.4","0.31","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CYREN",1.11,0.804684873356693,1.1,0.8,"1.1","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CYSTM1",0.31,0.999934611520757,0.3,1,"0.3","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"DACT1",0.468,0.999934611520757,0.5,1,"0.5","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DBP",0.466,0.999934611520757,0.5,1,"0.5","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DCBLD1",8.06,1.79599508385758e-06,8.1,0,"8.1","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"DCTD",0.16,0.999934611520757,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DDIT4",1.61,0.170067183992462,1.6,0.17,"1.6","0.17","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"DDR2",0.0594,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DDX19A",0.024,0.999934611520757,0,1,"0.0","1.00","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"DDX28",-0.227,0.95519061139072,-0.2,0.96,"-0.2","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DGCR2",0.671,0.426329885743571,0.7,0.43,"0.7","0.43","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DGCR6",0.408,0.999934611520757,0.4,1,"0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DGCR6L",0.397,0.999934611520757,0.4,1,"0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DHDDS",1.92,0.999934611520757,1.9,1,"1.9","1.00","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"DHRS13",1.08,0.926576839853892,1.1,0.93,"1.1","0.93","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"DKK1",1.63,0.0880934838199601,1.6,0.09,"1.6","0.09","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"DLX1",1.08,0.999934611520757,1.1,1,"1.1","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"DLX6",0.166,0.999934611520757,0.2,1,"0.2","1.00","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"DMTN",0.401,0.999934611520757,0.4,1,"0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DNA2",0.13,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DNAJB5",5.15,0.0521382133699494,5.2,0.05,"5.2","0.05","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"DNAL4",-0.266,0.999934611520757,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DNLZ",5.36,1.47853884673962e-08,5.4,0,"5.4","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR","DNLZ"
"DOLK",0.366,0.999934611520757,0.4,1,"0.4","1.00","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"DPH7",-2.96,0.013847423631349,-3,0.01,"-3.0","0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"DPM3",-1.05,0.0170552304974576,-1,0.02,"-1.0","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
