"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AKR1B1",-2.88,0.75,-2.9,0.75,"-2.9","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",2.29,0.633,2.3,0.63,"2.3","0.63","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1A1",-4.92,0.789,-4.9,0.79,"-4.9","0.79","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ALDH1L2",1.08,0.623,1.1,0.62,"1.1","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",2.68,0.534,2.7,0.53,"2.7","0.53","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALG2",2.62,0.731,2.6,0.73,"2.6","0.73","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALG3",3.99,0.0224,4,0.02,"4.0","0.02","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALG8",3.96,0.0054,4,0.01,"4.0","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALG9",4.88,0.12,4.9,0.12,"4.9","0.12","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALKBH2",-3.11,0.446,-3.1,0.45,"-3.1","0.45","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH3",-1.53,0.893,-1.5,0.89,"-1.5","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH4",-1.48,0.611,-1.5,0.61,"-1.5","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH5",-1.3,0.899,-1.3,0.9,"-1.3","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH6",-2.97,0.345,-3,0.34,"-3.0","0.34","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",3.91,0.934,3.9,0.93,"3.9","0.93","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AMBRA1",2.08,0.727,2.1,0.73,"2.1","0.73","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"AMMECR1",5.63,0.471,5.6,0.47,"5.6","0.47","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AMOT",1.33,0.796,1.3,0.8,"1.3","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",1.51,0.568,1.5,0.57,"1.5","0.57","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMPH",-0.667,0.922,-0.7,0.92,"-0.7","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",5.02,0.116,5,0.12,"5.0","0.12","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANAPC4",3.63,0.277,3.6,0.28,"3.6","0.28","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANAPC7",0.918,0.862,0.9,0.86,"0.9","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKLE2",1.66,0.328,1.7,0.33,"1.7","0.33","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKRD26",2.75,0.72,2.8,0.72,"2.8","0.72","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANKRD27",3.22,0.151,3.2,0.15,"3.2","0.15","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANKRD50",2.79,0.309,2.8,0.31,"2.8","0.31","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANKRD52",5.08,0.000322,5.1,0,"5.1","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANKRD54",-0.282,0.962,-0.3,0.96,"-0.3","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANO10",4.54,0.116,4.5,0.12,"4.5","0.12","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ANP32B",-1.72,0.612,-1.7,0.61,"-1.7","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA3",0.0616,0.967,0.1,0.97,"0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",-0.0782,0.966,-0.1,0.97,"-0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA6",0.604,0.898,0.6,0.9,"0.6","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AP3S2",-2.64,0.906,-2.6,0.91,"-2.6","0.91","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AP4B1",1.15,0.907,1.1,0.91,"1.1","0.91","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"APLP1",-8.85,0.00293,-8.8,0,"-8.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APLP2",-4.08,0.00601,-4.1,0.01,"-4.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APMAP",0.509,0.917,0.5,0.92,"0.5","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",-3.31,0.0725,-3.3,0.07,"-3.3","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",-3.12,0.797,-3.1,0.8,"-3.1","0.80","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"APOE",-3.32,0.0809,-3.3,0.08,"-3.3","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",-7.25,0.356,-7.2,0.36,"-7.2","0.36","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APOOL",0.475,0.941,0.5,0.94,"0.5","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APP",-3.77,0.00417,-3.8,0,"-3.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",3.87,0.128,3.9,0.13,"3.9","0.13","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ARF1",-3.67,0.583,-3.7,0.58,"-3.7","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARF3",-13.2,0.196,-13.2,0.2,"-13.2","0.20","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ARF4",-2,0.684,-2,0.68,"-2.0","0.68","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARF5",-2.33,0.64,-2.3,0.64,"-2.3","0.64","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARFGAP3",0.83,0.781,0.8,0.78,"0.8","0.78","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARHGAP11A",3.49,0.811,3.5,0.81,"3.5","0.81","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ARHGEF26",1.64,0.9,1.6,0.9,"1.6","0.90","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ARK2N",-2.49,0.194,-2.5,0.19,"-2.5","0.19","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARL10",1.53,0.714,1.5,0.71,"1.5","0.71","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ARL2",-1.92,0.742,-1.9,0.74,"-1.9","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARL3",-2.2,0.805,-2.2,0.8,"-2.2","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARL5B",-9.45,0.329,-9.4,0.33,"-9.4","0.33","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ARL6IP1",0.511,0.958,0.5,0.96,"0.5","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARL6IP6",4.04,0.342,4,0.34,"4.0","0.34","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ARPC5L",-0.823,0.885,-0.8,0.88,"-0.8","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARPP19",-0.781,0.953,-0.8,0.95,"-0.8","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARRB1",-0.378,0.942,-0.4,0.94,"-0.4","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARRDC3",-0.406,0.967,-0.4,0.97,"-0.4","0.97","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ART5",0.196,0.965,0.2,0.96,"0.2","0.96","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ARVCF",2.06,0.377,2.1,0.38,"2.1","0.38","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ASDURF",-0.519,0.954,-0.5,0.95,"-0.5","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ASF1A",-1.39,0.79,-1.4,0.79,"-1.4","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ASH1L",4.19,0.077,4.2,0.08,"4.2","0.08","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ASPRV1",-0.342,0.968,-0.3,0.97,"-0.3","0.97","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ASRGL1",-1.5,0.897,-1.5,0.9,"-1.5","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATAD5",1.27,0.521,1.3,0.52,"1.3","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF2",0.166,0.965,0.2,0.96,"0.2","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",-2.42,0.531,-2.4,0.53,"-2.4","0.53","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-2.05,0.861,-2,0.86,"-2.0","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF6",-1.13,0.836,-1.1,0.84,"-1.1","0.84","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP11C",6.97,0.0304,7,0.03,"7.0","0.03","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATP13A1",3.68,0.378,3.7,0.38,"3.7","0.38","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATP1B1",-1.01,0.809,-1,0.81,"-1.0","0.81","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP2A2",1.48,0.746,1.5,0.75,"1.5","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1A",1.24,0.832,1.2,0.83,"1.2","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1B",0.447,0.939,0.4,0.94,"0.4","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1C",1.09,0.885,1.1,0.88,"1.1","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MG",0.373,0.951,0.4,0.95,"0.4","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",-0.912,0.874,-0.9,0.87,"-0.9","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
