"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AAMP",-0.204,0.819,-0.2,0.82,"-0.2","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCA3",2.58,1.35e-05,2.6,0,"2.6","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ABCB1",0.0718,0.902,0.1,0.9,"0.1","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB10",1.08,0.0778,1.1,0.08,"1.1","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",-0.357,0.89,-0.4,0.89,"-0.4","0.89","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ABCC10",0.773,0.298,0.8,0.3,"0.8","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABHD16A",0.39,0.827,0.4,0.83,"0.4","0.83","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"ABHD5",-0.181,0.904,-0.2,0.9,"-0.2","0.90","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"ABLIM2",0.187,0.882,0.2,0.88,"0.2","0.88","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ABR",-0.264,0.887,-0.3,0.89,"-0.3","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABRACL",-0.0155,0.914,0,0.91,"-0.0","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACAD9",0.44,0.509,0.4,0.51,"0.4","0.51","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACAP2",-0.351,0.863,-0.4,0.86,"-0.4","0.86","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ACAT2",-0.276,0.869,-0.3,0.87,"-0.3","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACE2",-3.19,0.442,-3.2,0.44,"-3.2","0.44","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ACOT13",0.235,0.76,0.2,0.76,"0.2","0.76","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACOT8",0.305,0.384,0.3,0.38,"0.3","0.38","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACOT9",0.998,0.0397,1,0.04,"1.0","0.04","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ACOX3",0.469,0.826,0.5,0.83,"0.5","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACP1",0.0202,0.912,0,0.91,"0.0","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACSS3",0.00669,0.916,0,0.92,"0.0","0.92","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
