"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"GAN",0.256,0.43812727637037,0.3,0.44,"0.3","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GANAB",-0.396,0.0713730461778377,-0.4,0.07,"-0.4","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GAPDH",-0.305,0.744403407950534,-0.3,0.74,"-0.3","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GAPVD1",0.0316,0.914558614774352,0,0.91,"0.0","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GAR1",1.34,0.0225387478079133,1.3,0.02,"1.3","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GAREM1",0.51,0.887242660986263,0.5,0.89,"0.5","0.89","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"GARRE1",0.141,0.920160819073447,0.1,0.92,"0.1","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GARS1",-0.152,0.499696712501416,-0.2,0.5,"-0.2","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GART",-0.397,0.191833486349814,-0.4,0.19,"-0.4","0.19","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GAS1",0.401,0.513781574639645,0.4,0.51,"0.4","0.51","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GAS2L3",0.512,0.540916680995761,0.5,0.54,"0.5","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATA2",-0.266,0.626131565528942,-0.3,0.63,"-0.3","0.63","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATA3",0.695,0.213396565019047,0.7,0.21,"0.7","0.21","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"GATA6",-0.309,0.65289862111761,-0.3,0.65,"-0.3","0.65","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATAD1",0.0128,0.983359051990472,0,0.98,"0.0","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATAD2A",0.636,0.027045850936392,0.6,0.03,"0.6","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GATAD2B",0.516,0.133969720960407,0.5,0.13,"0.5","0.13","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATB",0.344,0.706515040313827,0.3,0.71,"0.3","0.71","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GATC",1.48,0.0101924736826132,1.5,0.01,"1.5","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GATD1",0.127,0.834165896835695,0.1,0.83,"0.1","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GBA1",-0.219,0.737288999124543,-0.2,0.74,"-0.2","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GBA2",-0.00935,0.992600141410042,0,0.99,"-0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GBE1",-0.694,0.058715144880229,-0.7,0.06,"-0.7","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GBF1",-0.441,0.119617339348915,-0.4,0.12,"-0.4","0.12","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCA",-0.0697,0.793969287732867,-0.1,0.79,"-0.1","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCAT",0.0654,0.848646443718581,0.1,0.85,"0.1","0.85","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCC1",0.402,0.422148004308584,0.4,0.42,"0.4","0.42","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCC2",0.296,0.569005930405966,0.3,0.57,"0.3","0.57","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCDH",0.126,0.746060158365725,0.1,0.75,"0.1","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GCFC2",0.399,0.135740009121644,0.4,0.14,"0.4","0.14","NS","Present_3of3","Present_3of3","Present vs Present",NA
