"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ARRDC3",5.05,0.0258,5,0.03,"5.0","0.03","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ART5",0.0114,0.538,0,0.54,"0.0","0.54","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"ARVCF",2.11,4.01e-05,2.1,0,"2.1","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ASDURF",-1.88,0.009,-1.9,0.01,"-1.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ASF1A",-1.33,0.0215,-1.3,0.02,"-1.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ASH1L",3.28,2.13e-05,3.3,0,"3.3","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ASPRV1",-0.115,0.533,-0.1,0.53,"-0.1","0.53","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ASRGL1",-2.17,0.0148,-2.2,0.01,"-2.2","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATAD5",0.0588,0.502,0.1,0.5,"0.1","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF2",-1.24,0.0344,-1.2,0.03,"-1.2","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",-2.03,0.0062,-2,0.01,"-2.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-0.299,0.459,-0.3,0.46,"-0.3","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF6",-1.05,0.044,-1,0.04,"-1.0","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP11C",7.47,9.37e-12,7.5,0,"7.5","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATP13A1",3.03,0.00167,3,0,"3.0","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATP1B1",0.252,0.368,0.3,0.37,"0.3","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP2A2",1.23,0.0327,1.2,0.03,"1.2","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1A",1.69,0.00245,1.7,0,"1.7","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1B",1.04,0.0117,1,0.01,"1.0","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5F1C",1.71,0.00404,1.7,0,"1.7","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MG",1.19,0.00979,1.2,0.01,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",-0.0884,0.493,-0.1,0.49,"-0.1","0.49","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5PO",1.16,0.000118,1.2,0,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A1",1.21,0.0362,1.2,0.04,"1.2","0.04","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0A2",1.4,0.0035,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",-0.636,0.363,-0.6,0.36,"-0.6","0.36","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"ATP6V1D",-0.567,0.0567,-0.6,0.06,"-0.6","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP7A",2.74,0.0256,2.7,0.03,"2.7","0.03","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATP9A",4.1,0.0129,4.1,0.01,"4.1","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATR",8,3.36e-14,8,0,"8.0","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR","ATR"
"ATXN2L",-1.36,0.0132,-1.4,0.01,"-1.4","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATXN7",4.59,0.00062,4.6,0,"4.6","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ATXN7L3B",-1.21,0.00607,-1.2,0.01,"-1.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",2.51,0.22,2.5,0.22,"2.5","0.22","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"B4GALT5",0.499,0.331,0.5,0.33,"0.5","0.33","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"B4GALT6",-0.0277,0.536,0,0.54,"-0.0","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GALT7",1.1,0.0494,1.1,0.05,"1.1","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"B9D1",5.18,2.75e-07,5.2,0,"5.2","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"BACE1",-0.719,0.428,-0.7,0.43,"-0.7","0.43","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BACH2",0.361,0.421,0.4,0.42,"0.4","0.42","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BAD",-1.67,0.0477,-1.7,0.05,"-1.7","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BAG1",-1.89,4.93e-05,-1.9,0,"-1.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BAG4",-1.46,0.029,-1.5,0.03,"-1.5","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BAMBI",0.485,0.45,0.5,0.45,"0.5","0.45","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"BCAT1",-2.34,0.0206,-2.3,0.02,"-2.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BCKDHB",-1.3,0.0206,-1.3,0.02,"-1.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BCKDK",1.58,3.44e-07,1.6,0,"1.6","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BCL10",-1.71,0.0349,-1.7,0.03,"-1.7","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BCL11B",-1.39,0.0438,-1.4,0.04,"-1.4","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BCL2",1.77,0.0062,1.8,0.01,"1.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BCL2L1",2.04,0.0081,2,0.01,"2.0","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BCL2L12",6.82,2.32e-06,6.8,0,"6.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BCL9L",-1.44,0.0464,-1.4,0.05,"-1.4","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BCOR",-0.311,0.306,-0.3,0.31,"-0.3","0.31","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BDH1",6.35,0.0455,6.3,0.05,"6.3","0.05","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BIN1",-1.37,0.0228,-1.4,0.02,"-1.4","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",-4.67,3.36e-14,-4.7,0,"-4.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BLM",0.0227,0.525,0,0.52,"0.0","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S1",-1.64,0.0271,-1.6,0.03,"-1.6","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
