"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",1.55,0.00830908347508824,1.6,0.01,"1.6","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ABCB10",0.703,0.0314667176215237,0.7,0.03,"0.7","0.03","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ABCB6",-0.785,0.464684544007689,-0.8,0.46,"-0.8","0.46","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ABHD5",-1.62,0.1173223405589,-1.6,0.12,"-1.6","0.12","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ACE2",1.54,0.442834615644397,1.5,0.44,"1.5","0.44","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ACOT13",-0.44,0.0561762763714053,-0.4,0.06,"-0.4","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",3.53,5.89071935583395e-10,3.5,0,"3.5","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ADAM9",-0.41,0.143038403562861,-0.4,0.14,"-0.4","0.14","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",0.151,0.447809179230105,0.2,0.45,"0.2","0.45","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",0.403,0.0149055959099953,0.4,0.01,"0.4","0.01","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",-0.793,0.510159026476689,-0.8,0.51,"-0.8","0.51","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AGA",-1.57,0.0114214519346383,-1.6,0.01,"-1.6","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AHDC1",-0.126,0.618213353542806,-0.1,0.62,"-0.1","0.62","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AIFM2",-2.17,0.0684007932743612,-2.2,0.07,"-2.2","0.07","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AIRIM",-1.15,0.0278380167093849,-1.1,0.03,"-1.1","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",-2.44,0.197551357565685,-2.4,0.2,"-2.4","0.20","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AKIRIN2",-1.81,0.000427987569195275,-1.8,0,"-1.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",1.15,0.0108233494766831,1.1,0.01,"1.1","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",0.0383,0.85514213051277,0,0.86,"0.0","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",2.9,5.49182224235359e-07,2.9,0,"2.9","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ALKBH8",2.44,0.210297170748716,2.4,0.21,"2.4","0.21","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"AMFR",0.352,0.0750751897912558,0.4,0.08,"0.4","0.08","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AMMECR1",5.46,1.55215983040328e-05,5.5,0,"5.5","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
