"Group","lipid_class","unsat_class","distinct_precursor","Genotype","Treatment","class_total","prop"
"RDH12_Veh","CE","MUFA",2,"RDH12","Veh",11,0.181818181818182
"RDH12_Veh","CE","PUFA",5,"RDH12","Veh",11,0.454545454545455
"RDH12_Veh","CE","SFA",4,"RDH12","Veh",11,0.363636363636364
"RDH12_Veh","Cer","MUFA",3,"RDH12","Veh",6,0.5
"RDH12_Veh","Cer","PUFA",2,"RDH12","Veh",6,0.333333333333333
"RDH12_Veh","Cer","SFA",1,"RDH12","Veh",6,0.166666666666667
"RDH12_Veh","DG","MUFA",6,"RDH12","Veh",21,0.285714285714286
"RDH12_Veh","DG","PUFA",11,"RDH12","Veh",21,0.523809523809524
"RDH12_Veh","DG","SFA",4,"RDH12","Veh",21,0.19047619047619
"RDH12_Veh","LPC","MUFA",3,"RDH12","Veh",9,0.333333333333333
"RDH12_Veh","LPC","PUFA",2,"RDH12","Veh",9,0.222222222222222
"RDH12_Veh","LPC","SFA",4,"RDH12","Veh",9,0.444444444444444
"RDH12_Veh","LPE","MUFA",1,"RDH12","Veh",1,1
"RDH12_Veh","LPE","PUFA",0,"RDH12","Veh",1,0
"RDH12_Veh","LPE","SFA",0,"RDH12","Veh",1,0
"RDH12_Veh","PC","MUFA",18,"RDH12","Veh",103,0.174757281553398
"RDH12_Veh","PC","PUFA",71,"RDH12","Veh",103,0.689320388349515
"RDH12_Veh","PC","SFA",14,"RDH12","Veh",103,0.135922330097087
"RDH12_Veh","PE","MUFA",8,"RDH12","Veh",39,0.205128205128205
"RDH12_Veh","PE","PUFA",28,"RDH12","Veh",39,0.717948717948718
"RDH12_Veh","PE","SFA",3,"RDH12","Veh",39,0.0769230769230769
"RDH12_Veh","PG","MUFA",2,"RDH12","Veh",3,0.666666666666667
"RDH12_Veh","PG","PUFA",1,"RDH12","Veh",3,0.333333333333333
"RDH12_Veh","PG","SFA",0,"RDH12","Veh",3,0
"RDH12_Veh","PI","MUFA",5,"RDH12","Veh",21,0.238095238095238
"RDH12_Veh","PI","PUFA",14,"RDH12","Veh",21,0.666666666666667
"RDH12_Veh","PI","SFA",2,"RDH12","Veh",21,0.0952380952380952
"RDH12_Veh","PS","MUFA",4,"RDH12","Veh",17,0.235294117647059
"RDH12_Veh","PS","PUFA",11,"RDH12","Veh",17,0.647058823529412
"RDH12_Veh","PS","SFA",2,"RDH12","Veh",17,0.117647058823529
"RDH12_Veh","SM","MUFA",7,"RDH12","Veh",21,0.333333333333333
"RDH12_Veh","SM","PUFA",8,"RDH12","Veh",21,0.380952380952381
"RDH12_Veh","SM","SFA",6,"RDH12","Veh",21,0.285714285714286
"RDH12_Veh","TG","MUFA",3,"RDH12","Veh",18,0.166666666666667
"RDH12_Veh","TG","PUFA",12,"RDH12","Veh",18,0.666666666666667
"RDH12_Veh","TG","SFA",3,"RDH12","Veh",18,0.166666666666667
