"lipid_class","unsat_class","reference_prop","reference_total","comparison_prop","comparison_total","Comparison","ComparisonType","ReferenceGroup","ComparisonGroup","delta_prop","delta_label","p_value","p_adj_BH","significance"
"CE","MUFA",0.5,4,0.4,5,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.1,"-0.10",0.999999999999999,1,""
"CE","PUFA",0.25,4,0.2,5,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.05,"-0.05",0.999999999999999,1,""
"CE","SFA",0.25,4,0.4,5,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.15,"+0.15",0.999999999999999,1,""
"DG","MUFA",0.333333333333333,18,0.176470588235294,17,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.156862745098039,"-0.16",0.624552533117607,1,""
"DG","PUFA",0.555555555555556,18,0.647058823529412,17,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0915032679738562,"+0.09",0.624552533117607,1,""
"DG","SFA",0.111111111111111,18,0.176470588235294,17,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.065359477124183,"+0.07",0.624552533117607,1,""
"PC","MUFA",0.164835164835165,91,0.163265306122449,98,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.00156985871271587,"0",1,1,""
"PC","PUFA",0.681318681318681,91,0.683673469387755,98,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.00235478806907374,"0",1,1,""
"PC","SFA",0.153846153846154,91,0.153061224489796,98,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.000784929356357933,"0",1,1,""
"PE","MUFA",0.2,30,0.212121212121212,33,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0121212121212121,"+0.01",1,1,""
"PE","PUFA",0.733333333333333,30,0.696969696969697,33,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.0363636363636363,"-0.04",1,1,""
"PE","SFA",0.0666666666666667,30,0.0909090909090909,33,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0242424242424242,"+0.02",1,1,""
"PS","MUFA",0.266666666666667,15,0.315789473684211,19,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0491228070175438,"+0.05",0.999999999999997,1,""
"PS","PUFA",0.666666666666667,15,0.578947368421053,19,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.087719298245614,"-0.09",0.999999999999997,1,""
"PS","SFA",0.0666666666666667,15,0.105263157894737,19,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0385964912280702,"+0.04",0.999999999999997,1,""
"TG","MUFA",0.222222222222222,9,0.25,8,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.0277777777777778,"+0.03",0.827231591937474,1,""
"TG","PUFA",0.555555555555556,9,0.375,8,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",-0.180555555555556,"-0.18",0.827231591937474,1,""
"TG","SFA",0.222222222222222,9,0.375,8,"WT 100 vs WT EtOH","Within genotype","Control_Veh","Control_100",0.152777777777778,"+0.15",0.827231591937474,1,""
"CE","MUFA",0.5,4,0.333333333333333,3,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.166666666666667,"-0.17",0.999999999999999,1,""
"CE","PUFA",0.25,4,0.333333333333333,3,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0833333333333333,"+0.08",0.999999999999999,1,""
"CE","SFA",0.25,4,0.333333333333333,3,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0833333333333333,"+0.08",0.999999999999999,1,""
"DG","MUFA",0.333333333333333,18,0.153846153846154,13,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.179487179487179,"-0.18",0.41751161770558,1,""
"DG","PUFA",0.555555555555556,18,0.615384615384615,13,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0598290598290598,"+0.06",0.41751161770558,1,""
"DG","SFA",0.111111111111111,18,0.230769230769231,13,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.11965811965812,"+0.12",0.41751161770558,1,""
"PC","MUFA",0.164835164835165,91,0.157303370786517,89,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.00753179404864798,"-0.01",1,1,""
"PC","PUFA",0.681318681318681,91,0.696629213483146,89,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.0153105321644648,"+0.02",1,1,""
"PC","SFA",0.153846153846154,91,0.146067415730337,89,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.00777873811581678,"-0.01",1,1,""
"PE","MUFA",0.2,30,0.208333333333333,24,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",0.00833333333333333,"+0.01",0.999999999999933,1,""
"PE","PUFA",0.733333333333333,30,0.708333333333333,24,"WT 200 vs WT EtOH","Within genotype","Control_Veh","Control_200",-0.0249999999999999,"-0.02",0.999999999999933,1,""
