"lipid_class","unsat_class","reference_prop","reference_total","comparison_prop","comparison_total","Comparison","ComparisonType","ReferenceGroup","ComparisonGroup","delta_prop","delta_label","p_value","p_adj_BH","significance"
"PS","PUFA",0.578947368421053,19,0.588235294117647,17,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.00928792569659442,"+0.01",1,1,""
"PS","SFA",0.105263157894737,19,0.0588235294117647,17,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.0464396284829721,"-0.05",1,1,""
"TG","MUFA",0.25,8,0.166666666666667,18,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.0833333333333333,"-0.08",0.628375286041189,1,""
"TG","PUFA",0.375,8,0.555555555555556,18,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.180555555555556,"+0.18",0.628375286041189,1,""
"TG","SFA",0.375,8,0.277777777777778,18,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.0972222222222222,"-0.10",0.628375286041189,1,""
"CE","MUFA",0.333333333333333,3,0.75,4,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.416666666666667,"+0.42",0.657142857142857,1,""
"CE","PUFA",0.333333333333333,3,0.25,4,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0833333333333333,"-0.08",0.657142857142857,1,""
"CE","SFA",0.333333333333333,3,0,4,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.333333333333333,"-0.33",0.657142857142857,1,""
"DG","MUFA",0.153846153846154,13,0.333333333333333,15,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.179487179487179,"+0.18",0.590961098398172,1,""
"DG","PUFA",0.615384615384615,13,0.533333333333333,15,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0820512820512821,"-0.08",0.590961098398172,1,""
"DG","SFA",0.230769230769231,13,0.133333333333333,15,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0974358974358975,"-0.10",0.590961098398172,1,""
"PC","MUFA",0.157303370786517,89,0.169642857142857,112,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0123394863563403,"+0.01",0.887824047999656,1,""
"PC","PUFA",0.696629213483146,89,0.660714285714286,112,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0359149277688604,"-0.04",0.887824047999656,1,""
"PC","SFA",0.146067415730337,89,0.169642857142857,112,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0235754414125201,"+0.02",0.887824047999656,1,""
"PE","MUFA",0.208333333333333,24,0.204545454545455,44,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.00378787878787878,"0",0.999999999999997,1,""
"PE","PUFA",0.708333333333333,24,0.681818181818182,44,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0265151515151516,"-0.03",0.999999999999997,1,""
"PE","SFA",0.0833333333333333,24,0.113636363636364,44,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0303030303030303,"+0.03",0.999999999999997,1,""
"PS","MUFA",0.4,10,0.277777777777778,18,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.122222222222222,"-0.12",0.846224256292919,1,""
"PS","PUFA",0.5,10,0.611111111111111,18,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.111111111111111,"+0.11",0.846224256292919,1,""
"PS","SFA",0.1,10,0.111111111111111,18,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0111111111111111,"+0.01",0.846224256292919,1,""
"TG","MUFA",0.166666666666667,6,0.214285714285714,14,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0476190476190476,"+0.05",0.999999999999981,1,""
"TG","PUFA",0.666666666666667,6,0.571428571428571,14,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",-0.0952380952380952,"-0.10",0.999999999999981,1,""
"TG","SFA",0.166666666666667,6,0.214285714285714,14,"RDH12 200 vs WT 200","RDH12 vs WT matched dose","Control_200","RDH12_200",0.0476190476190476,"+0.05",0.999999999999981,1,""
