name,ID,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
USP15,Q9Y4E8,0.8156543657632644,0.08379700134456432,0.24874491193171516,0.9118102966677292,0.9315106148444136,0.15004802824820235,0.23921345868696745,0.14017111961928252,0.871,0.788,0.567,0.864,0.859,0.84,0.637,0.635,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0435,-0.335,-0.219,0.0206,-0.016,0.275,0.223,-0.283,0.107,-0.185,0.15,0.36,-0.112,-0.272,0.0905,-0.00533,-0.133
USP16,Q9Y5T5,0.8042513260786925,0.014174132571611835,0.8359873260709604,0.7624826313908992,0.07947381085051318,3.6705170122998604e-4,0.02836472326337898,0.4519066359641334,0.869,0.636,0.837,0.81,0.414,0.323,0.12,0.841,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0436,-0.467,-0.0364,0.0532,0.321,0.745,0.411,-0.133,0.0102,-0.413,0.0538,0.11,-0.0262,-0.206,0.331,0.22,-0.0794
USP19,O94966,0.8298618648266167,0.022336434541568157,0.05911039968217496,0.5097164454914114,0.3068305698918057,0.11529092308468766,0.7806692451115429,0.27883383981419746,0.874,0.681,0.287,0.605,0.702,0.826,0.894,0.771,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0272,-0.31,-0.25,-0.0839,-0.131,0.206,0.0353,-0.139,0.113,-0.224,0.086,0.216,-0.137,-0.0297,-0.018,0.047,-0.0533
USP22,Q9UPT9,0.5165811574733135,0.6192044086838767,0.18075349182708927,0.7297685173270598,0.3488988841727064,0.4309920209180943,0.9389582915093361,0.7104901360441509,0.768,0.896,0.489,0.794,0.724,0.887,0.914,0.889,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.192,0.147,-0.403,-0.102,-0.279,-0.234,0.0225,-0.109,0.372,0.327,0.18,0.0059,-0.0309,-0.313,0.0934,-0.706,0.0709
USP24,Q9UPU5,0.7547527026088489,0.9204252650220756,0.805517794405155,0.842817721182369,0.7014888465625676,0.9771487774579948,0.9515551042798032,0.8949889021840169,0.858,0.912,0.832,0.843,0.827,0.918,0.915,0.909,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.124,-0.0396,-0.0976,0.0786,-0.152,0.0113,0.0241,-0.0523,0.329,0.166,0.206,0.0342,0.232,0.161,0.177,-1.46,0.153
USP27X,A6NNY8,0.782688710592059,0.8398871759813388,0.835266934468223,0.3059585766645373,0.5404121654529321,0.5897558447628148,0.5303665137581243,0.3379347576651277,0.864,0.908,0.837,0.278,0.792,0.899,0.838,0.802,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.454,0.333,-0.342,1.71,-1.01,-0.89,1.04,-1.6,0.727,0.605,0.273,0.622,0.384,-1.19,-0.285,0.189,-1.32
USP28,Q96RU2,0.8455941569718004,0.0917973941475519,0.5073453348399113,0.7647298836756569,0.46145772796386153,0.030787678746640935,0.8222925835380451,0.4438499758274531,0.877,0.794,0.748,0.811,0.769,0.742,0.9,0.839,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0493,0.443,-0.169,0.0758,-0.188,-0.581,0.0569,-0.195,0.162,0.555,0.112,-0.0252,-0.00713,-0.201,-0.0261,-0.486,-0.0829
USP3,Q9Y6I4,0.7496460568253009,0.003973980076652361,0.0719635034170941,0.8917861225043869,0.39370419569568293,0.05247324633982976,0.25710860721450224,0.028522346851049995,0.856,0.493,0.32,0.858,0.745,0.779,0.66,0.318,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0795,0.8,0.467,-0.0338,0.214,-0.507,-0.287,0.58,-0.149,0.572,-0.229,-0.49,0.318,-0.42,0.0649,-0.0181,0.351
USP31,Q70CQ4,0.8312433710483829,0.7073658700467178,0.35802263237849064,0.8124712017819,0.24964918612608256,0.19195388535739008,0.632705756552818,0.6332172613409618,0.874,0.901,0.667,0.832,0.663,0.852,0.866,0.878,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.153,-0.27,0.666,0.17,0.839,0.956,0.344,0.343,0.247,0.13,0.4,-2.12,0.913,-0.231,1.09,-1.16,0.743
USP32,Q8NFA0,0.355608082894463,0.6541667057723531,0.014037292780003652,0.14525922140708455,0.2293453866315222,0.8742109630803646,0.9508985713132435,0.8188344041075233,0.637,0.898,0.11,0.0623,0.647,0.914,0.915,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.24,-0.598,-3.54,-1.99,-1.63,0.211,-0.082,-0.305,1.49,-0.352,0.246,1.32,-2.05,0.187,-0.141,-0.639,-0.0589
USP33,Q8TEY7,0.5896412330375664,0.880119199162225,0.3479199947662853,0.8055987101038463,0.19874529428223114,0.36145449520682205,0.5438404984667766,0.8715702721172096,0.804,0.91,0.659,0.829,0.617,0.88,0.842,0.907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.159,-0.0443,0.279,0.0723,0.385,0.271,0.179,0.0475,-0.379,-0.264,-0.22,-0.03,-0.1,0.315,0.00674,0.843,-0.172
USP34,Q70CQ2,0.97306231226059,0.3205509010980975,0.9584792034213441,0.9326025992715146,0.9317440957835184,0.3455357023390896,0.9593398320717206,0.9180739165572471,0.897,0.866,0.856,0.869,0.859,0.878,0.916,0.911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0293,0.873,0.0452,-0.0734,0.0743,-0.828,-0.0442,0.0892,0.279,1.18,0.308,-0.0478,0.324,0.148,0.353,-2.94,0.397
