"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"ABCA3",-1.18,0.367,1.51,0.646,0.226,0.316
"ABCB10",-1.07,-0.37,0.534,0.477,0.15,-0.12
"ABCB6",5.18,4.39,5.01,-2.78,-2.15,-3.04
"ACOT13",0.365,-0.0746,1.02,-0.224,-0.352,-0.38
"ACTMAP",-3.05,0.484,0.212,0.437,0.148,0.409
"ADAM9",0.993,0.583,1.2,-0.265,-0.274,-1.23
"ADAMTS1",1.03,1.18,1.09,-0.432,-0.601,-0.461
"ADD1",-0.603,-0.201,-0.762,0.396,0.277,0.348
"ADGRG6",2.32,1.53,2.38,2.67,-1.33,-2.17
"AGA",1.72,0.149,0.719,0.439,-1.56,0.275
"AHDC1",-0.871,-0.997,-0.492,0.39,0.362,0.443
"AIFM2",2.35,0.176,0.322,1.65,-3.04,-2.64
"AIRIM",1.14,-0.0113,0.254,0.372,-0.102,0.202
"AKIRIN2",1.08,-0.735,-0.663,0.612,0.422,1.03
"ALDH18A1",-1.54,-0.387,0.288,0.754,0.733,0.221
"ALDH1L2",-0.323,-0.285,-0.265,0.754,0.574,0.353
"ALG1",-2.99,-0.0876,0.0938,0.803,0.756,0.0921
"ALKBH8",-1.02,1.41,-1.65,3.05,-1.32,-1.28
"AMFR",-1.07,-0.719,-0.491,0.906,0.731,0.693
"AMMECR1",-4.12,1.34,1.77,1.42,1.36,0.63
"AMOT",-0.43,-1.05,-0.72,0.898,0.646,0.35
"AMOTL1",-0.52,-0.774,-0.752,0.989,0.672,0.539
"ANAPC16",-2.88,-0.126,0.209,0.794,0.497,1.01
"ANAPC4",-2.39,-0.0847,0.00645,0.308,0.417,0.203
"ANGEL1",-1.31,0.806,0.776,0.93,0.383,-2.15
"ANKLE2",-0.755,-0.678,-0.62,0.905,0.631,0.78
"APLP1",5.46,4.86,5.32,-3.8,-2.93,-3.67
"APLP2",2.95,2.17,2.63,-1.13,-1.37,-1.3
"APOA1",2.14,1.18,1.55,-1.17,-1,-0.521
"APOC3",2.53,1.64,4.03,0.0558,-4.02,0.144
"APOE",2.42,1.32,2.24,-0.904,-1.05,-0.57
"APOH",3.69,1.9,4.55,-4.52,-3.38,-3.27
"APP",2.72,1.89,2.2,-1.06,-1.34,-1.17
"ARB2A",-3.11,-0.462,-0.262,0.563,0.643,0.698
"ARF3",8.6,6.55,5.42,-4.46,-6.22,-4.76
"ARL5B",5.26,3.45,-2.98,-2.75,3.46,-2.34
"ARL6IP1",0.17,1.01,0.616,0.68,-0.381,-0.947
"ARMC7",-0.862,0.141,-2.53,1.2,0.963,0.676
"ART5",0.344,0.364,0.419,0.866,-3.46,0.35
"ASPRV1",-2.5,-3.19,-2.04,-1.67,3.14,2.73
"ATAD5",-0.519,-1.22,-0.461,0.754,0.562,0.544
"ATF3",1.82,0.0373,-0.203,-0.596,-0.776,-0.832
"ATF4",1.33,-0.248,1.03,-0.721,-1.05,-0.951
"ATP5MK",1.19,0.532,1.11,0.282,-0.0988,0.0945
"ATP6V0D2",2.81,1.67,2.18,-3.58,2.01,-4.51
"ATP6V1D",1.11,0.517,0.543,-0.53,-0.529,-0.29
"ATR",-5.88,0.714,0.948,0.649,0.807,0.75
"B3GALNT2",-1.99,2.15,0.733,-1.43,-2.08,-0.779
"B4GALT5",1.66,2.29,2.16,-1.06,-0.996,-0.573
"B4GALT6",0.79,1.23,0.762,-0.455,-2.18,0.00594
"B9D1",-3,1.59,2.21,1.3,-3.73,1.89
"BACE1",3.41,1.77,2.69,-2.23,-1.84,-1.93
"BCL2L12",-2.12,2.72,3.26,-3.42,2.99,2.99
"BCOR",-0.444,-0.794,-0.755,0.809,0.568,0.639
