"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"BIRC2",0.73,0.425,-4.33,0.598,0.566,0.718
"BLM",-0.244,-0.786,-0.221,0.216,0.257,0.359
"BLOC1S4",1.13,-0.251,-0.319,0.376,0.12,0.21
"BMP4",4.45,2.69,3.43,-4.53,-3.1,-2.52
"BMPR2",-1.59,2.03,2.82,-1.87,-1.22,3.05
"BNIP3",-0.957,2.85,3.48,2.33,-2.16,2.84
"BOD1",0.648,-0.668,-0.673,1.11,0.701,1.45
"BORCS6",-0.528,-0.934,-1.08,0.835,0.876,0.931
"BPGM",2.77,-0.199,-0.677,-0.283,-0.414,-0.371
"BPNT2",0.326,0.594,0.846,0.359,-0.107,-0.436
"BRI3",3.66,3.48,3.99,-2.63,-2.99,-2.2
"BRI3BP",-0.000555,0.71,1.03,-0.331,-0.31,-0.374
"BRWD3",-0.295,-1.4,-0.761,0.42,0.409,0.33
"BTN2A3P",-2.4,-1.7,-0.861,3.13,0.862,-3.85
"C1orf159",1.17,0.495,1.37,-0.855,0.675,-1.7
"C1orf198",0.45,-0.375,-0.637,0.569,0.435,0.791
"C2CD2L",-0.961,-1.06,0.117,1.07,0.671,0.804
"C4A",-1.62,5.71,6.63,-2.04,-2.69,-1.1
"C4BPA",3.2,2.46,5.25,-3.16,-3.89,1.55
"C6orf89",-3.49,1.13,0.441,0.544,0.365,0.476
"C8orf88",1.23,-3.62,-2.27,-0.0859,2.16,1.54
"CABIN1",-3.91,-0.474,0.741,0.898,0.742,0.801
"CALCOCO2",0.938,1.85,1.15,-0.692,-0.52,-0.203
"CARMIL2",1.88,0.0132,0.108,0.191,0.00701,0.612
"CASTOR2",-2.26,0.61,0.673,-2.17,0.777,-0.0692
"CBY1",0.498,-0.429,-0.533,0.243,0.455,0.968
"CCDC106",0.106,-1.16,-0.574,0.704,0.442,0.933
"CCDC120",-2.25,-2.72,-2,2.44,3.18,2.67
"CCDC138",0.717,3,-0.792,-0.739,-1.28,3.94
"CCDC158",-3.67,1.04,1.1,1.29,0.97,-4.25
"CCDC186",0.443,-0.338,-0.892,0.158,0.146,0.621
"CCDC28B",1.01,-0.266,-0.132,0.639,0.503,0.866
"CCDC66",-1.39,-2.63,-1.93,2.04,1.35,1.91
"CCDC82",-1.38,-0.0574,1.93,1.59,1.24,-3.37
"CCK",1.24,-4.15,0.773,0.321,0.568,0.627
"CCN1",4.24,3.06,3.49,-5.45,-5,-5.98
"CCN2",4.29,3.02,3.28,-3.93,-4.17,-3.77
"CCNQ",-1.42,-0.391,1.13,1.67,0.124,2.58
"CCPG1",1.02,1.44,0.718,-0.739,-0.637,-0.338
"CD151",1.13,0.902,1.3,-0.252,-0.198,-1.31
"CD40",1.68,-3.83,0.92,2.29,2.07,-3.48
"CD81",1.11,0.424,0.456,0.254,0.51,-1.37
"CD84",-1.89,4.08,-2.42,3.52,-1.94,-2.12
"CDC42EP1",-0.109,-0.428,-0.822,0.626,0.637,1.29
"CDCA7L",-0.236,-0.792,-0.596,0.882,0.524,0.556
"CDK11A",-0.591,4.86,5.04,-1.61,-1.15,-0.713
"CEBPZOS",1.93,0.911,1.14,0.077,0.00301,0.527
"CENPW",0.166,-0.288,0.919,0.597,-0.758,-0.315
"CEP170B",-0.143,-0.563,-0.889,0.477,0.543,0.817
"CEP41",-0.00277,-0.294,-0.663,0.401,0.233,0.789
"CFAP97",-0.0953,-0.699,-0.799,1.17,0.635,1.12
"CHCHD4",2.03,1.13,2.05,-3.59,0.119,0.171
"CHKA",-2.86,0.624,2.51,-3.43,2.15,2.48
"CHPF",-1.57,0.197,2.11,-1.91,2.88,2.82
"CHPF2",1.36,0.338,0.583,-2.61,-0.0316,-0.126
"CHSY1",0.263,1.18,1.18,-0.295,-0.55,-0.411
"CKS1B",0.367,-0.479,-1.08,0.52,0.381,0.971
"CKS2",0.0935,-0.262,-0.855,0.646,0.534,0.781
"CLK3",-0.209,-0.711,-0.872,0.63,0.759,0.456
"CLOCK",-5.11,2.42,3.01,-2.86,-2.84,-3.26
"CLTCL1",3.28,2.35,3.03,-3.01,2.84,-1.64
"CLU",1.28,0.971,0.881,-0.642,-0.871,-0.216
"CMTM6",1.36,1.03,1.38,1.68,-4.22,-3.93
"CNBP",4.3,1.72,2.26,0.104,-1.06,-5.89
"CNEP1R1",0.865,0.44,0.512,2.43,2.33,-2.37
"CNOT8",-5.33,0.308,0.498,0.624,0.731,0.824
"CNOT9",1.82,0.957,0.766,-0.0687,-0.0436,-0.283
"COL1A1",2.23,2.61,2.83,-1.22,-1,-1.02
"COL1A2",0.964,1.38,1.53,-1.14,-0.166,0.332
"COL4A6",-0.0577,-0.962,-0.678,0.618,0.568,0.511
"COLEC12",1,-0.0617,0.917,-0.0646,-0.13,0.184
"COQ9",-0.156,-0.518,0.283,0.318,0.59,0.351
"COX6A1",-0.566,-0.787,-0.756,1.55,1.34,0.966
"CPNE8",0.804,0.563,0.793,-0.298,-0.462,-0.229
"CRABP2",1.54,0.0748,0.411,0.613,-0.36,-3.57
"CRBN",-3.19,0.0141,-0.0112,0.685,0.402,0.405
"CREM",-1.82,4.33,-1.38,1.24,-1.46,1.82
"CRIM1",2.7,1.73,1.96,-0.94,-0.909,-2.38
"CRYGD",2.3,-0.0797,0.765,0.989,0.738,1.04
"CSPG4",-3.7,-6.55,-5.23,2.63,2.64,2.54
"CSPG5",1.06,2.8,0.134,3.1,-2.44,-1.87
"CUL7",0.789,0.538,1.08,0.376,0.616,-3.69
"CWC22",-0.425,-0.7,-0.233,0.317,0.325,0.293
"CYBA",-1.13,-2.85,-3.03,1.27,1.74,1.59
"CYBC1",-2.54,-0.23,0.306,0.344,0.386,0.385
"CYLD",-1.58,0.626,0.507,0.311,0.363,-0.994
"CYREN",0.469,-0.0218,-2.08,0.912,0.811,1.92
"CYSTM1",2.07,0.5,0.766,-3.65,-2.64,-2.33
"DACT1",-1.12,-4.23,-2.6,2.11,1.82,2.28
"DBP",1.71,-3.42,-2.99,1.71,1.52,1.98
"DCBLD1",-3.04,1.88,3.01,-2.41,-4.83,3.22
"DCTD",3.15,0.529,-0.101,-0.743,-0.72,-0.56
"DDIT4",1.07,-0.0856,-0.127,-0.531,-1.05,0.561
"DDR2",0.602,1.14,1.25,-0.297,-0.534,-0.474
"DDX19A",-5.46,0.881,0.387,0.66,0.777,0.801
"DDX28",-0.725,0.128,0.306,0.613,0.414,0.187
"DGCR2",1.38,1.07,1.03,-0.659,-0.853,-0.182
"DGCR6",2.06,0.00617,-4.16,1.19,1.16,1.56
"DHRS13",-3.22,-4.35,-3.49,1.54,1.57,2.64
"DKK1",1.36,-0.532,0.138,-0.0248,-1.47,0.154
"DLX1",3.49,-2.71,-2.08,2.86,-2.3,-1.23
"DLX6",-3.32,-4.49,1.56,1.12,0.88,1.05
"DMTN",0.607,-0.631,-3.63,1.12,0.798,1.2
"DNA2",-4.56,0.162,0.294,0.549,0.653,0.782
"DNAJB5",2.79,0.827,2.67,-2.9,-1.68,3.48
"DNLZ",2.54,0.979,2.12,0.1,-5.32,0.0314
"DOLK",-1.92,-3.95,-2.21,3.38,3.21,3.58
"DPH7",1.82,0.204,-0.601,0.403,0.303,-2.66
"DPM3",0.46,0.798,0.264,-0.151,0.322,-0.727
"EDIL3",3.56,2.56,3.28,-3.31,-1.15,-1.37
"EEF1AKMT1",-0.664,3.48,4.3,-3.52,3.95,-1.54
"EEF1G",0.482,0.733,0.137,-0.468,-0.295,-0.189
"EFNA5",2.04,0.634,1.75,1.15,0.795,1.11
"EFR3A",-1.37,0.326,0.0773,0.528,0.598,-1.7
"EFR3B",-1.15,2.83,3.48,2.65,-1.16,-3.54
"EGLN3",2.82,-2.96,3.19,-2.18,3.13,-0.821
"EGR1",1.14,1.27,2.13,-2.39,-2.85,-2.23
"EHD3",2.55,1.59,2.66,-2.44,-1.68,-1.47
"EIF1",1.59,0.266,-0.034,0.00415,-0.131,-0.299
"EIF1B",1.2,-0.135,-0.503,-0.0355,-0.094,0.371
"EIF3C",4.9,-3.2,3.73,-2.46,-3.45,3.69
"EIF4ENIF1",0.061,-0.449,-0.609,0.464,0.353,0.789
"EIF5",0.621,0.00716,-0.403,0.281,0.0812,0.569
"ELOF1",4.46,1.74,1.86,0.535,-1.05,-6.31
"ELOVL5",3.49,2.5,2.48,-0.753,-0.527,-1.16
"ENDOD1",-3.18,0.394,0.546,0.374,0.403,0.243
"ENKD1",1.18,-0.286,0.0959,1.22,0.798,1.16
"ENTPD6",1.99,0.354,0.426,0.463,0.231,0.532
"ENTR1",-0.692,-2.7,3.22,-2.55,-1.82,-1.58
"EPHA4",1,0.678,1.01,-0.493,-0.33,-0.553
"EPHA7",1.68,0.981,1.53,-0.57,-0.619,-0.666
"ERAP1",-4.54,0.323,0.782,0.597,0.635,0.465
"ERBB2",-2.37,0.25,1.23,0.648,0.588,-1.95
"ERC2",-1.99,-2.47,-1.52,3.73,3.41,3.73
"ERCC8",-2.41,-4.66,-2.72,2.98,2.12,-1.68
"ERP44",0.67,0.382,0.84,-0.31,-0.42,-0.713
"ERRFI1",-1.26,-4.46,-2.45,2.22,2.4,2.31
"ESRRA",-0.278,-0.808,0.25,0.26,0.294,0.163
"ETAA1",0.515,-0.583,0.635,0.581,0.483,0.524
"EVI5",-0.996,-0.0105,-1.91,0.429,0.446,0.896
"F13A1",0.536,2.84,3.64,-1.24,0.145,-0.0089
"F5",1.92,1.89,3.53,-1,-1.65,-1.32
"FAAP100",2.45,0.059,0.947,-1.13,-1.54,0.738
"FAM174A",1.45,0.87,1.63,0.0911,-4.2,0.433
"FAM174B",5.43,-2.22,4.32,-3.26,3.97,-2.77
"FAM199X",-0.892,2.65,-2.86,-1.18,2.78,0.266
"FAM234B",0.884,1.03,1.25,-0.574,-0.399,-0.206
"FAM89A",0.239,-0.941,-1.08,0.869,0.612,1.07
"FAT1",2.61,2.94,2.89,1.36,-4.16,-3.28
"FBLIM1",1.29,-0.352,-0.493,0.71,-0.486,0.164
"FBRSL1",0.0629,-1.36,-0.925,0.516,0.657,0.901
"FBXO2",2.78,0.383,0.952,2.19,3.14,-2.82
"FBXO46",-1.29,0.348,1.66,0.553,-3.23,0.397
"FDX2",0.615,-3.14,2.82,-2.36,0.974,1.82
"FGFR3",0.0192,2.28,3.15,-2.06,3.18,-1.01
"FHL1",2.16,-0.0865,0.287,0.81,-0.335,-0.965
"FIP1L1",0.0556,-1.15,-0.774,0.502,0.591,0.727
"FKBPL",0.325,-0.273,-1.11,0.478,0.3,0.646
"FLT1",1.13,1.21,1.32,-0.602,-0.624,-0.395
"FN1",2.84,1.72,2.46,0.79,0.863,-4.56
"FOS",-0.281,-3.08,5.12,-1.3,-2.55,-1.5
"FOXD3",-1.22,-0.135,3.01,-2.43,2.37,0.506
"FPGS",-1.31,1.62,-3.05,2.44,-2.95,1.6
"FRMD4A",-0.825,-3.36,2.25,2.31,-0.579,-0.444
"FTL",1.25,-0.59,0.706,-0.804,-0.743,0.391
"FUNDC1",2.18,-0.136,1.07,1.61,1.36,-3.51
"FXN",-0.533,-1.24,-0.337,0.557,0.715,0.455
"FZD7",3.94,2.85,3.81,-1.32,-0.997,-1.88
"GALNT10",-2.15,2.84,3.3,-2.64,1.96,-2.34
"GCNT1",1.55,2.36,3.25,2.63,-1.2,-2.66
"GHITM",-3.28,0.311,0.618,0.684,0.758,0.369
"GINM1",3.44,3,3.32,-3.12,-2.69,-2.3
"GJA1",1.1,0.96,1.26,-0.456,-0.593,-0.233
"GJC1",0.797,1.57,1.63,0.376,0.127,0.44
"GK",-4.99,-4.84,1.61,1.31,1.36,1.18
"GLRX",0.957,-0.832,-0.817,1.56,1.11,1.06
"GLRX2",2.11,0.249,0.634,0.316,0.00123,0.585
"GLT8D1",0.23,1.41,1.08,0.175,-0.275,-0.575
"GNAZ",-1.47,1.3,1.62,1.36,-1.73,-2.86
"GNB2",-0.664,0.431,0.241,0.239,0.0195,-0.762
"GNG5",2.54,0.725,1.14,0.291,-0.405,-0.98
"GOLGA7",0.622,1.06,0.995,-0.45,-0.525,-0.443
"GOLM1",1.44,-0.0892,0.528,0.638,0.149,0.336
"GON4L",-3.68,0.0211,0.19,0.691,0.601,0.64
"GPBP1L1",0.508,-0.394,-0.919,0.505,0.313,0.804
"GPC3",1.35,1,1.12,-0.593,-0.529,-0.767
"GPC6",-0.109,-0.526,0.509,0.154,0.0526,-0.281
"GPRC5C",-2.9,0.796,0.853,-1.63,-1.7,-2.08
"GPRIN3",-0.281,-0.0257,-0.688,-0.0925,0.544,1.01
"GRAMD4",0.223,-1.97,1.22,-1.79,2.75,-0.641
"GRIP1",-0.0248,-2.94,-1.12,0.855,0.901,0.973
"GSTA4",1.65,1.28,0.83,-1.54,-3.21,2.81
"GTF3C6",1.69,0.017,0.412,0.389,0.45,0.255
"GUF1",-0.931,-0.232,0.659,0.44,0.441,0.14
"H1-6",-1.57,-2.08,3.64,-2.72,2.86,3.26
"HABP2",4.45,2.33,4.06,-2.96,-2.79,-3.31
"HAUS5",-4.78,0.576,0.81,0.559,0.667,0.633
"HDAC8",1.76,0.181,-0.0613,0.175,0.312,-3.33
"HDHD5",-1.08,0.103,0.0909,0.76,0.639,0.163
"HERPUD1",1.81,0.335,2.06,1.51,-4.36,-2.56
"HERPUD2",-0.787,-0.347,0.114,1.02,0.211,0.37
"HGFAC",3.22,2.12,2.64,0.674,0.144,-0.24
"HIGD2A",2.43,1.26,1.7,0.598,-0.0628,0.536
"HLA-A",0.855,1.07,1.38,-0.188,-0.427,-0.403
"HMGCS1",1.12,0.905,0.579,-0.465,-0.652,-0.837
"HMGN3",2.11,-2.72,2.21,1.16,-1.68,3.35
"HMGN4",2.24,0.579,2.19,0.746,-4.29,1.5
"HMMR",0.722,-0.279,-0.542,0.186,0.182,0.613
"HMOX1",0.363,1.09,0.222,-0.425,-0.236,0.725
"HMX1",1.45,0.345,0.42,-1.15,0.943,-0.145
"HOXA6",3.99,0.771,1.05,-1.44,-2.69,-0.94
"HOXB13",-0.306,-1.22,-0.591,0.229,0.334,0.3
"HPCAL4",1.5,-2.69,1.64,2.39,-2.46,2.13
"HPRT1",1.97,-0.159,-0.422,-0.111,-0.326,-0.0164
"HPX",4.36,4.11,4.57,-2.44,-2.16,-1.54
"HSF2",1.78,-0.00807,0.813,-0.278,-2.08,-0.184
"HSPA6",3.91,8.47,9.17,4.97,-5.69,-4.87
"HSPBAP1",3.63,-0.0214,2.02,-1.45,2.95,-2.84
"ICAM5",-1.79,-2.95,1.02,0.78,0.545,0.495
"IER3IP1",2.96,1.36,1.33,1.95,3.04,-3.3
"IFI35",4.65,3.7,-1.49,-1.94,-2.38,4.08
"IFNAR1",1.69,1.46,1.94,0.152,0.118,-0.00866
"IFNAR2",2.4,0.491,1.17,-1.37,-3.01,2.8
"IFNGR1",1.35,2.38,2,-0.679,0.0512,-4.37
"IFRD1",0.611,0.37,0.0545,-0.552,-0.714,-0.0691
"IFT27",1.57,0.278,0.0175,-0.367,-0.451,-0.232
"IFT57",-3.36,0.71,2.59,0.826,-2.21,2.16
"IGF2R",0.72,0.501,1.06,-0.323,-0.458,-0.545
"IKZF5",0.43,2.26,2.41,-0.28,-2.1,-1.96
"IL13RA1",0.65,1.53,1.51,-0.61,-0.538,-0.59
"IL6ST",1.36,1.53,1.66,-0.0158,-0.0644,-0.0828
"ISL1",1.33,-0.0426,0.614,0.431,-2.12,-0.0338
"ISOC2",0.838,0.932,1.85,-0.355,-0.176,-1.07
"ITIH2",1.46,1.67,2.28,-1.36,-1.35,-1.38
"ITIH4",3.47,3.09,3.56,-3.5,-1.97,-2.79
"ITM2B",1.99,2.72,2.31,-1.48,-1.42,-1.33
"ITM2C",1.79,2.58,2.35,-1.23,-1.41,-1.2
"JAG2",3.16,-0.0768,0.258,3.21,-1.46,-3.07
"JARID2",0.0129,-0.993,-0.503,0.864,0.57,0.532
"KCT2",1.68,1.69,1.83,-0.578,-0.644,-0.394
"KDM5B",0.12,-0.868,-1.1,0.787,0.687,0.396
"KIAA1671",-0.589,-0.741,-1.14,0.785,0.678,1.15
"KLF13",1.08,-0.336,-0.973,-0.167,0.0601,0.606
"KLF6",-2.36,2.69,2.95,-2.21,-3.05,-2.16
"KLF9",-1,-2.32,-1.87,0.584,0.908,0.857
"KLHL11",-0.453,0.647,0.812,0.156,-0.0817,-1.21
"KLHL26",-1.5,0.589,2.27,2.89,-2.15,-1.11
"KLHL42",-0.483,0.71,2.45,-1.67,-0.705,-0.719
"KLHL9",-3.46,0.99,1.2,1.01,1.05,1.12
"KXD1",2.48,0.138,0.209,0.787,0.984,0.712
"LAMA1",-2.92,-0.00576,1.24,2.31,1.25,-1.83
"LAMA4",-2.23,-3.86,2.07,2.59,1.36,1.16
"LAMP3",4.11,-1.06,5.18,-1.46,-0.829,-0.381
"LAMTOR5",1.21,0.201,0.693,0.515,0.663,0.802
"LAPTM4A",2.74,2.44,2.74,1.6,-4.66,-3.57
"LATS2",-2.43,-5.39,-2.98,2.75,2.41,2.98
"LDLR",1.19,1.46,1.49,-0.642,-0.818,-0.968
"LGMN",-0.266,-0.166,0.0187,0.858,0.491,0.278
"LGR4",-0.996,1.4,2.89,-1.06,-0.65,-1.5
"LMBRD1",3,3.31,3.69,-3.64,2.3,-3.99
"LNX2",1.49,0.918,0.924,-2.42,0.659,0.736
"LPGAT1",-1.51,-0.572,0.0213,0.554,0.65,0.658
"LRIG1",0.699,1.03,0.907,-0.36,-0.843,-0.303
"LRIG3",1.22,1.51,1.21,-0.374,-0.713,-0.994
"LRP10",3.01,2.45,2.55,-2.3,-2.35,-1.31
"LRP11",2.5,2.12,2.44,0.778,-0.0592,-3.6
"LRP6",0.85,1,1.3,-0.226,-0.462,-0.438
"LTV1",0.27,-0.37,-0.474,-0.157,-0.0879,0.625
"LXN",2.02,1.07,1.25,-4.03,0.994,-4.56
"LYPLA2",1.46,1.31,0.667,0.153,0.411,-0.0299
"MAFK",1.27,-2.46,0.953,0.861,0.728,0.251
"MANSC1",2.3,1.12,1.93,-0.461,-0.26,0.118
"MAP1B",0.675,-0.0718,-0.272,-0.593,-0.321,0.417
"MAP4K3",-0.4,1.46,2.97,-1.35,-1.24,3.35
"MAP4K5",-6.97,0.707,0.234,0.948,1.11,0.857
"MAPK8",-2.07,0.666,2.01,0.647,-4.24,0.716
"MAPKAP1",-0.965,1.41,2.93,-1.58,-2.53,-2.24
"MAST2",-0.598,-1.65,-2.17,1.53,1.2,1.5
"MCM10",-0.501,-0.891,0.0137,0.237,0.357,0.317
"MDP1",1.84,0.171,-0.186,0.102,0.304,0.366
"MED7",1.12,-0.0506,-4.44,1.25,0.595,0.756
"MEIS1",2.3,-3.8,1.92,0.431,0.0791,0.0249
"MEIS2",3.26,2.36,0.995,2.67,-2.63,-3.54
"METTL17",-5.6,-0.327,0.741,1.35,1.38,0.889
"MEX3D",1.42,0.774,0.405,-2.28,0.618,-2.22
"MFAP3",1.45,2.21,1.95,-2.19,-3.15,-2.37
"MFAP4",-0.988,-2.3,5.63,-0.421,-0.0716,-0.271
"MFGE8",1.52,1.65,2.12,-1.06,-1.23,-0.95
"MFSD4B",-1.78,1.24,1.33,-3.05,-0.177,2.72
"MFSD8",-1.03,5.13,4.96,-1.21,-1.64,-1.42
"MGAT4B",-4.61,-0.67,0.995,1.33,-2.71,1.48
"MGRN1",0.342,0.725,0.882,-0.198,-0.543,-0.299
"MIEN1",-3.08,-4.28,-4.21,1.77,2.25,2.08
"MIS18A",2.19,1.59,1.65,0.908,1.43,-4.15
"MLLT11",-3.85,0.557,1.03,1.26,1.58,1.52
"MLLT6",-0.107,-2.26,0.191,0.467,0.363,0.59
"MME",1.5,0.761,1.93,0.243,0.0959,-2.02
"MOB2",0.0572,0.538,1.3,0.104,0.412,-4.21
"MOCS3",-7.3,0.921,0.728,0.903,0.991,0.874
"MPC1",0.636,0.768,1.3,-0.423,-0.286,-0.865
"MPLKIP",-0.785,-1.62,-1.69,1.22,1.05,1.46
"MPPED2",2.84,0.46,1.68,0.762,0.691,-3.21
"MRC2",-0.675,-0.897,-0.258,0.529,0.588,0.368
"MRFAP1",0.814,-0.821,-0.497,0.403,0.516,0.794
"MRTFA",-0.0847,-0.328,-0.849,0.463,0.496,0.915
"MSL1",-0.165,-1.34,-0.738,0.746,0.546,0.733
"MSX2",1.85,0.595,0.451,-1.2,-1.28,-0.448
"MT-ND3",-2.06,-3.28,-0.929,3.78,2.36,-1.22
"MT2A",4.32,2.78,2.76,1.19,-3.43,-5.24
"MTFR2",-5.83,-0.444,-0.475,1.85,1.61,1.91
"MTMR12",-3.9,1.19,1.89,0.779,1.15,1.62
"MXD4",2.66,-2.39,-1.57,1.28,1.11,0.837
"MXI1",0.545,-0.717,-0.63,0.906,0.883,0.784
"MYNN",-2.9,-3.5,1.08,2.63,2.92,-1.79
"MYORG",-0.515,0.329,1.05,0.972,0.369,-2.83
"NAA80",-2.05,2.21,3.7,-1.28,-2.15,-2.57
"NAB2",0.106,-0.0771,-0.0431,-0.594,-0.477,0.422
"NAT1",-3.52,0.0191,2.04,2.68,-1.22,-1.13
"NAT10",-0.92,-0.837,0.0842,0.286,0.326,0.154
"NAXD",2.37,-0.191,0.652,0.0802,0.178,0.825
"NBDY",2.65,-4.63,-4.34,2.57,3.05,3.43
"NBR1",0.0721,1.68,1.48,-0.0744,-0.698,-0.671
"NCOA4",1.81,2.81,1.51,-1.37,-1.73,0.196
"NDEL1",1.42,-0.0163,-3.79,0.634,0.404,0.578
"NDFIP1",3.63,3.86,3.7,-4.49,-4.73,-3.06
"NDFIP2",1.19,1.96,2.1,-1.21,-1.18,-0.756
"NDUFA4",0.878,0.449,-0.512,0.764,0.689,0.429
"NDUFA7",0.622,-0.76,-0.108,0.938,0.51,0.655
"NDUFAF8",1.5,-0.96,0.892,1.64,1.56,1.85
"NDUFB8",-0.153,-1.13,0.285,1.25,1.08,1.06
"NDUFC1",0.855,-0.191,-3.06,1.27,1.58,1.14
"NEMP1",-4.87,0.278,0.311,1.06,0.407,0.597
"NEO1",1.89,1.92,2.16,-0.951,-1.11,-0.91
"NEU1",0.934,0.872,1.2,-0.394,-0.562,-0.548
"NFE2L1",1.42,-0.0373,3.1,-1.22,1.33,-1.55
"NFE2L2",0.731,-0.292,1.94,-2.65,1.34,1.62
"NFKBIE",-4.53,-0.0667,0.65,0.624,0.6,0.392
"NIPBL",-0.467,-1.13,-0.298,0.497,0.359,0.217
"NKX2-1",-0.383,-1.92,-0.519,3.62,3.45,-1.26
"NKX6-1",-2.86,-5.01,-2.74,2.35,1.48,0.78
"NOCT",-4.07,0.644,0.0626,0.588,0.702,0.545
"NPDC1",-1.11,1.68,2.65,1.6,-3.69,2.57
"NR2F2",-0.468,-0.673,0.171,0.485,0.0942,-0.584
"NRGN",1.3,-0.243,-0.693,0.3,0.198,0.739
"NT5DC2",-1.39,-0.395,0.285,0.739,0.605,-0.00551
"NTAN1",1.22,1.17,2.02,0.367,-3.03,-3.84
"NTHL1",-0.881,-1.37,-0.236,0.746,0.707,0.412
"NTN1",1.05,1.47,1.51,-0.679,-1.02,-0.479
"NUDT4",1.23,1.13,0.639,-0.374,0.221,0.125
"NUDT8",-4.41,1.06,1.82,1.19,1.46,-4.24
"NUMA1",-0.574,-1.2,-0.739,0.625,0.406,0.605
"NUMBL",0.19,-0.261,-0.576,0.197,0.153,0.598
"NUTF2",0.646,0.16,-0.569,0.504,0.59,0.0207
"OBI1",-0.0786,-0.535,-0.557,0.48,0.46,0.95
"OGN",2.52,2.34,2.98,-2.42,-1.19,-0.491
"OLA1",0.787,0.667,0.312,-0.307,-0.378,-0.0937
"OPHN1",-1.29,0.29,-1.69,0.545,0.566,0.65
"ORAI1",-0.965,0.963,0.786,-3.2,0.486,0.328
"OTUD4",-0.76,-0.595,-1.19,0.76,0.679,0.951
"OTULINL",-0.516,-0.46,0.14,0.394,0.611,-1.6
