"SYMBOL"
"KCT2"
"MT-ND2"
"MT-ND3"
"Q6ZSR9"
"ADAL"
"BAP18"
"CUSTOS"
"EURL"
"HIDE1"
"L1RE1"
"MMTAG2"
"MT-ATP6"
"MT-ATP8"
"MT-CO2"
"MT-ND1"
"MT-ND4"
"MT-ND5"
"PAAT"
"RPL9P9"
"SMAP"
