"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","7/286","33/3974",0.212121212121212,2.94744649290104,3.12799557092718,0.00780151691521543,0.100119467078598,0.089991181960599,"ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/SGCE",7,"dilated cardiomyopathy",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","4/286","12/3974",0.333333333333333,4.63170163170163,3.50824884963556,0.0081872324830352,0.100866704190994,0.0906628270752951,"LDLR/PTGS2/PLA2G4A/SCARB1",4,"ovarian steroidogenesis",FALSE,FALSE,FALSE,TRUE
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/286","7/3974",0.428571428571429,5.95504495504496,3.65352734071915,0.010383538697887,0.122837187666484,0.110410732591543,"CD81/THBS1/MET",3,"malaria",FALSE,FALSE,FALSE,TRUE
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","7/286","35/3974",0.2,2.77902097902098,2.94353323806638,0.0108528398814282,0.122837187666484,0.110410732591543,"ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/SGCE",7,"hypertrophic cardiomyopathy",FALSE,FALSE,FALSE,TRUE
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","4/286","13/3974",0.307692307692308,4.27541689080151,3.29368970344635,0.0111670170605895,0.122837187666484,0.110410732591543,"B4GALT5/GALNT10/GCNT1/C1GALT1C1",4,"mucin type o-glycan biosynthesis",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","5/286","20/3974",0.25,3.47377622377622,3.08818933857493,0.011766074671683,0.124963827547529,0.112322237337663,"MT2A/SLC11A2/ATP1A3/ATP1B1/SLC31A1",5,"mineral absorption",FALSE,FALSE,FALSE,TRUE
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","6/286","30/3974",0.2,2.77902097902098,2.72345426550168,0.0179708648255473,0.184500878875619,0.165836401723471,"B4GALT5/NEU1/PLPP3/PSAP/SMPD1/UGCG",6,"sphingolipid metabolism",FALSE,FALSE,FALSE,TRUE
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","4/286","15/3974",0.266666666666667,3.70536130536131,2.92297429138219,0.0190180455631676,0.188953484950181,0.16983857328058,"HMGCS1/ACAT2/HMGCL/OXCT1",4,"butanoate metabolism",FALSE,FALSE,FALSE,TRUE
