"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","21/286","155/3974",0.135483870967742,1.88256259869163,3.12092535658632,0.00321866356141117,0.0572296012821886,0.0514401405919877,"ATF4/COL1A1/ERBB2/FGFR3/FLT1/FN1/GNG5/IFNAR1/THBS1/VTN/EGFR/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/LAMC1/MET/PGF/VEGFB",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/286","5/3974",0.6,8.33706293706294,4.57102440549215,0.00330786774453498,0.0572296012821886,0.0514401405919877,"IL6ST/TNFRSF10B/IL10RB",3
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","23/286","176/3974",0.130681818181818,1.81583757151939,3.08268676944111,0.00333125678892037,0.0572296012821886,0.0514401405919877,"ATP6V0D2/CLTCL1/IGF2R/LAMP3/LAPTM4A/MFSD8/NEU1/SLC11A2/ATP6V0A2/CTSV/GALNS/LAMP1/LAMP2/LAMTOR2/LAMTOR4/M6PR/NAGPA/NPC2/PSAP/SCARB2/SMPD1/SORT1/VAMP7",23
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","10/286","52/3974",0.192307692307692,2.67213555675094,3.37960700788819,0.00334458708792011,0.0572296012821886,0.0514401405919877,"PEX11B/ACOT8/ACOX1/CRAT/DHRS4/ECH1/GSTK1/HACL1/HMGCL/PXMP2",10
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","10/286","54/3974",0.185185185185185,2.57316757316757,3.24097495705477,0.00445128491209021,0.072157671206515,0.0648580571678518,"BMP4/NEO1/THBS1/ACVR1B/ACVR2A/BAMBI/BMPR1A/RBX1/RGMA/TFRC",10
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","4/286","11/3974",0.363636363636364,5.05276541640178,3.74785358115003,0.00578113740906711,0.0809795878080197,0.0727875310782952,"APOA1/PLPP3/ACAT2/SCARB1",4
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","4/286","11/3974",0.363636363636364,5.05276541640178,3.74785358115003,0.00578113740906711,0.0809795878080197,0.0727875310782952,"APOA1/LMBRD1/SCARB1/SLC19A1",4
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","12/286","74/3974",0.162162162162162,2.25326025326025,3.03020259398363,0.00590410445033501,0.0809795878080197,0.0727875310782952,"BMP4/FGFR3/FZD7/IL6ST/MEIS1/PAX6/PCGF3/WNT5A/ACVR1B/ACVR2A/BMPR1A/PCGF6",12
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","14/286","93/3974",0.150537634408602,2.09173622076848,2.96643075446652,0.00604717701163784,0.0809795878080197,0.0727875310782952,"EPHA4/EPHA7/NEO1/NTN1/SEMA3C/SLIT2/UNC5B/WNT5A/EPHB4/ITGB1/MET/NTN3/RGMA/ROBO1",14
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","7/286","33/3974",0.212121212121212,2.94744649290104,3.12799557092718,0.00780151691521543,0.100119467078598,0.089991181960599,"ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/SGCE",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","4/286","12/3974",0.333333333333333,4.63170163170163,3.50824884963556,0.0081872324830352,0.100866704190994,0.0906628270752951,"LDLR/PTGS2/PLA2G4A/SCARB1",4
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/286","7/3974",0.428571428571429,5.95504495504496,3.65352734071915,0.010383538697887,0.122837187666484,0.110410732591543,"CD81/THBS1/MET",3
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","7/286","35/3974",0.2,2.77902097902098,2.94353323806638,0.0108528398814282,0.122837187666484,0.110410732591543,"ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/SGCE",7
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","4/286","13/3974",0.307692307692308,4.27541689080151,3.29368970344635,0.0111670170605895,0.122837187666484,0.110410732591543,"B4GALT5/GALNT10/GCNT1/C1GALT1C1",4
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","5/286","20/3974",0.25,3.47377622377622,3.08818933857493,0.011766074671683,0.124963827547529,0.112322237337663,"MT2A/SLC11A2/ATP1A3/ATP1B1/SLC31A1",5
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","6/286","30/3974",0.2,2.77902097902098,2.72345426550168,0.0179708648255473,0.184500878875619,0.165836401723471,"B4GALT5/NEU1/PLPP3/PSAP/SMPD1/UGCG",6
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","4/286","15/3974",0.266666666666667,3.70536130536131,2.92297429138219,0.0190180455631676,0.188953484950181,0.16983857328058,"HMGCS1/ACAT2/HMGCL/OXCT1",4
