"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-76009","Platelet Aggregation (Plug Formation)","7/821","19/5359",0.368421052631579,2.40483364318226,2.6089860599065,0.0180486026483509,0.134656731523481,0.116505685826042,"COL1A1/COL1A2/FN1/CRK/GRB2/RAP1A/RAP1B",7,"platelet aggregation (plug formation)",FALSE,FALSE,FALSE,TRUE
"R-HSA-199992","trans-Golgi Network Vesicle Budding","17/821","66/5359",0.257575757575758,1.6813014431772,2.36865067899546,0.0185798961592826,0.137443709811119,0.118916993549838,"APP/FTL/IGF2R/TGOLN2/ARF1/BLOC1S1/CHMP2A/CLTA/CLTB/DNASE2/HSPA8/M6PR/RAB5C/SNAP23/SNAPIN/TPD52L1/VAMP8",17,"trans-golgi network vesicle budding",FALSE,FALSE,FALSE,TRUE
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","16/821","61/5359",0.262295081967213,1.712106387652,2.37900036894875,0.0186027623003223,0.137443709811119,0.118916993549838,"ANAPC10/BUB3/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3",16,"activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins",FALSE,FALSE,FALSE,TRUE
"R-HSA-9824446","Viral Infection Pathways","108/821","591/5359",0.182741116751269,1.19282538936669,2.11363757752951,0.0216220999345445,0.158979884542883,0.137550200956599,"CNBP/GJA1/GOLGA7/GPC3/HLA-A/IFNAR1/MAP1B/NFE2L2/PTGES3/UVRAG/ZDHHC20/ARF1/ATP1B1/CALR/CANX/CAV1/CBX1/CHMP2A/CHMP3/CHMP4A/CHMP4C/CHMP6/CLTA/CSNK2A1/FAU/GEMIN2/GRB2/GTF2A2/HLA-B/HMGA1/HSPA8/IMPDH1/IMPDH2/ITGB1/NCL/NEDD4L/NPM1/PKLR/PML/PPIB/PPIH/PPP1CA/PPP1CB/PPP1CC/PRKCSH/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAB5A/RAB5B/RAB5C/RAC1/RAE1/RAN/RBBP4/RBBP7/RBX1/REST/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/SAR1B/SDC2/SMN2/SNRPE/SP1/UBE2V1/VPS28/VPS37A/YWHAB/YWHAG/YWHAZ",108,"viral infection pathways",FALSE,FALSE,FALSE,TRUE
"R-HSA-171007","p38MAPK events","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"KRAS/NRAS/RALA/RALB",4,"p38mapk events",FALSE,FALSE,FALSE,TRUE
"R-HSA-196025","Formation of annular gap junctions","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"CLTCL1/GJA1/CLTA/CLTB",4,"formation of annular gap junctions",FALSE,FALSE,FALSE,TRUE
"R-HSA-9660537","Signaling by MRAS-complex mutants","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"MRAS/PPP1CB/PPP1CC/YWHAB",4,"signaling by mras-complex mutants",FALSE,FALSE,FALSE,TRUE
"R-HSA-9726840","SHOC2 M1731 mutant abolishes MRAS complex function","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"MRAS/PPP1CB/PPP1CC/YWHAB",4,"shoc2 m1731 mutant abolishes mras complex function",FALSE,FALSE,FALSE,TRUE
"R-HSA-9726842","Gain-of-function MRAS complexes activate RAF signaling","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"MRAS/PPP1CB/PPP1CC/YWHAB",4,"gain-of-function mras complexes activate raf signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-9755088","Ribavirin ADME","4/821","8/5359",0.5,3.26370280146163,2.72513244084126,0.0228769037111304,0.163467828395964,0.141433192698908,"ADA/NME1/NME2/NT5C2",4,"ribavirin adme",FALSE,FALSE,FALSE,TRUE
"R-HSA-9020702","Interleukin-1 signaling","19/821","78/5359",0.243589743589744,1.59000905712233,2.232485174432,0.0237097404370992,0.168627219370397,0.145897123889873,"APP/NKIRAS1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RBX1/TOLLIP/UBE2V1",19,"interleukin-1 signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","22/821","94/5359",0.234042553191489,1.52769067302459,2.19525434046631,0.0245078566945535,0.173492827391211,0.150106872582063,"CDC34/GRB2/JUN/KRAS/MALT1/NRAS/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAC1/UBE2V1",22,"fc epsilon receptor (fceri) signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-195253","Degradation of beta-catenin by the destruction complex","17/821","68/5359",0.25,1.63185140073082,2.2301866696615,0.0246835920742397,0.173927903412004,0.150483302557865,"PPP2CA/PPP2CB/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RBX1",17,"degradation of beta-catenin by the destruction complex",FALSE,FALSE,FALSE,TRUE
