"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"DG 36:5 NL 20:4",0.0707,0.653972819480735,0.1,0.65,"0.1","0.65","NS",NA
"DG 36:6 NL 16:0",-1.39,0.054231035206602,-1.4,0.05,"-1.4","0.05","Down",NA
"DG 36:6 NL 16:1",-0.198,0.25310500942629,-0.2,0.25,"-0.2","0.25","NS",NA
"DG 36:6 NL 22:5",-0.632,0.0258030149723638,-0.6,0.03,"-0.6","0.03","Down",NA
"DG 36:7 NL 16:0",-1.48,0.0569498555592156,-1.5,0.06,"-1.5","0.06","Down",NA
"DG 36:7 NL 16:1",-0.337,0.355799286451653,-0.3,0.36,"-0.3","0.36","NS",NA
"DG 36:7 NL 22:5",-0.764,0.078533641560692,-0.8,0.08,"-0.8","0.08","Down",NA
"DG 38:0 NL 20:0",0.397,0.212692051255269,0.4,0.21,"0.4","0.21","NS",NA
"DG 38:2 NL 16:1",-0.135,0.0811781800927801,-0.1,0.08,"-0.1","0.08","NS",NA
"DG 40:5 NL 20:0",-0.0947,0.70973052589637,-0.1,0.71,"-0.1","0.71","NS",NA
"DG 40:5 NL 22:5",0.019,0.936776410565625,0,0.94,"0.0","0.94","NS",NA
"DG 40:6 NL 20:0",-0.0793,0.861808746415079,-0.1,0.86,"-0.1","0.86","NS",NA
"DG 40:6 NL 22:6",0.0624,0.899281198164664,0.1,0.9,"0.1","0.90","NS",NA
"DG 40:7 NL 22:6",0.0467,0.827134269917403,0,0.83,"0.0","0.83","NS",NA
"DG 42:10 NL 16:0",-0.519,0.0498014161979302,-0.5,0.05,"-0.5","0.05","Down",NA
"DG 42:11 NL 16:0",-1.14,0.0708108477710728,-1.1,0.07,"-1.1","0.07","Down",NA
"DG 42:11 NL 22:5",-0.824,0.075605367348054,-0.8,0.08,"-0.8","0.08","Down",NA
"DG 42:6 NL 22:6",-0.167,0.0572571923894406,-0.2,0.06,"-0.2","0.06","NS",NA
"DG O-36:4 NL 18:1",-0.205,0.126162658463243,-0.2,0.13,"-0.2","0.13","NS",NA
"LPC 14:0",0.099,0.440177456640084,0.1,0.44,"0.1","0.44","NS",NA
"LPC 16:0",0.56,0.00328907900657969,0.6,0,"0.6","<0.01","Up","LPC 16:0"
