condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family,rdh_label
RDH12_100_atRAL5hr.24h_recvr,Recvr RDH12 100uM,Recvr RDH12 100uM,RDH12,atRAL5hr+24h_recvr,100,RDH10,RDH10,Q8IZV5,Q8IZV5,20.5050948784139,0.11232392168216715,3,6708,FALSE,TRUE,RDH10
RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM,Recvr RDH12 200uM,RDH12,atRAL5hr+24h_recvr,200,RDH12,RDH12,Q96NR8,Q96NR8,28.957000359705532,0.1449167964824453,3,205,TRUE,TRUE,RDH12
RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM,Recvr RDH12 200uM,RDH12,atRAL5hr+24h_recvr,200,RDH11,RDH11,Q8TC12,Q8TC12,23.9101799771841,0.20035074523331267,3,3271,FALSE,TRUE,RDH11
RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM,Recvr RDH12 200uM,RDH12,atRAL5hr+24h_recvr,200,RDH14,RDH14,Q9HBH5,Q9HBH5,22.235218308581402,0.35890622301649605,3,5155,FALSE,TRUE,RDH14
RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM,Recvr RDH12 200uM,RDH12,atRAL5hr+24h_recvr,200,RDH13,RDH13,Q8NBN7,Q8NBN7,21.5554097717525,0.1686064911774458,3,5854,FALSE,TRUE,RDH13
RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM,Recvr RDH12 200uM,RDH12,atRAL5hr+24h_recvr,200,RDH10,RDH10,Q8IZV5,Q8IZV5,20.14480743220083,0.1400453689730429,3,6924,FALSE,TRUE,RDH10
RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh,Recvr RDH12 Veh,RDH12,atRAL5hr+24h_recvr,control,RDH12,RDH12,Q96NR8,Q96NR8,28.8343129603003,0.3757656772708133,3,225,TRUE,TRUE,RDH12
RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh,Recvr RDH12 Veh,RDH12,atRAL5hr+24h_recvr,control,RDH11,RDH11,Q8TC12,Q8TC12,24.297589982839966,0.318731373612147,3,2794,FALSE,TRUE,RDH11
RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh,Recvr RDH12 Veh,RDH12,atRAL5hr+24h_recvr,control,RDH14,RDH14,Q9HBH5,Q9HBH5,22.439671170636167,0.3238154280758857,3,4936,FALSE,TRUE,RDH14
RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh,Recvr RDH12 Veh,RDH12,atRAL5hr+24h_recvr,control,RDH13,RDH13,Q8NBN7,Q8NBN7,21.8820943981186,0.21361525128110356,3,5550,FALSE,TRUE,RDH13
RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh,Recvr RDH12 Veh,RDH12,atRAL5hr+24h_recvr,control,RDH10,RDH10,Q8IZV5,Q8IZV5,20.091534192828966,0.014002510012124412,3,7013,FALSE,TRUE,RDH10
