condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,NCOA6,NCOA6,Q14686,Q14686,24.258455842512,0.538027116508153,3,2539,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,MAP2K2,MAP2K2,P36507,P36507,24.256471183164567,0.11041472078967403,3,2540,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CDKN2AIP,CDKN2AIP,Q9NXV6,Q9NXV6,24.2564639630938,0.05028458562396305,3,2541,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ZCCHC10,ZCCHC10,Q8TBK6,Q8TBK6,24.254155741868832,0.1568800680287877,3,2542,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DUS3L,DUS3L,Q96G46,Q96G46,24.254040033912766,0.227011109579321,3,2543,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PDLIM5,PDLIM5,Q96HC4,Q96HC4,24.25282739668807,0.46706425608330515,3,2544,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PTPN11,PTPN11,Q06124,Q06124,24.252012826309468,0.209618196092053,3,2545,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TLE1,TLE1,Q04724,Q04724,24.2499352500504,0.26387775916653855,3,2546,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ISG20L2,ISG20L2,Q9H9L3,Q9H9L3,24.248893262979767,0.1874586899162118,3,2547,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,IST1,IST1,P53990,P53990,24.248736657017602,0.3092088236394479,3,2548,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PRRC2B,PRRC2B,Q5JSZ5,Q5JSZ5,24.2480482737629,0.20612773737462547,3,2549,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,VPS33A,VPS33A,Q96AX1,Q96AX1,24.247306925526,0.18372745711601088,3,2550,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PIR,PIR,O00625,O00625,24.246496503532498,0.7651245530194878,3,2551,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,NAE1,NAE1,Q13564,Q13564,24.246439874645635,0.35870932771696173,3,2552,FALSE,FALSE
