_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.4,TRR01155,M1,1,0,TRRUST,34,Regulated by: RBMX,,-3.4,19,7.3,30230,8,584,3,0.51,0.3,1958|2353|3726,EGR1|FOS|JUNB,-1.4,0
1,-2.2,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-2.2,4.3,3.6,30230,60,584,5,0.86,0.38,1958|2353|6041|6773|23411,EGR1|FOS|RNASEL|STAT2|SIRT1,-0.56,0
