_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.4,PGB:00073,M1,1,0,PaGenBase,36,Cell-specific: OVR278E,,-2.4,3.2,3.5,30230,131,584,8,1.4,0.48,1040|6095|7403|8100|9986|11200|51601|81539,CDS1|RORA|KDM6A|IFT88|RCE1|CHEK2|LIPT1|SLC38A1,-0.68,0
1,-2.2,PGB:00027,M1,1,0,PaGenBase,36,Tissue-specific: corpus callosum,,-2.2,5.4,3.9,30230,38,584,4,0.68,0.34,5137|22821|23232|128869,PDE1C|RASA3|TBC1D12|PIGU,-0.56,0
1,-2.1,PGB:00046,M1,1,0,PaGenBase,36,Tissue-specific: Colorectal adenocarcinoma,,-2.1,5.1,3.6,30230,41,584,4,0.68,0.34,4642|6515|9582|56180,MYO1D|SLC2A3|APOBEC3B|MOSPD1,-0.47,0
