_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-16,C1963184,M1,1,0,DisGeNET,35,"Nystagmus, CTCAE 3.0",,-16,3.7,11,30230,779,584,55,9.4,1.2,22|24|673|1186|1718|1798|2068|2071|3769|3981|4337|4508|4540|4541|5145|5192|5428|5582|5587|5824|5922|6016|6095|6392|6655|7274|7403|8100|9742|9915|10479|10682|23400|23522|26160|26503|26504|51300|51360|51601|54704|55149|55624|55764|57520|57728|79803|79867|84131|84942|85378|91137|92840|123016|219285,ABCB7|ABCA4|BRAF|CLCN7|DHCR24|DPAGT1|ERCC2|ERCC3|KCNJ13|LIG4|MOCS1|ATP6|ND5|ND6|PDE6A|PEX10|POLG|PRKCG|PRKD1|PEX19|RASA2|RIT1|RORA|SDHD|SOS2|TTPA|KDM6A|IFT88|IFT140|ARNT2|SLC9A6|EBP|ATP13A2|KAT6B|IFT172|SLC17A5|CNNM4|TIMMDC1|MBTPS2|LIPT1|PDP1|MTPAP|POMGNT1|IFT122|HECW2|WDR19|HPS6|TCTN2|CEP78|WDR73|TUBGCP6|SLC25A46|REEP6|TTC8|SAMD9L,-12,0
1,-16,C4554036,M1,1,0,DisGeNET,35,"Nystagmus, CTCAE 5.0",,-16,3.7,11,30230,779,584,55,9.4,1.2,22|24|673|1186|1718|1798|2068|2071|3769|3981|4337|4508|4540|4541|5145|5192|5428|5582|5587|5824|5922|6016|6095|6392|6655|7274|7403|8100|9742|9915|10479|10682|23400|23522|26160|26503|26504|51300|51360|51601|54704|55149|55624|55764|57520|57728|79803|79867|84131|84942|85378|91137|92840|123016|219285,ABCB7|ABCA4|BRAF|CLCN7|DHCR24|DPAGT1|ERCC2|ERCC3|KCNJ13|LIG4|MOCS1|ATP6|ND5|ND6|PDE6A|PEX10|POLG|PRKCG|PRKD1|PEX19|RASA2|RIT1|RORA|SDHD|SOS2|TTPA|KDM6A|IFT88|IFT140|ARNT2|SLC9A6|EBP|ATP13A2|KAT6B|IFT172|SLC17A5|CNNM4|TIMMDC1|MBTPS2|LIPT1|PDP1|MTPAP|POMGNT1|IFT122|HECW2|WDR19|HPS6|TCTN2|CEP78|WDR73|TUBGCP6|SLC25A46|REEP6|TTC8|SAMD9L,-12,0
1,-15,C0029124,M1,1,0,DisGeNET,35,Optic Atrophy,,-15,4.1,10,30230,567,584,45,7.7,1.1,24|673|1186|1757|2068|2071|4285|4508|4514|4540|4541|5145|5192|5290|5428|5824|6392|6490|7290|8100|9742|9897|9927|10195|10585|10682|10785|22868|23411|26160|26504|29954|51601|51761|55149|55624|55669|79867|84942|84947|85378|91137|92840|123016|729920,ABCA4|BRAF|CLCN7|SARDH|ERCC2|ERCC3|MIPEP|ATP6|COX3|ND5|ND6|PDE6A|PEX10|PIK3CA|POLG|PEX19|SDHD|PMEL|HIRA|IFT88|IFT140|WASHC5|MFN2|ALG3|POMT1|EBP|WDR4|FASTKD2|SIRT1|IFT172|CNNM4|POMT2|LIPT1|ATP8A2|MTPAP|POMGNT1|MFN1|TCTN2|WDR73|SERAC1|TUBGCP6|SLC25A46|REEP6|TTC8|CRPPA,-11,0
1,-14,C0151889,M1,1,0,DisGeNET,35,Hyperreflexia,,-14,4,10,30230,539,584,42,7.2,1.1,22|24|1798|2071|2182|4508|4540|4541|5145|5192|5582|5824|6392|7274|8100|9179|9742|9897|10195|10785|11154|23400|26160|26580|51324|51601|51761|55149|55624|55703|56922|56978|56997|57038|57570|79867|84942|91869|92840|123016|124997|219285,ABCB7|ABCA4|DPAGT1|ERCC3|ACSL4|ATP6|ND5|ND6|PDE6A|PEX10|PRKCG|PEX19|SDHD|TTPA|IFT88|AP4M1|IFT140|WASHC5|ALG3|WDR4|AP4S1|ATP13A2|IFT172|BSCL2|SPG21|LIPT1|ATP8A2|MTPAP|POMGNT1|POLR3B|MCCC1|PRDM8|COQ8A|RARS2|TRMT5|TCTN2|WDR73|RFT1|REEP6|TTC8|WDR81|SAMD9L,-9.7,0
1,-12,C0013362,M1,1,0,DisGeNET,35,Dysarthria,,-12,4,9.5,30230,487,584,38,6.5,1,20|22|673|1600|2068|2071|2733|4292|4508|4514|4540|4541|5192|5290|5428|5582|5922|6016|6655|6908|7274|8834|9213|23400|23522|26100|26503|51601|51761|55149|55703|56978|57531|80067|84340|84942|124997|219285,ABCA2|ABCB7|BRAF|DAB1|ERCC2|ERCC3|GLE1|MLH1|ATP6|COX3|ND5|ND6|PEX10|PIK3CA|POLG|PRKCG|RASA2|RIT1|SOS2|TBP|TTPA|TMEM11|XPR1|ATP13A2|KAT6B|WIPI2|SLC17A5|LIPT1|ATP8A2|MTPAP|POLR3B|PRDM8|HACE1|DCAF17|GFM2|WDR73|WDR81|SAMD9L,-8.6,0
1,-12,C0019209,M1,1,0,DisGeNET,35,Hepatomegaly,,-12,3.9,9.3,30230,523,584,39,6.7,1,673|1186|2353|3981|3988|4508|4540|4541|4615|5192|5286|5428|5580|5824|5873|5922|6016|6655|9213|9742|9817|9927|10020|22868|23522|26160|26503|26580|51300|51660|54968|55135|55764|79415|84061|91869|93183|114805|388650,BRAF|CLCN7|FOS|LIG4|LIPA|ATP6|ND5|ND6|MYD88|PEX10|PIK3C2A|POLG|PRKCD|PEX19|RAB27A|RASA2|RIT1|SOS2|XPR1|IFT140|KEAP1|MFN2|GNE|FASTKD2|KAT6B|IFT172|SLC17A5|BSCL2|TIMMDC1|MPC1|TMEM70|WRAP53|IFT122|CYBC1|MAGT1|RFT1|PIGM|GALNT13|DIPK1A,-8.3,0
1,-11,C1862475,M1,1,0,DisGeNET,35,Abnormality of retinal pigmentation,,-11,5.8,9.9,30230,215,584,24,4.1,0.82,24|1121|2068|3769|4514|4540|4541|4547|5145|5192|5824|7274|8100|9742|26160|26504|55624|57560|57728|79809|85378|92840|123016|201163,ABCA4|CHM|ERCC2|KCNJ13|COX3|ND5|ND6|MTTP|PDE6A|PEX10|PEX19|TTPA|IFT88|IFT140|IFT172|CNNM4|POMGNT1|IFT80|WDR19|TTC21B|TUBGCP6|REEP6|TTC8|FLCN,-7.6,0
1,-11,C0740279,M1,1,0,DisGeNET,35,Cerebellar atrophy,,-11,4.7,9.3,30230,321,584,29,5,0.9,1186|1600|2071|5192|5428|5582|6095|6908|8925|9179|9382|10195|10479|10585|11154|23400|51601|51761|54974|55703|56997|57038|84342|84942|84947|91869|124997|219285|729920,CLCN7|DAB1|ERCC3|PEX10|POLG|PRKCG|RORA|TBP|HERC1|AP4M1|COG1|ALG3|SLC9A6|POMT1|AP4S1|ATP13A2|LIPT1|ATP8A2|THG1L|POLR3B|COQ8A|RARS2|COG8|WDR73|SERAC1|RFT1|WDR81|SAMD9L|CRPPA,-7.5,0
1,-11,C0038379,M1,1,0,DisGeNET,35,Strabismus,,-11,3.2,8.3,30230,716,584,44,7.5,1.1,22|673|1718|1757|2068|2071|2182|2710|3981|5192|5824|5922|6016|6655|7290|7403|9179|9772|9915|10195|10479|10585|11043|11154|23400|23522|29929|29954|51300|51601|51761|55624|56997|57531|79803|79867|81839|83882|84942|85378|89970|91869|124997|285203,ABCB7|BRAF|DHCR24|SARDH|ERCC2|ERCC3|ACSL4|GK|LIG4|PEX10|PEX19|RASA2|RIT1|SOS2|HIRA|KDM6A|AP4M1|TMEM94|ARNT2|ALG3|SLC9A6|POMT1|MID2|AP4S1|ATP13A2|KAT6B|ALG6|POMT2|TIMMDC1|LIPT1|ATP8A2|POMGNT1|COQ8A|HACE1|HPS6|TCTN2|VANGL1|TSPAN10|WDR73|TUBGCP6|RSPRY1|RFT1|WDR81|EOGT,-7.1,0
1,-10,C1861403,M1,1,0,DisGeNET,35,Variable expressivity,,-10,4.5,8.9,30230,319,584,28,4.8,0.88,1798|1959|2733|4514|4540|4541|5192|5428|6773|9927|10585|10682|29954|51324|51360|51660|54802|55005|56978|56997|57038|84947|91137|113612|119559|124583|219285|340061,DPAGT1|EGR2|GLE1|COX3|ND5|ND6|PEX10|POLG|STAT2|MFN2|POMT1|EBP|POMT2|SPG21|MBTPS2|MPC1|TRIT1|RMND1|PRDM8|COQ8A|RARS2|SERAC1|SLC25A46|CYP2U1|SFXN4|CANT1|SAMD9L|STING1,-6.9,0
