_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.5,M39037,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-9.5,3,7.6,30230,754,584,43,7.4,1.1,20|1540|1718|1955|3981|3988|4249|4642|5129|7328|7743|9517|9638|9639|9897|9926|22821|23148|23158|23232|23348|23555|23585|25829|27244|51660|55062|55585|55624|55819|59338|64121|78986|79817|79885|80013|84302|84446|91137|124583|143425|253260|285527,ABCA2|CYLD|DHCR24|MEGF9|LIG4|LIPA|MGAT5|MYO1D|CDK18|UBE2H|ZNF189|SPTLC2|FEZ1|ARHGEF10|WASHC5|LPGAT1|RASA3|NACAD|TBC1D9|TBC1D12|DOCK9|TSPAN15|TMEM50A|TMEM184B|SESN1|MPC1|WIPI1|UBE2Q1|POMGNT1|RNF130|PLEKHA1|RRAGC|DUSP26|MOB3B|HDAC11|MINDY3|PGAP4|BRSK1|SLC25A46|CANT1|SYT9|RICTOR|FRYL,-6.2,0
1,-5.3,M39236,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C17 COLLECTING SYSTEM PCS STRESSED DISSOC SUBSET,,-5.3,3.7,5.8,30230,240,584,17,2.9,0.7,673|1958|2182|2353|4642|5581|6095|6307|6721|7328|8925|51422|81539|90550|93664|114781|114789,BRAF|EGR1|ACSL4|FOS|MYO1D|PRKCE|RORA|MSMO1|SREBF2|UBE2H|HERC1|PRKAG2|SLC38A1|MCU|CADPS2|BTBD9|SLC25A25,-2.7,0
1,-4.8,M39241,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C22 ENDOTHELIAL CELLS GLOMERULAR CAPILLARIES,,-4.8,4.5,5.8,30230,137,584,12,2.1,0.59,2353|5286|5581|5797|6397|8925|9630|23092|23143|50807|57520|93664,FOS|PIK3C2A|PRKCE|PTPRM|SEC14L1|HERC1|GNA14|ARHGAP26|LRCH1|ASAP1|HECW2|CADPS2,-2.4,0
1,-3.9,M40202,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL HEART ERYTHROBLASTS,,-3.9,2.9,4.6,30230,283,584,16,2.7,0.68,22|3833|9821|10592|10873|23038|29107|51324|55238|55703|63891|63933|80213|84129|91947|125228,ABCB7|KIFC1|RB1CC1|SMC2|ME3|WDTC1|NXT1|SPG21|SLC38A7|POLR3B|RNF123|MCUR1|TM2D3|ACAD11|ARRDC4|MIMS1,-1.7,0
1,-3.5,M39070,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-3.5,2.1,4,30230,703,584,28,4.8,0.88,2182|2562|6854|9213|9465|9783|10079|10451|10479|10900|11189|23074|23175|23405|23761|26289|51761|54704|55638|59338|79776|80128|81539|84446|134957|201931|286097|338692,ACSL4|GABRB3|SYN2|XPR1|AKAP7|RIMS3|ATP9A|VAV3|SLC9A6|RUNDC3A|CELF3|BLTP3B|LPIN1|DICER1|PISD|AK5|ATP8A2|PDP1|SYBU|PLEKHA1|ZFHX4|TRIM46|SLC38A1|BRSK1|STXBP5|TMEM192|MICU3|ANKRD13D,-1.4,0
1,-3.3,M39068,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA1,,-3.3,2.1,3.9,30230,584,584,24,4.1,0.82,2182|2562|2899|5137|6095|9213|9783|10079|10154|10451|10900|11189|23158|23175|51422|51761|56978|78986|79776|81539|83723|84302|93664|134957,ACSL4|GABRB3|GRIK3|PDE1C|RORA|XPR1|RIMS3|ATP9A|PLXNC1|VAV3|RUNDC3A|CELF3|TBC1D9|LPIN1|PRKAG2|ATP8A2|PRDM8|DUSP26|ZFHX4|SLC38A1|TLCD3B|PGAP4|CADPS2|STXBP5,-1.3,0
1,-3.3,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-3.3,2.3,3.9,30230,449,584,20,3.4,0.75,706|1955|2182|2353|5873|6515|8677|9926|10975|23001|23092|51108|51255|51324|55454|55819|57161|91663|116362|192670,TSPO|MEGF9|ACSL4|FOS|RAB27A|SLC2A3|STX10|LPGAT1|UQCR11|WDFY3|ARHGAP26|METTL9|RNF181|SPG21|CSGALNACT2|RNF130|PELI2|MYADM|RBP7|AGO4,-1.3,0
1,-3.2,M39102,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 ASTROCYTE,,-3.2,2.4,3.9,30230,389,584,18,3.1,0.72,1186|5137|9213|10873|23113|27132|54704|55638|64121|80128|81539|85378|115704|116983|116986|123096|192670|338692,CLCN7|PDE1C|XPR1|ME3|CUL9|CPNE7|PDP1|SYBU|RRAGC|TRIM46|SLC38A1|TUBGCP6|EVI5L|ACAP3|AGAP2|SLC25A29|AGO4|ANKRD13D,-1.2,0
1,-3.1,M39233,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C14 DISTAL CONVOLUTED TUBULE,,-3.1,3,4,30230,208,584,12,2.1,0.59,673|2182|6095|10451|10873|23143|23461|26249|29761|93664|114781|115825,BRAF|ACSL4|RORA|VAV3|ME3|LRCH1|ABCA5|KLHL3|USP25|CADPS2|BTBD9|WDFY2,-1.2,0
1,-2.9,M40094,M1,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL RETINAL PIGMENT CELLS,,-2.9,3,3.9,30230,190,584,11,1.9,0.56,1657|3769|5873|5959|6490|26289|51205|55852|83882|83891|729920,DMXL1|KCNJ13|RAB27A|RDH5|PMEL|AK5|ACP6|TEX2|TSPAN10|SNX25|CRPPA,-1,0
1,-2.8,M39055,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-2.8,2,3.4,30230,600,584,23,3.9,0.8,1958|1959|2353|3310|3988|4504|4547|5137|5375|5563|5873|6307|6856|8850|9138|10157|23461|26018|50649|51660|56978|84061|221749,EGR1|EGR2|FOS|HSPA6|LIPA|MT3|MTTP|PDE1C|PMP2|PRKAA2|RAB27A|MSMO1|SYPL1|KAT2B|ARHGEF1|AASS|ABCA5|LRIG1|ARHGEF4|MPC1|PRDM8|MAGT1|PXDC1,-0.95,0
1,-2.8,M39271,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RPE,,-2.8,2.5,3.6,30230,292,584,14,2.4,0.63,24|4508|4514|4540|4541|5873|6490|23428|23682|26249|55852|57464|83882|160897,ABCA4|ATP6|COX3|ND5|ND6|RAB27A|PMEL|SLC7A8|RAB38|KLHL3|TEX2|STRIP2|TSPAN10|GPR180,-0.92,0
1,-2.6,M39069,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA2,,-2.6,2,3.3,30230,513,584,20,3.4,0.75,21|2562|2899|6854|9213|9783|10079|10154|10900|11189|22920|26289|51761|54704|57169|80128|83723|84302|84446|134957,ABCA3|GABRB3|GRIK3|SYN2|XPR1|RIMS3|ATP9A|PLXNC1|RUNDC3A|CELF3|KIFAP3|AK5|ATP8A2|PDP1|ZNFX1|TRIM46|TLCD3B|PGAP4|BRSK1|STXBP5,-0.81,0
1,-2.5,M41746,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SMOOTH MUSCLE CELLS,,-2.5,2.1,3.3,30230,445,584,18,3.1,0.72,706|1958|2353|3611|3726|4508|4514|4706|6392|10957|23658|29081|51300|51522|51660|51776|57542|79038,TSPO|EGR1|FOS|ILK|JUNB|ATP6|COX3|NDUFAB1|SDHD|PNRC1|LSM5|METTL5|TIMMDC1|TMEM14C|MPC1|MAP3K20|KLHL42|ZFYVE21,-0.79,0
1,-2.3,M39196,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW EOSINOPHIL,,-2.3,4.5,3.7,30230,58,584,5,0.86,0.38,4508|4514|4540|115825|338692,ATP6|COX3|ND5|WDFY2|ANKRD13D,-0.6,0
1,-2.2,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-2.2,2.1,3,30230,368,584,15,2.6,0.65,1052|1955|2353|3726|3985|6397|6515|6533|8925|9138|10154|23001|23399|80314|91304,CEBPD|MEGF9|FOS|JUNB|LIMK2|SEC14L1|SLC2A3|SLC6A6|HERC1|ARHGEF1|PLXNC1|WDFY3|CTDNEP1|EPC1|TMEM259,-0.57,0
1,-2.2,M41699,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLASSICAL MONOCYTE CELL,,-2.2,2.3,3,30230,270,584,12,2.1,0.59,706|1052|1955|2353|9517|9926|9960|23405|51422|55819|116362|192670,TSPO|CEBPD|MEGF9|FOS|SPTLC2|LPGAT1|USP3|DICER1|PRKAG2|RNF130|RBP7|AGO4,-0.53,0
1,-2.1,M39224,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-2.1,2,2.8,30230,417,584,16,2.7,0.68,1600|1958|2353|5581|6095|7029|7644|23092|23428|23522|51422|54867|57728|79658|143872|196441,DAB1|EGR1|FOS|PRKCE|RORA|TFDP2|ZNF91|ARHGAP26|SLC7A8|KAT6B|PRKAG2|TMEM214|WDR19|ARHGAP10|ARHGAP42|ZFC3H1,-0.48,0
1,-2.1,M39168,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ALPHA CELL,,-2.1,1.8,2.8,30230,568,584,20,3.4,0.75,4833|5311|5581|5873|6397|9915|10020|10079|10900|10975|23158|23428|25837|26249|27072|29761|54916|79726|91947|123016,NME4|PKD2|PRKCE|RAB27A|SEC14L1|ARNT2|GNE|ATP9A|RUNDC3A|UQCR11|TBC1D9|SLC7A8|RAB26|KLHL3|VPS41|USP25|TMEM260|WDR59|ARRDC4|TTC8,-0.47,0
1,-2.1,M39099,M1,1,0,Cell Type Signatures,7,ZHONG PFC C4 PTGDS POS OPC,,-2.1,2.8,3.1,30230,147,584,8,1.4,0.48,5129|6307|6773|55103|55149|59338|79817|253260,CDK18|MSMO1|STAT2|RALGPS2|MTPAP|PLEKHA1|MOB3B|RICTOR,-0.47,0
1,-2.1,M39085,M1,1,0,Cell Type Signatures,7,ZHONG PFC C5 BCL11B CALB2 POS INP,,-2.1,7.1,4,30230,22,584,3,0.51,0.3,9213|10900|23522,XPR1|RUNDC3A|KAT6B,-0.46,0
1,-2,M39239,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C20 COLLECTING DUCT INTERCALATED CELLS TYPE A CORTEX,,-2,2.7,3,30230,152,584,8,1.4,0.48,673|4642|5137|5581|23461|55103|81704|114781,BRAF|MYO1D|PDE1C|PRKCE|ABCA5|RALGPS2|DOCK8|BTBD9,-0.42,0
