"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","3/9","250/3974",0.012,5.29866666666667,3.34470546159935,0.0155603515940891,0.121313950120914,0.0815854050520769,"GSTA4/HMOX1/NFE2L2",3,"pathways in cancer",FALSE,FALSE,FALSE,TRUE
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","1/9","8/3974",0.125,55.1944444444444,7.30941043021684,0.0179905284381918,0.121313950120914,0.0815854050520769,"ORAI1",1,"primary immunodeficiency",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/9","9/3974",0.111111111111111,49.0617283950617,6.87635018016315,0.0202189916868191,0.121313950120914,0.0815854050520769,"GSTA4",1,"drug metabolism - cytochrome p450",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","1/9","13/3974",0.0769230769230769,33.965811965812,5.671422130013,0.0290879613320401,0.127387168673391,0.085669733318362,"GSTA4",1,"chemical carcinogenesis - dna adducts",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/9","14/3974",0.0714285714285714,31.5396825396825,5.45305508165554,0.0312940225155826,0.127387168673391,0.085669733318362,"GSTA4",1,"metabolism of xenobiotics by cytochrome p450",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","1/9","19/3974",0.0526315789473684,23.2397660818713,4.62905896642799,0.0422576355148281,0.127387168673391,0.085669733318362,"C4BPA",1,"complement and coagulation cascades",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/9","19/3974",0.0526315789473684,23.2397660818713,4.62905896642799,0.0422576355148281,0.127387168673391,0.085669733318362,"ORAI1",1,"renin secretion",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/9","20/3974",0.05,22.0777777777778,4.50174020415728,0.0444370745237708,0.127387168673391,0.085669733318362,"HMOX1",1,"mineral absorption",FALSE,FALSE,TRUE,TRUE
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","1/9","21/3974",0.0476190476190476,21.026455026455,4.38338140828986,0.0466121039444297,0.127387168673391,0.085669733318362,"HMOX1",1,"porphyrin metabolism",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/9","21/3974",0.0476190476190476,21.026455026455,4.38338140828986,0.0466121039444297,0.127387168673391,0.085669733318362,"ORAI1",1,"cortisol synthesis and secretion",FALSE,FALSE,TRUE,TRUE
