"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","3/9","72/3974",0.0416666666666667,18.3981481481481,7.09715976381184,0.000443087838820859,0.0159511621975509,0.0107273897819787,"GSTA4/HMOX1/NFE2L2",3
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","3/9","96/3974",0.03125,13.7986111111111,6.04718839223868,0.00103272828501254,0.0185891091302258,0.0125014476606782,"GSTA4/HMOX1/NFE2L2",3
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/9","143/3974",0.020979020979021,9.26340326340326,4.79435105995878,0.00326758468049326,0.0392110161659191,0.0263699816320509,"GSTA4/HMOX1/NFE2L2",3
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","3/9","250/3974",0.012,5.29866666666667,3.34470546159935,0.0155603515940891,0.121313950120914,0.0815854050520769,"GSTA4/HMOX1/NFE2L2",3
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","1/9","8/3974",0.125,55.1944444444444,7.30941043021684,0.0179905284381918,0.121313950120914,0.0815854050520769,"ORAI1",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/9","9/3974",0.111111111111111,49.0617283950617,6.87635018016315,0.0202189916868191,0.121313950120914,0.0815854050520769,"GSTA4",1
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","1/9","13/3974",0.0769230769230769,33.965811965812,5.671422130013,0.0290879613320401,0.127387168673391,0.085669733318362,"GSTA4",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/9","14/3974",0.0714285714285714,31.5396825396825,5.45305508165554,0.0312940225155826,0.127387168673391,0.085669733318362,"GSTA4",1
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","1/9","19/3974",0.0526315789473684,23.2397660818713,4.62905896642799,0.0422576355148281,0.127387168673391,0.085669733318362,"C4BPA",1
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/9","19/3974",0.0526315789473684,23.2397660818713,4.62905896642799,0.0422576355148281,0.127387168673391,0.085669733318362,"ORAI1",1
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/9","20/3974",0.05,22.0777777777778,4.50174020415728,0.0444370745237708,0.127387168673391,0.085669733318362,"HMOX1",1
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","1/9","21/3974",0.0476190476190476,21.026455026455,4.38338140828986,0.0466121039444297,0.127387168673391,0.085669733318362,"HMOX1",1
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/9","21/3974",0.0476190476190476,21.026455026455,4.38338140828986,0.0466121039444297,0.127387168673391,0.085669733318362,"ORAI1",1
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","1/9","25/3974",0.04,17.6622222222222,3.98123947169729,0.0552682817370937,0.127387168673391,0.085669733318362,"HMOX1",1
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","1/9","25/3974",0.04,17.6622222222222,3.98123947169729,0.0552682817370937,0.127387168673391,0.085669733318362,"C4BPA",1
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","2/9","175/3974",0.0114285714285714,5.04634920634921,2.60799454902238,0.0566165194103958,0.127387168673391,0.085669733318362,"NFE2L2/SLC39A7",2
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/9","33/3974",0.0303030303030303,13.3804713804714,3.40212193055075,0.0723713395741511,0.145144156414319,0.0976115671792207,"GSTA4",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/9","34/3974",0.0294117647058824,12.9869281045752,3.34393779182743,0.0744897506230812,0.145144156414319,0.0976115671792207,"GSTA4",1
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","1/9","35/3974",0.0285714285714286,12.615873015873,3.2881515730594,0.0766038603297797,0.145144156414319,0.0976115671792207,"ORAI1",1
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","1/9","42/3974",0.0238095238095238,10.5132275132275,2.95260067881216,0.0912828313177761,0.159561915517444,0.107307720962024,"PIDD1",1
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/9","44/3974",0.0227272727272727,10.0353535353535,2.87100636140712,0.0954385446997518,0.159561915517444,0.107307720962024,"PIDD1",1
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/9","45/3974",0.0222222222222222,9.81234567901235,2.83214646123071,0.0975100594828824,0.159561915517444,0.107307720962024,"GSTA4",1
"Organismal Systems","Immune system","hsa04611","Platelet activation","1/9","57/3974",0.0175438596491228,7.74658869395711,2.44401472216393,0.122041382456037,0.191021294279015,0.128464613111618,"ORAI1",1
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","1/9","61/3974",0.0163934426229508,7.23861566484517,2.33914512099035,0.130085746046314,0.193914038262715,0.130410025732235,"ORAI1",1
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/9","66/3974",0.0151515151515152,6.69023569023569,2.22066929146036,0.140049027634183,0.193914038262715,0.130410025732235,"ORAI1",1
