"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0035580","specific granule lumen",25,6,1.145,3.6866,1.882,0.00451524268055054,2.34531890271668,1,0.0246335520241188,0.206957842939973,"TOLLIP,AOC1,ERP44,NEU1,QPCT,QSOX1","16476,80,18311,7758,9753,9756"
NA,"Direct GO Cellular Component","GO:0032590","dendrite membrane",6,3,0.573,7.6803,2.941,0.00472964198863081,2.32517173204159,1,0.0246335520241188,0.206957842939973,"ATF4,SGCE,APP","786,10808,620"
NA,"Direct GO Cellular Component","GO:0031594","neuromuscular junction",42,8,1.527,2.9258,1.549,0.0050404599010114,2.29752983590384,1,0.0260354333729928,0.218735695347806,"SV2A,EPHA7,SYNGR2,CXADR,ERBB2,SYNGR1,EPHA4,ITGB1","20566,3390,11499,2559,3430,11498,3388,6153"
NA,"Direct GO Cellular Component","GO:0008021","synaptic vesicle",71,11,2.099,2.3798,1.251,0.00579878748025855,2.23666280741703,1,0.0287638267869968,0.241658188015572,"SV2A,LAMP1,RAB8B,SYNGR2,SYT11,MME,TPRG1L,SYNGR1,CLCN3,BACE1,SYT1","20566,6499,30273,11499,19239,7154,27007,11498,2021,933,11509"
NA,"Direct GO Cellular Component","GO:0014704","intercalated disc",27,6,1.145,3.4135,1.771,0.00675579094009471,2.17032379826149,1,0.0328589053506552,0.276062833572765,"CDH2,GJA1,SLC31A1,ITGB1,ATP1B1,CXADR","1759,4274,11016,6153,804,2559"
NA,"Direct GO Cellular Component","GO:0030141","secretory granule",36,7,1.336,2.9868,1.579,0.00760312718095404,2.11900774481187,1,0.0350785957632714,0.294711477476811,"STX3,THBS1,COL1A1,VAMP7,PLAT,SYT1,CLCN3","11438,11785,2197,11486,9051,11509,2021"
NA,"Direct GO Cellular Component","GO:0048786","presynaptic active zone",20,5,0.954,3.8402,1.941,0.00784771248887072,2.10525691627849,1,0.0350785957632714,0.294711477476811,"TPRG1L,SV2A,C1QBP,PI4K2A,SYT1","27007,20566,1243,30031,11509"
NA,"Direct GO Cellular Component","GO:0043005","neuron projection",150,18,3.435,1.8433,0.882,0.00846427353860287,2.07241031005532,1,0.037189251048343,0.312444066936934,"PTGS2,SYT11,VAMP7,NRSN2,CDH2,SV2A,PTPRS,CADM1,APP,SYT1,NDFIP1,CXADR,PGRMC1,STX3,PI4K2A,ATF4,SNAP23,RTN4RL2","9605,19239,11486,16229,1759,20566,9681,5951,620,11509,17592,2559,16090,11438,30031,786,11131,23053"
NA,"Direct GO Cellular Component","GO:0030425","dendrite",198,22,4.198,1.7067,0.771,0.0094547663238722,2.02434920034691,1,0.0410363121695842,0.344765003460045,"PI4K2A,C4A,SGCE,NDFIP1,GNAZ,BACE1,APP,STX3,ELOVL5,EPHA4,CLSTN3,RTN4RL2,ADAM10,IL6ST,NPTN,BMPR1A,TPBG,PHAF1,EPHA7,SYT11,APOE,MME","30031,1323,10808,17592,4395,933,620,11438,21308,3388,18371,23053,188,6021,17867,1076,12004,29564,3390,19239,613,7154"
NA,"Direct GO Cellular Component","GO:0044291","cell-cell contact zone",21,5,0.954,3.6573,1.871,0.00976008280728277,2.01054649764136,1,0.0419969139728174,0.352835462682765,"NECTIN2,GJA1,RAP2C,PCDH9,JAM3","9707,4274,21165,8661,15532"
