"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"SLIM2 GO BP","GO:0048646","anatomical structure formation involved in morphogenesis",526,66,12.595,1.9274,0.947,1.09417955011368e-07,6.96091140631579,0.000273544887528421,5.36362524565531e-06,4.50622918729853e-05,"GPC1,NEO1,PALB2,PAX6,ADAM9,CAV1,ITGB1,EMC10,HMGA2,SERPINF1,RGMA,VEGFB,ERBB2,CCN2,PGF,ITGB5,ADAMTS1,RELT,WNT5A,KIAA0319L,LRP6,BMP4,ITGA7,FN1,JAM3,CDON,SDC4,CD81,NOTCH2,CD47,MEIS1,ROBO1,CNTN1,PML,ITGA8,COL1A1,EXT1,SEMA3C,RNF7,EPHB4,THBS1,GRN,KDM6B,TMED2,TBC1D20,PEF1,BMPR1A,VTN,ITGAV,UNC5B,APOH,SPINT2,CD109,CCN1,SLC31A1,MFGE8,SLIT2,GJA1,SPRY2,PTGS2,NECTIN2,ADGRG6,ANXA2,FZD7,FLT1,NRP2","4449,7754,26144,8620,216,1527,6153,27609,5009,8824,30308,12681,3430,2500,8893,6160,217,13764,12784,30071,6698,1071,6143,3778,15532,17104,10661,1701,7882,1682,7000,10249,2171,9113,6144,2197,3512,10725,10070,3395,11785,4601,29012,16996,16133,30009,1076,12724,6150,12568,616,11247,21685,2654,11016,7036,11086,4274,11270,9605,9707,13841,537,4045,3763,8005"
NA,"Direct GO Biological Processes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",36,13,2.481,5.5469,2.472,1.8753362713052e-07,6.72692084650799,0.000468834067826301,8.84592580804342e-06,7.43187065449282e-05,"FAT1,CADM1,PCDH7,CDH2,ROBO1,ITGB1,NPTN,PCDH9,DSC3,CLSTN3,PCDH1,ESAM,NECTIN2","3595,5951,8659,1759,10249,6153,17867,8661,3037,18371,8655,17474,9707"
NA,"Direct GO Biological Processes","GO:0006958","complement activation, classical pathway",7,6,1.145,13.1663,3.719,4.90124355736076e-07,6.30969371556743,0.00122531088934019,2.00870637596752e-05,0.000168760696087588,"CD55,C4BPA,CD46,C1QBP,CLU,C4A","2665,1325,6953,1243,2095,1323"
NA,"Direct GO Biological Processes","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway",7,6,1.145,13.1663,3.719,4.90124355736076e-07,6.30969371556743,0.00122531088934019,2.00870637596752e-05,0.000168760696087588,"WNT5A,SHISA2,GPC1,SPRY2,THBS1,SULF2","12784,20366,4449,11270,11785,20392"
NA,"SLIM2 GO BP","GO:0002376","immune system process",1076,109,20.802,1.5561,0.638,7.16497072807259e-07,6.14478557953914,0.00179124268201815,2.88910110002927e-05,0.000242726721307643,"LAMP1,RBX1,PLA2G4A,CLU,ADAM9,C1QBP,SLC11A2,TMED1,FCGRT,TIFA,IL13RA1,PPIB,VEGFB,RNF7,HPX,CD151,P2RX4,SMPD1,IFNGR1,NFE2L1,LAMP3,JAM3,LDLR,FOS,PHPT1,ACVR2A,ATP6V0A2,GCNT1,CD99L2,CD276,ITGB1,BMP4,CD83,IL10RB,ULBP3,PLSCR1,VAMP7,CAV1,P4HB,CD81,ITGA7,TFRC,NDFIP1,WNT5A,CD55,F11R,C4BPA,NOTCH2,PLD3,TRIM21,LAMP2,ZNF335,RAB8B,VTN,TRIM44,CD47,APOA1,NECTIN2,SNAP23,CD46,FLT1,TOLLIP,MEIS1,SYT11,KDM6B,TMEFF1,FN1,TSKU,SLIT2,CD59,ADAM10,ATP1B1,ERBB2,SERINC3,BMPR1A,ZDHHC18,TSPAN6,IFNAR1,CALR,SDC4,GRN,PGF,APP,C4A,CTSV,APOE,SHMT2,ADGRE5,SLC19A1,CADM1,CALCOCO2,EGR1,FZD7,ACVR1B,SEMA3C,EXT1,THBS1,IL6ST,SLC25A5,CXADR,PML,ITGA1,LGR4,MEIS2,CD320,PTPRS,SPPL2B,HLA-A,H4C16","6499,9928,9035,2095,216,1243,10908,17291,3621,19075,5974,9255,12681,10070,5171,1630,8535,11120,5439,7781,14582,15532,6547,3796,30033,173,18481,4203,18237,19137,6153,1071,1703,5965,14895,9092,11486,1527,8548,1701,6143,11763,17592,12784,2665,14685,1325,7882,17158,11312,6501,15807,30273,12724,19016,1682,600,9707,11131,6953,3763,16476,7000,19239,29012,11866,3778,28850,11086,1689,188,804,3430,11699,1076,20712,11858,5432,1455,10661,4601,8893,620,1323,2538,613,10852,1711,10937,5951,29912,3238,4045,172,10725,3512,11785,6021,10991,2559,9113,6134,13299,7001,16692,9681,30627,4931,20510"
NA,"Direct GO Biological Processes","GO:0043691","reverse cholesterol transport",5,5,0.954,15.3607,3.941,1.14861523581837e-06,5.93982542731311,0.00287153808954594,4.28587774559095e-05,0.000360076375694207,"APOC3,CLU,APOE,APOA1,SCARB1","610,2095,613,600,1664"
NA,"Direct GO Biological Processes","GO:0007160","cell-matrix adhesion",42,13,2.481,4.7545,2.249,1.44073728871135e-06,5.8414152034085,0.00360184322177837,5.2200626402585e-05,0.000438561561475862,"VTN,ANXA2,SGCE,ITGA1,ITGB1,ITGA8,CCN2,JAM3,ITGA7,ITGB5,ADAM9,FN1,ITGAV","12724,537,10808,6134,6153,6144,2500,15532,6143,6160,216,3778,6150"
NA,"Direct GO Biological Processes","GO:0007411","axon guidance",78,18,3.435,3.5448,1.826,1.7881945568968e-06,5.74758523140701,0.00447048639224199,6.38640913177427e-05,0.000536551714811592,"NOTCH2,SEMA3C,CNTN1,ROBO1,FLRT3,EXT1,SLIT2,NTN3,PGRMC1,EPHA4,WNT5A,NPTN,NEO1,NTN1,PAX6,B4GAT1,EPHA7,NRP2","7882,10725,2171,10249,3762,3512,11086,8030,16090,3388,12784,17867,7754,8029,8620,15685,3390,8005"
NA,"SLIM2 GO BP","GO:0007267","cell-cell signaling",435,54,10.305,1.9068,0.931,2.43025852128432e-06,5.61434752541594,0.0060756463032108,8.31924768963876e-05,0.000698938405247135,"TPBG,EPHA4,ADGRE5,RAB8B,NEO1,GNAZ,CXADR,EXT1,LRP6,PCDH1,SYNGR1,OXCT1,AKAP12,SV2A,APOE,CLOCK,TMED1,P2RX4,TMEM132A,RNF167,CLSTN3,TPRG1L,HMGA2,FAT1,NPTN,BACE1,VAMP7,WNT5A,SDCBP,PGF,MME,BMP4,PHPT1,PLAT,CLCN3,USP46,ADAM10,SNAP23,STX3,ITGB1,NMU,SYT11,APP,FGFR3,SIDT2,ATF4,EPHA7,GJA1,SYT1,PLA2G4A,MPZL1,MET,PTPRS,PTGS2","12004,3388,1711,30273,7754,4395,2559,3512,6698,8655,11498,8527,370,20566,613,2082,17291,8535,31092,24544,18371,27007,5009,3595,17867,933,11486,12784,10662,8893,7154,1071,30033,9051,2021,20075,188,11131,11438,6153,7859,19239,620,3690,24272,786,3390,4274,11509,9035,7226,7029,9681,9605"
NA,"Direct GO Biological Processes","GO:0050919","negative chemotaxis",16,8,1.527,7.6803,2.941,2.47124007885479e-06,5.60708506121181,0.00617810019713697,8.31924768963876e-05,0.000698938405247135,"NRP2,FLRT3,ITGAV,SLIT2,APOA1,WNT5A,SEMA3C,EPHA7","8005,3762,6150,11086,600,12784,10725,3390"
