Protein.Group,Genes,PG.MaxLFQ,CellType,Fraction,SampleName
Q6P6C2,ALKBH5,13942.7216796875,WO,3,WO_F3
Q6P6C2,ALKBH5,15586.0078125,WO,4,WO_F4
Q9NVX2,NLE1,3751.120849609375,WO,1,WO_F1
Q00688,FKBP3,341844.28125,WO,2,WO_F2
Q00688,FKBP3,738458.1875,WO,4,WO_F4
O43583,DENR,3467.439453125,EP,1,EP_F1
O43583,DENR,16008.4140625,WO,1,WO_F1
O43583,DENR,340612.21875,WO,2,WO_F2
Q92616,GCN1,10108.16015625,EP,1,EP_F1
Q92616,GCN1,5617.90234375,WO,1,WO_F1
Q9Y5Q8,GTF3C5,7664.81884765625,EP,4,EP_F4
Q9Y5Q8,GTF3C5,3363.575439453125,WO,4,WO_F4
O75352,MPDU1,2180.91162109375,EP,1,EP_F1
O75352,MPDU1,4384.140625,EP,2,EP_F2
P78318,IGBP1,1730.113037109375,EP,2,EP_F2
P78318,IGBP1,13143.5302734375,WO,1,WO_F1
P78318,IGBP1,19578.51953125,WO,2,WO_F2
P78318,IGBP1,7571.94873046875,WO,3,WO_F3
Q96G01,BICD1,2353.019775390625,EP,3,EP_F3
Q96G01,BICD1,6247.41748046875,WO,2,WO_F2
Q96G01,BICD1,11426.8203125,WO,3,WO_F3
Q96G01,BICD1,2112.458251953125,WO,4,WO_F4
Q14241,ELOA,20493.6484375,EP,2,EP_F2
Q14241,ELOA,93747.5625,WO,2,WO_F2
Q14241,ELOA,30823.66796875,WO,3,WO_F3
Q14241,ELOA,22625.091796875,WO,4,WO_F4
P30566,ADSL,5987.8349609375,WO,1,WO_F1
P30566,ADSL,4613.52734375,WO,2,WO_F2
Q15427,SF3B4,2594.231201171875,WO,1,WO_F1
Q15427,SF3B4,85874.0703125,WO,2,WO_F2
P26641,EEF1G,103436.5546875,EP,1,EP_F1
P26641,EEF1G,615560.125,EP,2,EP_F2
P26641,EEF1G,153215.125,EP,3,EP_F3
P26641,EEF1G,120706.015625,EP,4,EP_F4
P26641,EEF1G,93456.9921875,WO,1,WO_F1
P26641,EEF1G,192097.546875,WO,2,WO_F2
P26641,EEF1G,83004.3359375,WO,3,WO_F3
P26641,EEF1G,110341.671875,WO,4,WO_F4
P52272,HNRNPM,212797.890625,WO,2,WO_F2
P52272,HNRNPM,175592.296875,WO,3,WO_F3
Q9UJ70,NAGK,48863.28125,EP,3,EP_F3
Q9UJ70,NAGK,44878.7265625,EP,4,EP_F4
Q9UJ70,NAGK,30535.099609375,WO,1,WO_F1
Q9UJ70,NAGK,52710.1015625,WO,2,WO_F2
Q9UJ70,NAGK,39879.11328125,WO,3,WO_F3
Q9UJ70,NAGK,46941.5234375,WO,4,WO_F4
Q15542,TAF5,2434.945068359375,WO,1,WO_F1
Q15542,TAF5,991.177001953125,WO,2,WO_F2
Q9NP79,VTA1,52118.48046875,EP,4,EP_F4
Q9NP79,VTA1,95704.0859375,WO,4,WO_F4
Q9NUP9,LIN7C,591653.4375,WO,2,WO_F2
Q9NUP9,LIN7C,1231755.75,WO,3,WO_F3
Q9NUP9,LIN7C,1163089.375,WO,4,WO_F4
Q9H7E9,C8orf33,15005.412109375,WO,1,WO_F1
Q9H7E9,C8orf33,22186.408203125,WO,2,WO_F2
Q9H7E9,C8orf33,7090.98046875,WO,3,WO_F3
P35269,GTF2F1,228298.5,WO,1,WO_F1
P35269,GTF2F1,117234.6640625,WO,2,WO_F2
P35269,GTF2F1,27126.404296875,WO,4,WO_F4
Q96HJ9,FMC1,668.2138671875,EP,1,EP_F1
Q96HJ9,FMC1,8649.96875,WO,1,WO_F1
Q96HJ9,FMC1,6966.453125,WO,2,WO_F2
Q96KP4,CNDP2,209472.640625,EP,3,EP_F3
Q96KP4,CNDP2,93466.6484375,EP,4,EP_F4
Q96KP4,CNDP2,427232.40625,WO,4,WO_F4
Q9HAP6,LIN7B,727.5614013671875,EP,3,EP_F3
Q9HAP6,LIN7B,2605.658935546875,EP,4,EP_F4
Q9HAP6,LIN7B,141211.796875,WO,1,WO_F1
Q9HAP6,LIN7B,107125.9296875,WO,2,WO_F2
Q9HAP6,LIN7B,73022.5,WO,3,WO_F3
Q9HAP6,LIN7B,65002.265625,WO,4,WO_F4
P27708,CAD,13405.251953125,EP,3,EP_F3
P27708,CAD,7782.8232421875,EP,4,EP_F4
P27708,CAD,5000.18994140625,WO,4,WO_F4
Q9Y4Y9,LSM5,874.741455078125,EP,1,EP_F1
Q9NRY2,INIP,5521.4970703125,WO,2,WO_F2
Q9NXG2,THUMPD1,33738.921875,WO,2,WO_F2
Q9NXG2,THUMPD1,40320.0234375,WO,3,WO_F3
Q9NXG2,THUMPD1,21456.90625,WO,4,WO_F4
Q96G03,PGM2,75441.3984375,EP,1,EP_F1
Q96G03,PGM2,52741.07421875,WO,1,WO_F1
Q96G03,PGM2,43775.08984375,WO,2,WO_F2
Q15599,NHERF2,11083.1171875,WO,1,WO_F1
Q15599,NHERF2,49141.49609375,WO,3,WO_F3
Q15599,NHERF2,29513.888671875,WO,4,WO_F4
Q3MHD2,LSM12,10250.2666015625,WO,1,WO_F1
