Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
Q15063,WO,POSTN,WO_F2,WO,WO,2,3488.9296875
Q15063,WO,POSTN,WO_F4,WO,WO,4,2243.107666015625
Q9NPE2,WO,NGRN,WO_F1,WO,WO,1,13789.1982421875
Q9NPE2,WO,NGRN,WO_F3,WO,WO,3,20518.931640625
Q9NPE2,WO,NGRN,WO_F4,WO,WO,4,54454.9765625
Q9Y6R4,WO,MAP3K4,WO_F3,WO,WO,3,12656.6103515625
Q9Y6R4,WO,MAP3K4,WO_F2,WO,WO,2,16545.390625
Q15697,WO,ZNF174,WO_F3,WO,WO,3,4640.85205078125
Q9H902,WO,REEP1,WO_F1,WO,WO,1,8912.84375
Q5VWG9,WO,TAF3,WO_F3,WO,WO,3,4404.27392578125
Q5VWG9,WO,TAF3,WO_F2,WO,WO,2,7547.1044921875
Q5VWG9,WO,TAF3,WO_F1,WO,WO,1,6468.34033203125
P19484,WO,TFEB,WO_F2,WO,WO,2,164758.703125
P19484,WO,TFEB,WO_F3,WO,WO,3,55465.93359375
P19484,WO,TFEB,WO_F4,WO,WO,4,5130.2548828125
P19484,WO,TFEB,WO_F1,WO,WO,1,6126.4365234375
Q9UK53,WO,ING1,WO_F1,WO,WO,1,11862.99609375
Q99972,WO,MYOC,WO_F3,WO,WO,3,4373.6962890625
Q99972,WO,MYOC,WO_F4,WO,WO,4,4212.2236328125
Q92753,WO,RORB,WO_F3,WO,WO,3,1259.238525390625
Q92753,WO,RORB,WO_F1,WO,WO,1,1742.817138671875
Q9P227,WO,ARHGAP23,WO_F2,WO,WO,2,3119.59326171875
Q9P227,WO,ARHGAP23,WO_F4,WO,WO,4,1987.3037109375
Q8N0T1,WO,RBIS,WO_F2,WO,WO,2,17401.796875
Q8N0T1,WO,RBIS,WO_F3,WO,WO,3,32142.62109375
Q8N0T1,WO,RBIS,WO_F1,WO,WO,1,30010.640625
Q8N0T1,WO,RBIS,WO_F4,WO,WO,4,16684.3515625
Q13158,WO,FADD,WO_F1,WO,WO,1,2663.687255859375
Q13158,WO,FADD,WO_F2,WO,WO,2,1477.9873046875
Q13158,WO,FADD,WO_F3,WO,WO,3,7963.12109375
Q13158,WO,FADD,WO_F4,WO,WO,4,8749.2021484375
O43896,WO,KIF1C,WO_F2,WO,WO,2,21370.0546875
Q86UX2,WO,ITIH5,WO_F3,WO,WO,3,120016.875
Q86UX2,WO,ITIH5,WO_F4,WO,WO,4,19268.701171875
Q86UX2,WO,ITIH5,WO_F1,WO,WO,1,11004.69140625
P62837,WO,UBE2D2,WO_F1,WO,WO,1,76389.28125
P62837,WO,UBE2D2,WO_F2,WO,WO,2,62862.36328125
Q8WUA8,WO,TSKU,WO_F1,WO,WO,1,7142.31005859375
Q8WUA8,WO,TSKU,WO_F2,WO,WO,2,1770.4112548828125
Q8WUA8,WO,TSKU,WO_F3,WO,WO,3,869.69525146484375
Q13797,WO,ITGA9,WO_F1,WO,WO,1,2720.40380859375
Q13797,WO,ITGA9,WO_F2,WO,WO,2,1354.3226318359375
P27987,WO,ITPKB,WO_F2,WO,WO,2,5734.63037109375
Q7Z5B4,WO,RIC3,WO_F1,WO,WO,1,18730.19140625
Q8N2Q7,WO,NLGN1,WO_F1,WO,WO,1,1628.5665283203125
Q8N2Q7,WO,NLGN1,WO_F2,WO,WO,2,1937.9251708984375
Q8N2Q7,WO,NLGN1,WO_F3,WO,WO,3,3099.1357421875
Q8N2Q7,WO,NLGN1,WO_F4,WO,WO,4,2178.38525390625
Q8NFZ4,WO,NLGN2,WO_F1,WO,WO,1,8849.5986328125
Q9H0I2,WO,ENKD1,WO_F1,WO,WO,1,7024.17529296875
Q9H0I2,WO,ENKD1,WO_F4,WO,WO,4,27034.8671875
Q9H0I2,WO,ENKD1,WO_F3,WO,WO,3,37073.12109375
Q9H0I2,WO,ENKD1,WO_F2,WO,WO,2,11771.8828125
Q5JY77,WO,GPRASP1,WO_F2,WO,WO,2,8332.373046875
Q5JY77,WO,GPRASP1,WO_F1,WO,WO,1,9403.3037109375
Q96GY3,WO,LIN37,WO_F1,WO,WO,1,10804.583984375
Q8NFZ5,WO,TNIP2,WO_F3,WO,WO,3,2776.369140625
Q8NFZ5,WO,TNIP2,WO_F2,WO,WO,2,14575.470703125
P14209,WO,CD99,WO_F1,WO,WO,1,10243.3232421875
Q76FK4,WO,NOL8,WO_F1,WO,WO,1,3539.67236328125
O14525,WO,ASTN1,WO_F2,WO,WO,2,5432.5107421875
O14525,WO,ASTN1,WO_F3,WO,WO,3,1918.947509765625
O14525,WO,ASTN1,WO_F1,WO,WO,1,4413.03271484375
P62491,WO,RAB11A,WO_F1,WO,WO,1,4632.5517578125
P62491,WO,RAB11A,WO_F3,WO,WO,3,3192.0869140625
P62491,WO,RAB11A,WO_F4,WO,WO,4,3079.863525390625
Q6NVV7,WO,CDPF1,WO_F3,WO,WO,3,14873.28125
Q9NSY1,WO,BMP2K,WO_F2,WO,WO,2,5491.8583984375
Q9NSY1,WO,BMP2K,WO_F4,WO,WO,4,6703.37744140625
Q9NSY1,WO,BMP2K,WO_F3,WO,WO,3,7132.150390625
P52799,WO,EFNB2,WO_F1,WO,WO,1,15229.1806640625
P52799,WO,EFNB2,WO_F3,WO,WO,3,31299.896484375
P52799,WO,EFNB2,WO_F4,WO,WO,4,15920.8798828125
P52799,WO,EFNB2,WO_F2,WO,WO,2,10363.2744140625
Q9NZM4,WO,BICRA,WO_F2,WO,WO,2,5943.1796875
Q9NZM4,WO,BICRA,WO_F3,WO,WO,3,6098.1669921875
Q8NC06,WO,ACBD4,WO_F2,WO,WO,2,11074.8828125
Q8WUR7,WO,C15orf40,WO_F1,WO,WO,1,40658.08984375
Q8WUR7,WO,C15orf40,WO_F2,WO,WO,2,20048.408203125
Q8WUR7,WO,C15orf40,WO_F3,WO,WO,3,174248.75
Q8WUR7,WO,C15orf40,WO_F4,WO,WO,4,65561.59375
Q92667,WO,AKAP1,WO_F2,WO,WO,2,15237.3505859375
Q92667,WO,AKAP1,WO_F3,WO,WO,3,13224.9150390625
Q92667,WO,AKAP1,WO_F1,WO,WO,1,5988.92724609375
Q92667,WO,AKAP1,WO_F4,WO,WO,4,6168.30859375
P29353,WO,SHC1,WO_F3,WO,WO,3,1409.62548828125
A1L170,WO,C1orf226,WO_F2,WO,WO,2,2935.528564453125
A1L170,WO,C1orf226,WO_F3,WO,WO,3,6335.2158203125
A1L170,WO,C1orf226,WO_F4,WO,WO,4,3486.806884765625
Q15649,WO,ZNHIT3,WO_F1,WO,WO,1,7440.2353515625
Q15649,WO,ZNHIT3,WO_F2,WO,WO,2,7511.49951171875
Q15649,WO,ZNHIT3,WO_F3,WO,WO,3,6682.35107421875
Q9H4M7,WO,PLEKHA4,WO_F2,WO,WO,2,5508.10107421875
Q9H4M7,WO,PLEKHA4,WO_F1,WO,WO,1,6002.654296875
Q9H4M7,WO,PLEKHA4,WO_F3,WO,WO,3,5212.3857421875
Q6PCB0,WO,VWA1,WO_F2,WO,WO,2,30691.171875
Q6PCB0,WO,VWA1,WO_F3,WO,WO,3,5878.64697265625
Q9ULD5,WO,ZNF777,WO_F2,WO,WO,2,10508.9013671875
Q9Y217,WO,MTMR6,WO_F3,WO,WO,3,4533.5341796875
P10643,WO,C7,WO_F1,WO,WO,1,20177.794921875
P10643,WO,C7,WO_F3,WO,WO,3,6774.96630859375
P10643,WO,C7,WO_F4,WO,WO,4,5701.12353515625
P10643,WO,C7,WO_F2,WO,WO,2,9740.7041015625
Q8N436,WO,CPXM2,WO_F1,WO,WO,1,5152.798828125
Q8N436,WO,CPXM2,WO_F2,WO,WO,2,4623.68408203125
Q8N436,WO,CPXM2,WO_F3,WO,WO,3,5608.33203125
Q8N436,WO,CPXM2,WO_F4,WO,WO,4,5347.8154296875
Q96G25,WO,MED8,WO_F1,WO,WO,1,42377.98046875
Q96G25,WO,MED8,WO_F3,WO,WO,3,5026.1962890625
Q96G25,WO,MED8,WO_F2,WO,WO,2,9067.9599609375
Q6EMK4,WO,VASN,WO_F1,WO,WO,1,4616.0087890625
Q6EMK4,WO,VASN,WO_F2,WO,WO,2,35829.23828125
Q6EMK4,WO,VASN,WO_F3,WO,WO,3,6073.8173828125
Q6EMK4,WO,VASN,WO_F4,WO,WO,4,3233.26416015625
Q9UKA4,WO,AKAP11,WO_F2,WO,WO,2,5338.91796875
Q9UKA4,WO,AKAP11,WO_F1,WO,WO,1,3150.554931640625
P0C7X2,WO,ZNF688,WO_F1,WO,WO,1,18923.154296875
Q9UJK0,WO,TSR3,WO_F1,WO,WO,1,1708.9361572265625
Q9UJK0,WO,TSR3,WO_F2,WO,WO,2,1783.963623046875
O60741,WO,HCN1,WO_F1,WO,WO,1,12637.48828125
O60741,WO,HCN1,WO_F2,WO,WO,2,3858.1513671875
Q8IZL2,WO,MAML2,WO_F2,WO,WO,2,22507.216796875
Q8IZL2,WO,MAML2,WO_F3,WO,WO,3,11082.2177734375
Q5T6F2,WO,UBAP2,WO_F1,WO,WO,1,3516.489501953125
Q5T6F2,WO,UBAP2,WO_F2,WO,WO,2,2841.512939453125
Q5T6F2,WO,UBAP2,WO_F4,WO,WO,4,3884.532470703125
P00734,WO,F2,WO_F4,WO,WO,4,19321.314453125
P00734,WO,F2,WO_F2,WO,WO,2,13216.1533203125
P00734,WO,F2,WO_F3,WO,WO,3,9999.525390625
P00734,WO,F2,WO_F1,WO,WO,1,29230.220703125
Q86W92,WO,PPFIBP1,WO_F2,WO,WO,2,8936.8193359375
Q86W92,WO,PPFIBP1,WO_F1,WO,WO,1,9749.455078125
Q7Z3B3,WO,KANSL1,WO_F3,WO,WO,3,2583.492431640625
Q9NY27,WO,PPP4R2,WO_F1,WO,WO,1,2222.54931640625
Q9NY27,WO,PPP4R2,WO_F2,WO,WO,2,7763.4736328125
Q9NY27,WO,PPP4R2,WO_F3,WO,WO,3,1884.820068359375
Q69YU3,WO,ANKRD34A,WO_F1,WO,WO,1,4231.33837890625
Q69YU3,WO,ANKRD34A,WO_F3,WO,WO,3,10809.26953125
Q69YU3,WO,ANKRD34A,WO_F4,WO,WO,4,11605.17578125
Q69YU3,WO,ANKRD34A,WO_F2,WO,WO,2,4818.89453125
Q70EK8,WO,USP53,WO_F2,WO,WO,2,11044.8427734375
Q70EK8,WO,USP53,WO_F3,WO,WO,3,28367.126953125
Q8N3D4,WO,EHBP1L1,WO_F1,WO,WO,1,5286.6572265625
Q9Y5Z6,WO,B3GALT1,WO_F2,WO,WO,2,9669.6474609375
O75420,WO,GIGYF1,WO_F3,WO,WO,3,28973.3515625
O75420,WO,GIGYF1,WO_F1,WO,WO,1,7285.12646484375
O75420,WO,GIGYF1,WO_F4,WO,WO,4,14958.0791015625
O75420,WO,GIGYF1,WO_F2,WO,WO,2,5442.00390625
Q96PY6,WO,NEK1,WO_F1,WO,WO,1,6595.9248046875
Q8N9N8,WO,EIF1AD,WO_F3,WO,WO,3,3957.240478515625
Q8N9N8,WO,EIF1AD,WO_F2,WO,WO,2,4116.31298828125
Q9BTA9,WO,WAC,WO_F3,WO,WO,3,45296.43359375
Q9BTA9,WO,WAC,WO_F4,WO,WO,4,53839.28515625
Q9BTA9,WO,WAC,WO_F1,WO,WO,1,24110.23046875
Q9BTA9,WO,WAC,WO_F2,WO,WO,2,48208.34765625
Q9HCH0,WO,NCKAP5L,WO_F4,WO,WO,4,3685.436767578125
Q8WWK9,WO,CKAP2,WO_F1,WO,WO,1,8019.10888671875
Q8WXS3,WO,BAALC,WO_F3,WO,WO,3,10293.931640625
Q8WXS3,WO,BAALC,WO_F4,WO,WO,4,4007.347900390625
Q8WXS3,WO,BAALC,WO_F2,WO,WO,2,20830.5703125
Q16763,WO,UBE2S,WO_F2,WO,WO,2,14807.916015625
O95990,WO,FAM107A,WO_F1,WO,WO,1,18718.494140625
O95990,WO,FAM107A,WO_F3,WO,WO,3,16008.44140625
O95990,WO,FAM107A,WO_F4,WO,WO,4,12337.322265625
O95990,WO,FAM107A,WO_F2,WO,WO,2,14677.048828125
Q9P2F5,WO,STOX2,WO_F3,WO,WO,3,7986.849609375
Q5W0B1,WO,OBI1,WO_F1,WO,WO,1,4596.103515625
Q86VY4,WO,TSPYL5,WO_F3,WO,WO,3,4119.13671875
Q86VY4,WO,TSPYL5,WO_F1,WO,WO,1,6522.89892578125
Q86VY4,WO,TSPYL5,WO_F2,WO,WO,2,4330.14404296875
Q9UN71,WO,PCDHGB4,WO_F3,WO,WO,3,2700.347412109375
Q9UN71,WO,PCDHGB4,WO_F1,WO,WO,1,3773.205810546875
Q9UN71,WO,PCDHGB4,WO_F2,WO,WO,2,9271.2099609375
Q15650,WO,TRIP4,WO_F3,WO,WO,3,10353.3984375
Q15650,WO,TRIP4,WO_F2,WO,WO,2,10146.7392578125
Q9Y2Y1,WO,POLR3K,WO_F1,WO,WO,1,3629.584716796875
Q9Y2Y1,WO,POLR3K,WO_F2,WO,WO,2,2481.950439453125
Q9Y2Y1,WO,POLR3K,WO_F4,WO,WO,4,1927.54345703125
Q9Y2Y1,WO,POLR3K,WO_F3,WO,WO,3,8733.0302734375
P51636,WO,CAV2,WO_F1,WO,WO,1,3897.6474609375
Q86TN4,WO,TRPT1,WO_F4,WO,WO,4,2707.9736328125
Q8WUP2,WO,FBLIM1,WO_F2,WO,WO,2,8979.958984375
Q8WUP2,WO,FBLIM1,WO_F3,WO,WO,3,13913.6474609375
Q8WUP2,WO,FBLIM1,WO_F4,WO,WO,4,8218.0283203125
Q8WUP2,WO,FBLIM1,WO_F1,WO,WO,1,10256.6533203125
O15446,WO,POLR1G,WO_F3,WO,WO,3,13129.291015625
O15446,WO,POLR1G,WO_F2,WO,WO,2,55945.01953125
O15446,WO,POLR1G,WO_F4,WO,WO,4,6999.61962890625
O15446,WO,POLR1G,WO_F1,WO,WO,1,30732.3984375
Q93062,WO,RBPMS,WO_F3,WO,WO,3,16588.794921875
Q93062,WO,RBPMS,WO_F4,WO,WO,4,17158.5
Q4KMQ1,WO,TPRN,WO_F3,WO,WO,3,6070.84521484375
P04920,WO,SLC4A2,WO_F2,WO,WO,2,5319.06640625
P04920,WO,SLC4A2,WO_F3,WO,WO,3,5262.2529296875
Q96RF0,WO,SNX18,WO_F2,WO,WO,2,12966.8349609375
O00268,WO,TAF4,WO_F4,WO,WO,4,1517.5076904296875
O00268,WO,TAF4,WO_F3,WO,WO,3,3314.750244140625
P48061,WO,CXCL12,WO_F1,WO,WO,1,11394.2861328125
Q9NZ20,WO,PLA2G3,WO_F3,WO,WO,3,886.74371337890625
Q8IZD0,WO,SAMD14,WO_F3,WO,WO,3,10351.0771484375
Q8IZD0,WO,SAMD14,WO_F4,WO,WO,4,12537.078125
Q8IZD0,WO,SAMD14,WO_F1,WO,WO,1,10159.0947265625
Q8IZD0,WO,SAMD14,WO_F2,WO,WO,2,10934.2275390625
Q8N8A6,WO,DDX51,WO_F3,WO,WO,3,5416.8623046875
Q8N8A6,WO,DDX51,WO_F2,WO,WO,2,3921.38232421875
Q9BVT8,WO,TMUB1,WO_F2,WO,WO,2,17355.341796875
P43652,WO,AFM,WO_F2,WO,WO,2,1912.001708984375
P43652,WO,AFM,WO_F3,WO,WO,3,2167.588623046875
P43652,WO,AFM,WO_F4,WO,WO,4,36141.0234375
A1A4G5,WO,LNP1,WO_F2,WO,WO,2,11074.9921875
A1A4G5,WO,LNP1,WO_F3,WO,WO,3,2915.46630859375
A1A4G5,WO,LNP1,WO_F4,WO,WO,4,3020.067626953125
P24844,WO,MYL9,WO_F1,WO,WO,1,168789.28125
P24844,WO,MYL9,WO_F2,WO,WO,2,1655362.625
P24844,WO,MYL9,WO_F3,WO,WO,3,772518
P24844,WO,MYL9,WO_F4,WO,WO,4,170720.125
Q9H2X9,WO,SLC12A5,WO_F1,WO,WO,1,37753.5390625
Q9H2X9,WO,SLC12A5,WO_F2,WO,WO,2,29964.501953125
Q9H2X9,WO,SLC12A5,WO_F3,WO,WO,3,4641.1845703125
Q9H2X9,WO,SLC12A5,WO_F4,WO,WO,4,5624.666015625
P51511,WO,MMP15,WO_F1,WO,WO,1,12689.6259765625
P51511,WO,MMP15,WO_F2,WO,WO,2,3387.619140625
P51511,WO,MMP15,WO_F4,WO,WO,4,27960.404296875
Q8TAT2,WO,FGFBP3,WO_F1,WO,WO,1,836.4195556640625
Q8TAT2,WO,FGFBP3,WO_F2,WO,WO,2,4281.30078125
Q8TAT2,WO,FGFBP3,WO_F3,WO,WO,3,5093.455078125
Q8TAT2,WO,FGFBP3,WO_F4,WO,WO,4,928.41363525390625
Q6ZUT6,WO,CCDC9B,WO_F1,WO,WO,1,5716.53955078125
Q6ZUT6,WO,CCDC9B,WO_F2,WO,WO,2,12457.3037109375
Q6ZUT6,WO,CCDC9B,WO_F3,WO,WO,3,4992.5380859375
Q4G148,WO,GXYLT1,WO_F3,WO,WO,3,4909.33056640625
Q9NPJ6,WO,MED4,WO_F2,WO,WO,2,7397.259765625
Q6NZY7,WO,CDC42EP5,WO_F1,WO,WO,1,12138.1123046875
Q6NZY7,WO,CDC42EP5,WO_F2,WO,WO,2,16971.396484375
Q6NZY7,WO,CDC42EP5,WO_F3,WO,WO,3,6720.17138671875
Q6NZY7,WO,CDC42EP5,WO_F4,WO,WO,4,4605.5244140625
P49674,WO,CSNK1E,WO_F1,WO,WO,1,7194.24609375
P49674,WO,CSNK1E,WO_F2,WO,WO,2,17041.984375
P49674,WO,CSNK1E,WO_F3,WO,WO,3,6313.93896484375
P49674,WO,CSNK1E,WO_F4,WO,WO,4,4565.576171875
P48730,WO,CSNK1D,WO_F1,WO,WO,1,4410.7431640625
P48730,WO,CSNK1D,WO_F3,WO,WO,3,7057.361328125
P48730,WO,CSNK1D,WO_F4,WO,WO,4,4263.859375
P24592,WO,IGFBP6,WO_F3,WO,WO,3,6933.8740234375
P24592,WO,IGFBP6,WO_F1,WO,WO,1,2625.026123046875
P24592,WO,IGFBP6,WO_F4,WO,WO,4,6043.63623046875
P24592,WO,IGFBP6,WO_F2,WO,WO,2,2498.33447265625
Q2Y0W8,WO,SLC4A8,WO_F2,WO,WO,2,1611.8485107421875
A6NGB9,WO,WIPF3,WO_F4,WO,WO,4,2838.709716796875
A6NGB9,WO,WIPF3,WO_F1,WO,WO,1,12484.041015625
A6NGB9,WO,WIPF3,WO_F2,WO,WO,2,4583.69287109375
A6NGB9,WO,WIPF3,WO_F3,WO,WO,3,2153.35302734375
Q53GL0,WO,PLEKHO1,WO_F3,WO,WO,3,11841.7138671875
Q53GL0,WO,PLEKHO1,WO_F4,WO,WO,4,11793.658203125
Q53GL0,WO,PLEKHO1,WO_F1,WO,WO,1,4246.69482421875
Q8TAD2,WO,IL17D,WO_F4,WO,WO,4,4017.164794921875
Q8TAD2,WO,IL17D,WO_F3,WO,WO,3,5525.8603515625
Q9NTN9,WO,SEMA4G,WO_F2,WO,WO,2,1861.783203125
Q9NTN9,WO,SEMA4G,WO_F3,WO,WO,3,3093.473876953125
Q9ULL5,WO,PRR12,WO_F2,WO,WO,2,6846.427734375
Q9ULL5,WO,PRR12,WO_F3,WO,WO,3,5365.68310546875
Q96AT1,WO,KIAA1143,WO_F1,WO,WO,1,26515.525390625
Q96AT1,WO,KIAA1143,WO_F2,WO,WO,2,19266.0390625
Q96AT1,WO,KIAA1143,WO_F3,WO,WO,3,24194.275390625
Q96AT1,WO,KIAA1143,WO_F4,WO,WO,4,27507.359375
Q8N2G6,WO,ZCCHC24,WO_F2,WO,WO,2,20400.287109375
Q8N2G6,WO,ZCCHC24,WO_F3,WO,WO,3,6520.7080078125
P50548,WO,ERF,WO_F2,WO,WO,2,2426.498291015625
P50548,WO,ERF,WO_F1,WO,WO,1,2686.26953125
P50548,WO,ERF,WO_F4,WO,WO,4,2349.8720703125
Q9NT22,WO,EMILIN3,WO_F1,WO,WO,1,10365.6494140625
Q9NT22,WO,EMILIN3,WO_F2,WO,WO,2,10453.2431640625
Q9NT22,WO,EMILIN3,WO_F3,WO,WO,3,11896.8876953125
Q9NT22,WO,EMILIN3,WO_F4,WO,WO,4,1130.41357421875
Q9ULD2,WO,MTUS1,WO_F1,WO,WO,1,4061.560546875
P63215,WO,GNG3,WO_F3,WO,WO,3,8676.5322265625
P63215,WO,GNG3,WO_F2,WO,WO,2,19325.134765625
O75177,WO,SS18L1,WO_F1,WO,WO,1,13169.1904296875
O75177,WO,SS18L1,WO_F2,WO,WO,2,1284.2891845703125
O75177,WO,SS18L1,WO_F3,WO,WO,3,9344.744140625
O75177,WO,SS18L1,WO_F4,WO,WO,4,6595.15625
Q9NWS9,WO,ZNF446,WO_F4,WO,WO,4,10740.9287109375
Q9NWS9,WO,ZNF446,WO_F3,WO,WO,3,8575.1318359375
Q6ZQX7,WO,LIAT1,WO_F1,WO,WO,1,4699.3017578125
Q6ZQX7,WO,LIAT1,WO_F3,WO,WO,3,6172.888671875
Q6ZQX7,WO,LIAT1,WO_F4,WO,WO,4,10045.6025390625
Q6ZQX7,WO,LIAT1,WO_F2,WO,WO,2,4758.23828125
Q9NUG6,WO,PDRG1,WO_F1,WO,WO,1,13119.1044921875
Q9NUG6,WO,PDRG1,WO_F2,WO,WO,2,2755.81005859375
Q9NUG6,WO,PDRG1,WO_F3,WO,WO,3,2671.301513671875
Q9NUG6,WO,PDRG1,WO_F4,WO,WO,4,18858.236328125
A7MD48,WO,SRRM4,WO_F1,WO,WO,1,3420.86181640625
A7MD48,WO,SRRM4,WO_F3,WO,WO,3,3049.52392578125
A7MD48,WO,SRRM4,WO_F2,WO,WO,2,5513.13525390625
Q9Y625,WO,GPC6,WO_F2,WO,WO,2,8506.1435546875
Q9Y625,WO,GPC6,WO_F4,WO,WO,4,17372.958984375
Q9Y625,WO,GPC6,WO_F1,WO,WO,1,16893.880859375
Q9Y625,WO,GPC6,WO_F3,WO,WO,3,7562.49755859375
Q99081,WO,TCF12,WO_F3,WO,WO,3,8511.6689453125
Q99081,WO,TCF12,WO_F1,WO,WO,1,2896.552490234375
Q99081,WO,TCF12,WO_F4,WO,WO,4,2083.057861328125
Q9NWM3,WO,CUEDC1,WO_F1,WO,WO,1,16261.3388671875
Q9NWM3,WO,CUEDC1,WO_F2,WO,WO,2,22090.001953125
Q9NWM3,WO,CUEDC1,WO_F3,WO,WO,3,26298
Q9NWM3,WO,CUEDC1,WO_F4,WO,WO,4,20557.4765625
Q53ET0,WO,CRTC2,WO_F2,WO,WO,2,10812.853515625
Q53ET0,WO,CRTC2,WO_F4,WO,WO,4,4164.3134765625
Q53ET0,WO,CRTC2,WO_F3,WO,WO,3,5738.44970703125
Q96KS9,WO,FAM167A,WO_F1,WO,WO,1,5485.7392578125
Q96KS9,WO,FAM167A,WO_F3,WO,WO,3,6585.740234375
Q96KS9,WO,FAM167A,WO_F4,WO,WO,4,6422.37158203125
Q14657,WO,LAGE3,WO_F3,WO,WO,3,4238.177734375
Q9P2W7,WO,B3GAT1,WO_F3,WO,WO,3,11775.533203125
Q92526,WO,CCT6B,WO_F2,WO,WO,2,10182.173828125
Q92526,WO,CCT6B,WO_F4,WO,WO,4,7711.080078125
Q9HCJ0,WO,TNRC6C,WO_F1,WO,WO,1,4070.416259765625
Q9NZN8,WO,CNOT2,WO_F3,WO,WO,3,4680.77978515625
Q9NZN8,WO,CNOT2,WO_F4,WO,WO,4,2222.41845703125
Q96I34,WO,PPP1R16A,WO_F2,WO,WO,2,3261.383056640625
Q96I34,WO,PPP1R16A,WO_F4,WO,WO,4,1833.091796875
Q8TBP5,WO,FAM174A,WO_F2,WO,WO,2,37681.16015625
Q8TBP5,WO,FAM174A,WO_F3,WO,WO,3,2822.319580078125
Q8IWY9,WO,CDAN1,WO_F2,WO,WO,2,5055.33203125
Q8IWY9,WO,CDAN1,WO_F1,WO,WO,1,4413.33203125
Q641Q2,WO,WASHC2A,WO_F2,WO,WO,2,30732.580078125
Q641Q2,WO,WASHC2A,WO_F3,WO,WO,3,24814.84765625
Q641Q2,WO,WASHC2A,WO_F1,WO,WO,1,23792.517578125
Q641Q2,WO,WASHC2A,WO_F4,WO,WO,4,18519.521484375
Q8WXE0,WO,CASKIN2,WO_F3,WO,WO,3,7898.60888671875
Q6ZSR9,WO,,WO_F1,WO,WO,1,4659.9736328125
Q6ZSR9,WO,,WO_F4,WO,WO,4,4218.6005859375
Q6ZSR9,WO,,WO_F2,WO,WO,2,4693.6845703125
Q5VV42,WO,CDKAL1,WO_F3,WO,WO,3,7347.76806640625
Q5VV42,WO,CDKAL1,WO_F1,WO,WO,1,3687.02880859375
Q5VV42,WO,CDKAL1,WO_F2,WO,WO,2,8457.86328125
Q9BT23,WO,LIMD2,WO_F2,WO,WO,2,16612.04296875
Q9H3F6,WO,KCTD10,WO_F3,WO,WO,3,3974.818115234375
P51654,WO,GPC3,WO_F2,WO,WO,2,6418.3330078125
P51654,WO,GPC3,WO_F3,WO,WO,3,8724.166015625
Q92686,WO,NRGN,WO_F3,WO,WO,3,6951.48486328125
Q5BKY9,WO,FAM133B,WO_F1,WO,WO,1,32913.94921875
Q2TAK8,WO,PWWP3A,WO_F3,WO,WO,3,10773.2060546875
Q9UBC1,WO,NFKBIL1,WO_F2,WO,WO,2,15685.5224609375
O60563,WO,CCNT1,WO_F2,WO,WO,2,5838.0263671875
O60563,WO,CCNT1,WO_F1,WO,WO,1,1967.109130859375
O60563,WO,CCNT1,WO_F3,WO,WO,3,8597.283203125
O60563,WO,CCNT1,WO_F4,WO,WO,4,4218.888671875
P49918,WO,CDKN1C,WO_F3,WO,WO,3,18862.9375
P49918,WO,CDKN1C,WO_F4,WO,WO,4,7071.95263671875
P49918,WO,CDKN1C,WO_F1,WO,WO,1,8381.7734375
P10071,WO,GLI3,WO_F1,WO,WO,1,1913.9039306640625
P10071,WO,GLI3,WO_F2,WO,WO,2,3543.937255859375
P57796,WO,CABP4,WO_F1,WO,WO,1,9517.244140625
P57796,WO,CABP4,WO_F2,WO,WO,2,13635.1015625
P57796,WO,CABP4,WO_F3,WO,WO,3,13651.525390625
P57796,WO,CABP4,WO_F4,WO,WO,4,14994.6103515625
Q6NZ67,WO,MZT2B,WO_F1,WO,WO,1,24319.20703125
Q6NZ67,WO,MZT2B,WO_F4,WO,WO,4,119465.25
Q6P582,WO,MZT2A,WO_F1,WO,WO,1,5438.0888671875
Q6P582,WO,MZT2A,WO_F2,WO,WO,2,3674.8447265625
Q6P582,WO,MZT2A,WO_F4,WO,WO,4,1682.618408203125
P15884,WO,TCF4,WO_F1,WO,WO,1,3301.916015625
P15884,WO,TCF4,WO_F3,WO,WO,3,2248.180419921875
Q8NBZ0,WO,INO80E,WO_F1,WO,WO,1,2617.748779296875
Q8NBZ0,WO,INO80E,WO_F2,WO,WO,2,3463.45751953125
Q8NBZ0,WO,INO80E,WO_F3,WO,WO,3,2444.9794921875
Q8NBZ0,WO,INO80E,WO_F4,WO,WO,4,2009.34619140625
A6NIX2,WO,WTIP,WO_F1,WO,WO,1,3334.720703125
Q96DU7,WO,ITPKC,WO_F2,WO,WO,2,7315.423828125
P33240,WO,CSTF2,WO_F1,WO,WO,1,13320.361328125
P33240,WO,CSTF2,WO_F2,WO,WO,2,8740.423828125
P33240,WO,CSTF2,WO_F4,WO,WO,4,14560.8291015625
P33240,WO,CSTF2,WO_F3,WO,WO,3,24030.33203125
O43609,WO,SPRY1,WO_F2,WO,WO,2,7332.04052734375
Q8IWY4,WO,SCUBE1,WO_F3,WO,WO,3,4096.1318359375
Q8IWY4,WO,SCUBE1,WO_F1,WO,WO,1,5177.92529296875
P55087,WO,AQP4,WO_F1,WO,WO,1,4902.4931640625
Q8IXL7,WO,MSRB3,WO_F2,WO,WO,2,8409.318359375
