Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
P07585,WO,DCN,WO_F3,WO,WO,3,22609.421875
P07585,WO,DCN,WO_F4,WO,WO,4,10384.2705078125
P07585,WO,DCN,WO_F2,WO,WO,2,18067.44921875
Q2TAA8,WO,TSNAXIP1,WO_F3,WO,WO,3,34932.88671875
Q96KF7,WO,SMIM8,WO_F3,WO,WO,3,12572.0849609375
Q9NVW2,WO,RLIM,WO_F2,WO,WO,2,3335.1806640625
P47972,WO,NPTX2,WO_F3,WO,WO,3,2923.8828125
O00512,WO,BCL9,WO_F2,WO,WO,2,9283.4658203125
O00512,WO,BCL9,WO_F1,WO,WO,1,8544.7275390625
O00512,WO,BCL9,WO_F4,WO,WO,4,7307.13232421875
Q8N137,WO,CNTROB,WO_F2,WO,WO,2,5678.1611328125
Q8N137,WO,CNTROB,WO_F3,WO,WO,3,3302.64892578125
Q8N137,WO,CNTROB,WO_F1,WO,WO,1,6925.0498046875
Q8N137,WO,CNTROB,WO_F4,WO,WO,4,3849.5126953125
Q9NYL4,WO,FKBP11,WO_F3,WO,WO,3,9734.3232421875
Q9NYL4,WO,FKBP11,WO_F4,WO,WO,4,6270.34423828125
Q9NYL4,WO,FKBP11,WO_F1,WO,WO,1,3581.925537109375
P32519,WO,ELF1,WO_F2,WO,WO,2,114017.3359375
B3KNS4,WO,ERVK3-1,WO_F3,WO,WO,3,13202.7265625
B3KNS4,WO,ERVK3-1,WO_F4,WO,WO,4,712.0439453125
Q9H7U1,WO,CCSER2,WO_F1,WO,WO,1,3151.013427734375
Q9H7U1,WO,CCSER2,WO_F2,WO,WO,2,23406.94140625
Q86X95,WO,CIR1,WO_F1,WO,WO,1,16221.4580078125
Q86X95,WO,CIR1,WO_F3,WO,WO,3,9464.8154296875
Q86X95,WO,CIR1,WO_F4,WO,WO,4,25410.544921875
Q86X95,WO,CIR1,WO_F2,WO,WO,2,13870.447265625
