Protein.Group,Unique_to
Q1ZZU3,WO
O95429,WO
Q8IYH5,WO
Q07092,WO
Q8NHQ9,WO
Q96KB5,WO
O15155,WO
Q7Z7G2,WO
P81877,WO
Q9Y4H2,WO
Q717R9,WO
Q9BT88,WO
O14514,WO
Q9BU23,WO
O14523,WO
Q9NQW8,WO
Q15345,WO
Q6P995,WO
Q7Z5L7,WO
Q96NW4,WO
O60284,WO
Q5C9Z4,WO
Q9NW61,WO
Q6SPF0,WO
Q69YU5,WO
Q5T848,WO
P35568,WO
Q9BUT9,WO
Q96S06,WO
Q8N131,WO
Q8WUI4,WO
Q9Y580,WO
Q9Y6D0,WO
Q15723,WO
Q96M69,WO
Q9P2J2,WO
Q6P1Q9,WO
Q9C0D7,WO
O95754,WO
Q9Y675,WO
O95644,WO
Q9NX14,WO
P46934,WO
P30531,WO
P51957,WO
P18545,WO
Q9NZU7,WO
P54753,WO
Q7Z5L2,WO
P35227,WO
Q13542,WO
Q9UKS7,WO
P23327,WO
Q6AI39,WO
Q9H0I9,WO
Q9BQF6,WO
Q9UMS6,WO
Q8IUR6,WO
Q8IYE1,WO
Q9Y2K5,WO
O75493,WO
P14678,WO
P53384,WO
Q9P2P1,WO
Q9Y278,WO
Q00LT1,WO
O43278,WO
Q53H80,WO
P49459,WO
Q9NZ09,WO
Q02487,WO
O15370,WO
Q4VC05,WO
P61024,WO
P33552,WO
Q86VR8,WO
Q92738,WO
P01893,WO
P51692,WO
