Protein.Group,Unique_to
Q9H0U3,EP
P25713,EP
Q9HAT8,EP
Q32P51,EP
Q8N8R3,EP
Q5T1V6,EP
Q96Q15,EP
Q9UBH6,EP
P54922,EP
Q6P1Q0,EP
O00750,EP
Q8IUC8,EP
Q6ZTN6,EP
Q15526,EP
Q9HCE6,EP
Q86XS8,EP
Q8N4Q1,EP
Q86V85,EP
Q59FN2,EP
Q96AA3,EP
Q96P53,EP
Q9HBD1,EP
Q9BV47,EP
Q9Y324,EP
Q9P2P5,EP
Q96R05,EP
Q59EK9,EP
Q07002,EP
O00748,EP
P17066,EP
Q5T7M9,EP
Q96AX9,EP
P62256,EP
O60683,EP
O60488,EP
P51798,EP
Q15751,EP
Q9NPC7,EP
Q13418,EP
Q6P2P2,EP
Q14183,EP
Q9UJV3,EP
Q8N945,EP
Q4G176,EP
Q16563,EP
Q8WVQ1,EP
P40855,EP
P02585,EP
Q9NRN9,EP
Q08AF3,EP
Q9HCK5,EP
Q9H3R5,EP
P28472,EP
P49754,EP
Q8NFA0,EP
O95258,EP
Q96JA1,EP
Q9NVV9,EP
O95837,EP
Q92604,EP
Q9Y6K8,EP
Q86W34,EP
Q9P2H5,EP
Q96MZ0,EP
Q9BR77,EP
Q8N5D0,EP
O14802,EP
Q96HR9,EP
Q9P2U7,EP
Q9BZ72,EP
Q6UWZ7,EP
Q9P2E3,EP
Q9BTX1,EP
Q6PIF2,EP
Q6P1S2,EP
Q05481,EP
P19447,EP
Q96A05,EP
Q96GX1,EP
Q9UM00,EP
Q9Y5U8,EP
Q96I51,EP
Q9NQI0,EP
A0JNW5,EP
Q14145,EP
Q96LD8,EP
Q9HBG6,EP
O43716,EP
O14733,EP
O75582,EP
Q9UPY3,EP
Q9H3H5,EP
O15260,EP
Q08999,EP
Q99797,EP
Q5H9S7,EP
Q6AZZ1,EP
Q8WVZ9,EP
Q9H0V1,EP
P33402,EP
Q07890,EP
Q5T2E6,EP
Q9NZD8,EP
P11277,EP
Q9UJX6,EP
O60293,EP
Q96ER3,EP
Q96MW5,EP
Q86UT6,EP
Q8WXR4,EP
Q15392,EP
Q9H2H9,EP
Q7Z6R9,EP
Q8WTT2,EP
P02689,EP
P32189,EP
Q9Y2L9,EP
A0A1W2PQ72,EP
P00973,EP
Q6P1A2,EP
O14957,EP
Q86WV6,EP
Q9HBM0,EP
P00846,EP
Q9H1A3,EP
Q8WVM0,EP
P15056,EP
Q5QJ74,EP
Q86V97,EP
Q7Z4L5,EP
Q6ZN54,EP
Q5T5C0,EP
Q8NI29,EP
P13051,EP
O14561,EP
P53671,EP
O15270,EP
Q8WXK1,EP
Q9BT30,EP
Q9ULW5,EP
Q8IWA4,EP
Q9BW19,EP
Q8TAD4,EP
Q96DX4,EP
Q9NPB8,EP
Q96QE5,EP
O95214,EP
Q14156,EP
P49716,EP
Q8NF50,EP
Q8NI60,EP
Q9BUB7,EP
Q9BQ24,EP
Q9UK23,EP
Q6ZT07,EP
Q8IWE2,EP
Q9P2H3,EP
O15078,EP
O60486,EP
Q9H0R6,EP
Q8N4S0,EP
Q09328,EP
O95858,EP
Q9Y256,EP
Q5HYK3,EP
P18146,EP
Q9NPH0,EP
Q5TGL8,EP
Q86UP3,EP
Q8TBR7,EP
O96017,EP
Q96HA8,EP
Q92503,EP
P52179,EP
Q9BSB4,EP
Q8NB50,EP
Q9UJA9,EP
Q9UHI5,EP
Q9UJD0,EP
P35398,EP
P54646,EP
O15116,EP
Q99570,EP
Q8N6G5,EP
Q15528,EP
Q6PML9,EP
Q96ND0,EP
Q99643,EP
Q969S9,EP
Q6P4I2,EP
Q8NFG4,EP
Q9Y587,EP
Q8IVG5,EP
O15069,EP
Q12913,EP
O15254,EP
Q4ZIN3,EP
O15156,EP
Q9UNQ2,EP
Q9NR80,EP
O75820,EP
Q6PFW1,EP
Q6P4Q7,EP
Q58FG1,EP
P11169,EP
Q9NRK6,EP
Q6NUP7,EP
Q96NA8,EP
Q9H3H1,EP
Q86UW7,EP
O95864,EP
O95847,EP
Q9NQ11,EP
O75553,EP
Q9H1J7,EP
Q96EW2,EP
Q12772,EP
Q96FK6,EP
Q92831,EP
Q6PCT2,EP
Q9Y5J9,EP
Q5VZM2,EP
Q86UY8,EP
Q92685,EP
Q8N0Z8,EP
Q86YV9,EP
Q9HCP0,EP
Q12796,EP
Q2M296,EP
Q9UMR5,EP
Q9NWV8,EP
Q8IYU8,EP
Q9UK39,EP
Q6NUQ4,EP
Q92834,EP
P11161,EP
Q8WTW3,EP
Q8WUJ1,EP
Q5T160,EP
O15550,EP
Q9UF02,EP
Q8WUX2,EP
Q7Z7E8,EP
O00189,EP
Q05BQ5,EP
Q9H490,EP
Q9H1A4,EP
Q5MNZ9,EP
Q9Y6N5,EP
Q8IYS2,EP
Q9P0S9,EP
Q96Q07,EP
Q9P0J1,EP
Q9BSU1,EP
Q14693,EP
Q8IWT3,EP
Q9BPY3,EP
P57729,EP
Q15750,EP
Q9BV10,EP
Q9UBL6,EP
Q7Z4K8,EP
O60928,EP
P18074,EP
Q9P1Q0,EP
Q8WYK1,EP
Q8N3G9,EP
Q8IY37,EP
O94923,EP
Q9HAU4,EP
Q9NWX6,EP
O60347,EP
Q8N357,EP
P31483,EP
Q71RH2,EP
Q969Z0,EP
Q53F39,EP
P53779,EP
Q16644,EP
Q86SS6,EP
Q9Y6P5,EP
O95476,EP
Q86XL3,EP
Q9P2J3,EP
P30926,EP
Q9P0P0,EP
Q9H3E2,EP
P17152,EP
Q9NVC3,EP
Q6UXK5,EP
Q9H3S5,EP
O15381,EP
Q9C0I1,EP
Q9H7E9,WO
Q9NRY2,WO
Q6UUV7,WO
Q86VR2,WO
Q9HCE0,WO
Q92993,WO
Q2TBA0,WO
Q5VZF2,WO
Q9UMR2,WO
Q8N8I0,WO
O94921,WO
P63261,WO
P80297,WO
Q9Y2R4,WO
Q9Y5Y2,WO
Q96EA4,WO
Q9Y421,WO
Q7Z422,WO
Q96GX2,WO
Q9UPP2,WO
Q9H910,WO
B2RUZ4,WO
Q6PEV8,WO
Q13956,WO
Q15527,WO
Q9H0W8,WO
P16402,WO
Q99583,WO
Q9NZC9,WO
Q8IVN3,WO
P07196,WO
P56524,WO
Q86VQ1,WO
Q8TAE6,WO
Q9BTL3,WO
Q96HH9,WO
P62253,WO
Q9BQ15,WO
Q68DK7,WO
O15405,WO
Q03112,WO
Q9BUP0,WO
Q8N2S1,WO
O95996,WO
Q9C0C2,WO
Q9BZE9,WO
Q5JSZ5,WO
P19827,WO
Q8NDI1,WO
Q9BY89,WO
A6NKN8,WO
Q5PRF9,WO
P12821,WO
Q96MT8,WO
Q9Y2H9,WO
Q8NCN4,WO
Q8N350,WO
Q8TF72,WO
Q96BH1,WO
Q9Y4F5,WO
Q9HBL0,WO
P19532,WO
Q5T5U3,WO
Q15032,WO
Q9C073,WO
Q96A83,WO
Q8WUF5,WO
Q8N9M1,WO
Q9Y3Q8,WO
Q92766,WO
Q9NQG1,WO
Q49MG5,WO
Q13029,WO
Q96SI1,WO
P49767,WO
P24385,WO
Q6UY14,WO
Q5TA31,WO
Q7Z2K8,WO
Q8NG27,WO
P51825,WO
Q9NZ56,WO
Q9ULE3,WO
P20929,WO
Q8N111,WO
Q86UU0,WO
O75376,WO
Q02962,WO
P46013,WO
A2AJT9,WO
Q8IXM2,WO
Q6T4P5,WO
Q8IVF2,WO
Q9UPX0,WO
P98172,WO
Q96GV9,WO
Q9BWG6,WO
Q9P1Y6,WO
Q8IXQ5,WO
Q9BX70,WO
Q96T17,WO
Q9H8W3,WO
Q9Y2H5,WO
Q6T4R5,WO
Q5HYW2,WO
Q9NQZ6,WO
Q86WX3,WO
Q8TDR0,WO
Q9H4I2,WO
Q5FWE3,WO
Q9H6R4,WO
P0CJ78,WO
Q9P206,WO
Q8WY36,WO
Q86YP4,WO
Q86V59,WO
Q96NB1,WO
Q9NS84,WO
Q9H6F5,WO
P13747,WO
Q5TGY3,WO
O43439,WO
Q9BTY7,WO
Q9ULV3,WO
Q8N158,WO
Q96C57,WO
Q9H0W5,WO
Q8NFU3,WO
Q70JA7,WO
Q9P266,WO
Q96D15,WO
Q9BRR8,WO
Q96D09,WO
Q969V6,WO
Q12962,WO
Q8IWN7,WO
P57073,WO
O60784,WO
O15090,WO
Q6NYC8,WO
A0A8I5KY20,WO
Q99439,WO
Q96ED9,WO
Q68D10,WO
O75030,WO
A1L4H1,WO
Q9UKI2,WO
Q4G0I0,WO
Q96GA3,WO
Q96RL1,WO
P62508,WO
O60346,WO
Q96CP2,WO
P02748,WO
P54826,WO
Q96IK1,WO
P10451,WO
P26022,WO
P33991,WO
O15213,WO
Q8WXA9,WO
Q9H313,WO
Q17RN3,WO
Q16568,WO
Q8TC05,WO
Q9ULD9,WO
Q8NDT2,WO
Q13191,WO
Q8WY41,WO
Q9UJH8,WO
Q14135,WO
Q3B820,WO
Q15155,WO
P08590,WO
Q14766,WO
Q9BUV0,WO
Q9H160,WO
Q96CB8,WO
O60519,WO
O43516,WO
Q96Q45,WO
Q9NQS1,WO
Q63ZY3,WO
P83110,WO
Q96GS4,WO
Q9UQB3,WO
Q9Y314,WO
Q6P597,WO
O75900,WO
P29084,WO
O15021,WO
Q9C0J9,WO
A8MVW0,WO
Q7Z6J0,WO
Q9H0L4,WO
Q9UPQ9,WO
Q86X29,WO
O76041,WO
Q7Z2D5,WO
Q96QT6,WO
Q5H9R4,WO
Q9H7N4,WO
Q9Y6C2,WO
Q8N3V7,WO
Q9GZR2,WO
Q6ZVF9,WO
Q96CC6,WO
Q5XKK7,WO
Q9H0Q3,WO
O15049,WO
A4D161,WO
Q9HCM3,WO
P05019,WO
P47928,WO
Q8NFH8,WO
Q9UIW2,WO
Q9Y5V3,WO
Q8IZD4,WO
Q9P0W2,WO
P12036,WO
Q6ZWJ1,WO
O14645,WO
Q52LW3,WO
Q9C0B5,WO
O14828,WO
Q96FT9,WO
Q9BYI3,WO
Q92824,WO
P40121,WO
Q9H8Y5,WO
P05543,WO
O00292,WO
Q96BK5,WO
O43294,WO
Q9NRA8,WO
Q12983,WO
Q9H019,WO
Q6NXT1,WO
Q16594,WO
Q96PE1,WO
Q96N06,WO
Q5TAP6,WO
Q8TF05,WO
O43665,WO
Q6IQ19,WO
Q9UM82,WO
Q8NFH5,WO
Q14686,WO
P35711,WO
P05362,WO
O43166,WO
Q00587,WO
Q96DF8,WO
Q7Z434,WO
Q9NZ63,WO
Q9BZR6,WO
Q86Y79,WO
O15541,WO
O95613,WO
Q9NXR1,WO
Q9HCK4,WO
Q9UQN3,WO
Q9GZM8,WO
P16104,WO
Q6P1L5,WO
Q15113,WO
Q8N5C8,WO
Q7L985,WO
Q9NSI2,WO
Q9H467,WO
Q15025,WO
Q8NEY1,WO
Q504Y2,WO
Q96MX3,WO
Q9BRU9,WO
Q02410,WO
P78524,WO
Q96S90,WO
Q96J84,WO
Q8N4T0,WO
Q9Y597,WO
Q5SYE7,WO
Q8IWD4,WO
Q9Y4X4,WO
Q9BYG5,WO
Q6F5E8,WO
P49746,WO
Q8N5W9,WO
P42568,WO
O15417,WO
Q9NW75,WO
Q9UFG5,WO
Q969G2,WO
P14316,WO
Q9P1F3,WO
O43291,WO
Q9NZU0,WO
Q9H792,WO
Q9ULF5,WO
Q9UM47,WO
Q9UGU0,WO
Q6IQ49,WO
Q96E09,WO
Q96GW7,WO
P0DP58,WO
Q9BWC9,WO
Q9BSG5,WO
Q9UKX3,WO
O00634,WO
Q9H772,WO
Q01538,WO
O15164,WO
P46937,WO
Q9P2V4,WO
P22692,WO
Q8IVA1,WO
Q9C086,WO
Q9NVN8,WO
Q92859,WO
Q8N5P1,WO
O75907,WO
Q15653,WO
Q13444,WO
Q96SM3,WO
Q5JTD0,WO
Q9HBM6,WO
Q9BY76,WO
Q86UK7,WO
Q5VV41,WO
P51397,WO
P16383,WO
Q9UPU7,WO
Q00613,WO
Q7Z7C8,WO
Q76M96,WO
Q5JVS0,WO
P35712,WO
Q9ULH7,WO
Q9BRK0,WO
Q92844,WO
Q9HCU8,WO
P34741,WO
Q9UPX6,WO
Q8WYQ5,WO
O43310,WO
P20774,WO
Q9Y240,WO
Q96K80,WO
Q9Y4P9,WO
Q8NE31,WO
Q9NWM8,WO
P00488,WO
O43897,WO
Q9Y6N7,WO
Q8TAP9,WO
Q7Z3H4,WO
Q9HC78,WO
Q8WUH6,WO
O60238,WO
O60583,WO
Q9Y5U2,WO
Q8N5S9,WO
Q9UNA4,WO
Q9HCK1,WO
P55107,WO
O15231,WO
Q9Y3T6,WO
Q6P0Q8,WO
O75112,WO
Q96PX6,WO
Q9Y5F9,WO
Q8TCZ2,WO
Q9ULZ3,WO
Q9UHB7,WO
O76081,WO
P58340,WO
Q8IZK6,WO
Q96A73,WO
Q6PII3,WO
P07585,WO
Q2TAA8,WO
Q96KF7,WO
Q9NVW2,WO
P47972,WO
O00512,WO
Q8N137,WO
Q9NYL4,WO
P32519,WO
B3KNS4,WO
Q9H7U1,WO
Q86X95,WO
Q5JXC2,WO
P78317,WO
Q53LP3,WO
Q04756,WO
Q9BQS7,WO
Q8NBR6,WO
Q99963,WO
O60303,WO
Q6NTE8,WO
Q96B23,WO
Q15361,WO
P17098,WO
Q08495,WO
Q8NEF9,WO
Q9UIM3,WO
O60245,WO
P49747,WO
P02686,WO
Q6ZUS6,WO
Q5T3J3,WO
Q9H7E2,WO
P35443,WO
Q9NZM5,WO
P0DMQ5,WO
Q8N6I1,WO
O94842,WO
Q96MH2,WO
P23610,WO
P08473,WO
Q15544,WO
O60356,WO
Q13207,WO
Q13127,WO
Q96B36,WO
