"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"RDH11","RDH11","Q8TC12","RDH",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.06,0.107,0.0987,0.000449229342322993,1.17,0.9853855620362,-0.00864,0.000422432242066785,1.16
"RDH14","RDH14","Q9HBH5","RDH",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.87,0.359,0.631,0.00388425846294197,1.23,0.613552742027476,0.272,0.00122049318340368,1.5
