"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"ZDHHC13","ZDHHC13","Q8IUH4","stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-6.41,2.19,1.76,1.71,1.75,-6.02,3.27294107439187e-07,8.6,0.782202165904903,-0.429,5.37370241125347e-07,8.17
"MOCS3","MOCS3","O95396","stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-7.3,0.921,0.728,0.903,0.991,0.874,9.09476141590098e-18,8.22,0.511815236592566,-0.193,1.46367719429068e-17,8.03
"PAN2","PAN2","Q504Q3","stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-5.21,0.538,0.847,0.498,0.72,0.498,2.3630783121612e-13,5.75,0.383017377823396,0.309,1.26887155791327e-13,6.06
"ZDHHC18","ZDHHC18","Q9NUE0","stress",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-5.06,1.32,1.17,0.45,0.403,-0.0157,2.3630783121612e-13,6.38,0.723495953976931,-0.152,2.60514030772371e-13,6.23
"ALG11","ALG11","Q2TAA5","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.97,0.18,0.878,0.627,0.2,-0.0604,0.00477816305947685,2.15,0.447051790165718,0.698,0.000808135384314481,2.85
"DPAGT1","DPAGT1","Q9H3H5","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.75,0.139,1.62,0.216,0.388,0.0472,0.0348680644871675,2.89,0.400289174068403,1.48,0.00451588915821318,4.37
"ALG2","ALG2","Q9H553","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.34,-0.645,-0.616,0.581,0.687,0.481,0.00255638858956542,1.69,0.971418471619009,0.0293,0.00294368878541215,1.72
"ALG9","ALG9","Q9H6U8","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.45,0.0321,-0.17,0.585,0.481,0.27,3.20290001493012e-07,2.48,0.631745204468492,-0.202,8.48868765307182e-07,2.28
"ALG8","ALG8","Q9BVK2","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.83,0.161,-0.386,0.74,0.931,0.373,0.000106003699741155,2.99,0.465912087328001,-0.546,0.00051777529285162,2.45
"ALG1","ALG1","Q9BT22","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.99,-0.0876,0.0938,0.803,0.756,0.0921,5.58832834749735e-07,2.9,0.732443408330963,0.181,1.93198749076844e-07,3.08
"ALG3","ALG3","Q92685","Nglycan synthesis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.64,0.0472,0.125,0.777,0.774,0.186,0.000749972675490173,2.69,0.941963579880219,0.0774,0.000618286377920377,2.77
