"Gene","DisplayGene","Pathway","name","ID","SigIn","100 vs Veh significant","200 vs 100 significant","200 vs Veh significant","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"DPAGT1","DPAGT1","N-glycan","DPAGT1","Q9H3H5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.75,0.139,1.62,0.0348680644871675,2.89,0.400289174068403,1.48,0.00451588915821318,4.37
"ALG11","ALG11","N-glycan","ALG11","Q2TAA5","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.97,0.18,0.878,0.00477816305947685,2.15,0.447051790165718,0.698,0.000808135384314481,2.85
"DPM1","DPM1","N-glycan","DPM1","O60762","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.871,0.036,0.515,0.00152702000430431,0.907,0.134330991477524,0.479,3.95600027948128e-05,1.39
"STT3B","STT3B","N-glycan","STT3B","Q8TCJ2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.748,0.112,0.297,0.00800491064361867,0.86,0.670484736465951,0.185,0.00303658638005033,1.04
"ALG5","ALG5","N-glycan","ALG5","Q9Y673","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.19,0.266,-0.0944,0.00794504572509732,1.46,0.614893312060954,-0.36,0.0459910384478634,1.09
"STT3A","STT3A","N-glycan","STT3A","P46977","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.14,-0.145,0.341,0.00113422439843118,0.992,0.14450477169844,0.485,3.10146310286469e-05,1.48
"RPN1","RPN1","N-glycan","RPN1","P04843","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.01,-0.158,0.0981,0.00398553640594122,0.85,0.470863523803623,0.256,0.000746714577106405,1.11
"RPN2","RPN2","N-glycan","RPN2","P04844","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-0.99,-0.0558,-0.0329,0.00624455602429172,0.934,0.965742198477802,0.0228,0.00717974319239091,0.957
"UGGT1","UGGT1","N-glycan","UGGT1","Q9NYU2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-1.08,-0.144,-0.0798,0.0030060425499074,0.934,0.886774640162501,0.0643,0.00246833029567758,0.998
"ALG1","ALG1","N-glycan","ALG1","Q9BT22","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.99,-0.0876,0.0938,5.58832834749735e-07,2.9,0.732443408330963,0.181,1.93198749076844e-07,3.08
"ALG8","ALG8","N-glycan","ALG8","Q9BVK2","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.83,0.161,-0.386,0.000106003699741155,2.99,0.465912087328001,-0.546,0.00051777529285162,2.45
"ALG3","ALG3","N-glycan","ALG3","Q92685","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.64,0.0472,0.125,0.000749972675490173,2.69,0.941963579880219,0.0774,0.000618286377920377,2.77
"ALG9","ALG9","N-glycan","ALG9","Q9H6U8","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.45,0.0321,-0.17,3.20290001493012e-07,2.48,0.631745204468492,-0.202,8.48868765307182e-07,2.28
"ALG2","ALG2","N-glycan","ALG2","Q9H553","100 vs Veh; 200 vs Veh",TRUE,FALSE,TRUE,-2.34,-0.645,-0.616,0.00255638858956542,1.69,0.971418471619009,0.0293,0.00294368878541215,1.72
