"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"SLC39A1","SLC39A1","Q9NY26","MetalIon_SLCtransporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.522,0.604,3.03,0.345870812623792,1.13,0.120180863547044,2.43,0.00824753989154108,3.56
"SLC39A7","SLC39A7","Q92504","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.31,2.47,3.26,0.00602866010725285,3.78,0.666170945592939,0.785,0.0022691165485848,4.56
"SLC31A1","SLC31A1","O15431","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.122,3.29,3.82,0.00296650179295229,3.42,0.723683901987691,0.528,0.00135196354925361,3.94
"SLC30A5","SLC30A5","Q8TAD4","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.35,-0.189,0.33,0.000292373351587569,2.16,0.383994076789074,0.519,2.51483195826819e-05,2.68
"SLC9A6","SLC9A6","Q92581","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.93,0.0959,0.563,0.00153900764316744,3.02,0.691949720404469,0.467,0.000608220316606126,3.49
"SLC39A10","SLC39A10","Q9ULF5","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs 100uM; 200uM vs Veh",TRUE,TRUE,TRUE,-0.729,-1.87,0.331,0.0133986976737836,-1.14,0.00121423569738951,2.2,0.0257882454818335,1.06
"SLC39A14","SLC39A14","Q15043","MetalIon_SLCtransporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.754,0.141,0.325,0.00183662767567706,0.895,0.595830247844764,0.184,0.000530609029940222,1.08
"SLC9A1","SLC9A1","P19634","MetalIon_SLCtransporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.436,0.0609,0.506,0.141191845275052,0.497,0.309856043293674,0.446,0.0123647559729566,0.942
"AGPAT5","AGPAT5","Q9NUQ2","Synthesis_PA",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-3.15,-0.833,1.45,0.188088112671954,2.32,0.322059351183813,2.28,0.0185090718463193,4.6
"GPAT4","GPAT4","Q86UL3","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.08,0.351,0.57,3.90594483632869e-07,3.43,0.718950190709745,0.22,1.34958490597696e-07,3.65
"MIGA1","MIGA1","Q8NAN2","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.65,-0.00672,0.72,0.00100628352733349,2.64,0.410799030964097,0.726,0.000135734521926877,3.37
"AGPAT4","AGPAT4","Q9NRZ5","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.32,-0.281,-0.528,7.11421817902979e-06,3.04,0.707461649431285,-0.247,1.61714537662463e-05,2.79
"DDHD1","DDHD1","Q8NEL9","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.77,-0.422,0.181,2.03233239076141e-05,3.35,0.399667403639937,0.603,1.83141549127787e-06,3.95
"PLA2G4A","PLA2G4A","P47712","Synthesis_PA",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.0172,0.179,0.651,0.422747370985977,0.197,0.137984633710323,0.472,0.0136784115117373,0.668
"LPCAT1","LPCAT1","Q8NF37","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.07,-0.223,0.011,0.00234125344547881,0.845,0.470922115462116,0.234,0.000446968890304536,1.08
"GNPAT","GNPAT","O15228","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.795,-0.202,0.287,0.0083866112785737,0.593,0.0816252092374919,0.489,0.000106253558916941,1.08
"GPD2","GPD2","P43304","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.781,-0.0662,0.289,0.0086908489169829,0.715,0.280717241319718,0.355,0.000667636613301762,1.07
"AGPAT3","AGPAT3","Q9NRZ7","Synthesis_PA",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.03,-0.144,0.323,0.000645023562394217,1.88,0.425820381641205,0.467,8.22900045773118e-05,2.35
"LPCAT4","LPCAT4","Q643R3","Synthesis_PA",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-1.71,-0.721,-0.213,0.0761139551518767,0.991,0.49568171715505,0.508,0.0147860215903587,1.5
"MICU2","MICU2","Q8IYU8","SMDT1",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-4.02,0.274,0.793,0.000720221107775655,4.29,0.731194093052462,0.519,0.000273206467130402,4.81
"PHB2","PHB2","Q99623","SMDT1",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.21,0.0658,0.691,0.00425865813314409,1.27,0.227843023169894,0.626,0.000254388649344534,1.9
"YME1L1","YME1L1","Q96TA2","SMDT1",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.91,0.295,0.773,0.000845880562988703,1.2,0.211169521293709,0.479,3.84691402960054e-05,1.68
