"Gene","Pathway","100uM vs Veh","200uM vs 100uM","200uM vs Veh","Acute
RDH12 Veh","Acute
RDH12 100uM","Acute
RDH12 200uM","Recovery
WT Veh","Recovery
WT 100uM","Recovery
WT 200uM","Recovery
RDH12 Veh","Recovery
RDH12 100uM","Recovery
RDH12 200uM"
"CHKA","Lipid synthesis","Yes","No","Yes",-2.86,0.624,2.51,1.23,0.0182,-2.72,-3.43,2.15,2.48
"AGPAT5","Lipid synthesis","No","No","Yes",-3.15,-0.833,1.45,-2.63,-2.75,1.2,2.74,1.42,2.54
"PLA2G4A","Lipid synthesis","No","No","Yes",-0.0172,0.179,0.651,-0.575,-0.0611,0.558,-0.335,-0.042,-0.358
"LPCAT1","Lipid synthesis","Yes","No","Yes",-1.07,-0.223,0.011,-0.184,0.125,0.659,0.34,0.348,-0.00725
"GNPAT","Lipid synthesis","Yes","Yes","Yes",-0.795,-0.202,0.287,-0.27,-0.137,0.48,0.377,0.254,0.00737
"GPD2","Lipid synthesis","Yes","No","Yes",-0.781,-0.0662,0.289,-0.195,-0.0221,0.593,0.17,0.0769,-0.0634
"LPCAT4","Lipid synthesis","Yes","No","Yes",-1.71,-0.721,-0.213,0.137,0.357,0.688,0.645,0.582,0.237
"AGPAT3","Lipid synthesis","Yes","No","Yes",-2.03,-0.144,0.323,-0.0394,0.143,0.775,0.478,0.363,0.127
"PTDSS1","Lipid synthesis","Yes","No","Yes",-1.79,-0.194,-0.000221,-0.254,0.11,0.794,0.688,0.477,0.173
"DDHD1","Lipid synthesis","Yes","No","Yes",-3.77,-0.422,0.181,0.553,0.689,0.889,0.426,0.572,0.882
"AGPAT4","Lipid synthesis","Yes","No","Yes",-3.32,-0.281,-0.528,0.359,0.607,1.3,0.863,0.719,0.282
"ETNK1","Lipid synthesis","Yes","No","Yes",-2.58,0.0797,1.32,0.996,0.799,-0.445,-0.00836,0.165,-0.319
"DGKE","Lipid synthesis","Yes","No","Yes",-2.92,0.485,1.39,-0.139,0.177,0.637,0.231,0.0345,0.105
"MIGA1","Lipid synthesis","Yes","No","Yes",-2.65,-0.00672,0.72,0.506,0.131,0.295,0.387,0.382,0.234
"GPAT4","Lipid synthesis","Yes","No","Yes",-3.08,0.351,0.57,0.0819,-0.226,1.02,0.522,0.472,0.296
"UROS","Heme-related proteins","Yes","No","Yes",-2.24,0.443,0.87,0.732,1.02,0.558,0.812,0.745,-2.94
"SLC11A2","Heme-related proteins","Yes","No","Yes",-0.607,0.631,0.962,-0.438,-0.304,0.526,0.0565,0.157,-0.982
"ABCB10","Heme-related proteins","Yes","Yes","Yes",-1.07,-0.37,0.534,-0.603,0.025,0.98,0.477,0.15,-0.12
"IBA57","Heme-related proteins","Yes","No","Yes",-0.599,-0.0284,0.337,-0.281,-0.0372,0.662,0.246,0.0981,-0.398
"TUBA4A","CCT/TRiC","Yes","No","Yes",-6.41,4.7,2.94,2.13,0.347,2.09,0.574,-8.66,2.29
"TUBAL3","CCT/TRiC","Yes","Yes","No",-0.147,0.551,-0.257,0.0885,0.258,-0.285,-0.256,0.125,-0.0767
"TUBB6","CCT/TRiC","Yes","No","No",-0.46,0.468,-0.09,-0.0285,-0.0275,-0.243,0.0302,0.142,0.209
"TCP1","CCT/TRiC","Yes","No","No",-0.99,0.339,-0.444,0.344,0.469,0.0382,0.0293,0.186,0.0283
"TUBB4B","CCT/TRiC","Yes","No","No",-0.703,0.235,-0.454,0.206,0.171,-0.0714,0.0492,0.285,0.283
"TUBB4A","CCT/TRiC","Yes","No","No",-0.672,0.266,-0.46,0.0957,0.0144,0.0149,0.152,0.272,0.317
"TUBA1C","CCT/TRiC","Yes","No","No",-0.587,0.221,-0.16,0.195,0.239,-0.178,0.0478,0.115,0.107
"TUBB2A","CCT/TRiC","Yes","No","No",-0.589,0.18,-0.205,0.205,0.279,-0.217,-0.0145,0.098,0.265
"CCT7","CCT/TRiC","Yes","Yes","No",-0.634,0.461,-0.296,0.208,0.287,-0.0677,-0.0696,0.0888,0.0225
"CCT6A","CCT/TRiC","Yes","Yes","No",-0.645,0.378,-0.392,0.206,0.313,0.0372,-0.0518,0.0513,0.103
"CCT8","CCT/TRiC","Yes","Yes","No",-0.383,0.403,-0.387,0.214,0.308,-0.174,-0.0316,0.0696,-0.018
"CCT4","CCT/TRiC","Yes","Yes","No",-0.442,0.426,-0.317,0.189,0.24,-0.138,0.038,0.0203,-0.0164
"CCT5","CCT/TRiC","Yes","Yes","No",-0.345,0.399,-0.359,0.17,0.279,-0.102,-0.136,0.036,0.0581
"CCT2","CCT/TRiC","Yes","Yes","No",-0.418,0.344,-0.447,0.225,0.33,-0.0841,-0.0614,0.0365,0.0741
"CCT3","CCT/TRiC","Yes","Yes","No",-0.435,0.408,-0.409,0.195,0.234,-0.114,-0.0112,0.0535,0.079
"FN1","ERK/MAPK","Yes","No","No",2.84,1.72,2.46,0.275,-4.78,0.395,0.79,0.863,-4.56
"ATF3","ERK/MAPK","Yes","No","Yes",1.82,0.0373,-0.203,-0.426,0.424,0.549,-0.596,-0.776,-0.832
"WNT5A","ERK/MAPK","Yes","No","Yes",-2.28,1.46,2.32,0.366,0.25,0.364,0.43,0.533,-3.45
"ERBB2","ERK/MAPK","Yes","No","Yes",-2.37,0.25,1.23,0.444,0.269,0.896,0.648,0.588,-1.95
