"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"GSS","GSS","P48637","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.43,-0.177,0.571,-0.114,-0.323,-0.179,0.000560029553168276,-2.6,0.337457321520728,0.748,0.00654480625774847,-1.85
"COX5B","COX5B","P10606","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.54,-0.587,0.761,0.55,-0.00858,0.448,0.00519775060244473,-2.13,0.136487322405637,1.35,0.29150750299133,-0.779
"COX6B1","COX6B1","P14854","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,1.98,0.0772,0.529,0.645,0.0736,0.402,0.0277131728919594,-1.9,0.709516533091014,0.452,0.102782986706002,-1.45
"GPX4","GPX4","P36969","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.42,-0.466,-0.262,-0.22,-0.258,-0.265,3.90594483632869e-07,-2.89,0.688239300284822,0.204,9.00290358725078e-07,-2.68
"GPX1","GPX1","P07203","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.9,-0.667,0.216,0.32,0.0463,0.194,5.14994309515241e-05,-2.57,0.133689827914488,0.884,0.00176628532966567,-1.68
"PRDX3","PRDX3","P30048","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM; 200uM vs Veh",TRUE,TRUE,TRUE,1.54,-0.675,0.2,0.182,0.103,-0.293,5.61248594865939e-06,-2.21,0.0517212386591794,0.875,0.00080796395068285,-1.34
"CYP20A1","CYP20A1","Q6UW02","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.22,-0.0375,-0.0843,0.311,0.191,0.0644,0.000642544547332827,1.18,0.918017741813164,-0.0468,0.000864228477392602,1.14
"MT-CO2","MT-CO2","P00403","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.13,-0.0821,-0.0562,0.543,0.632,0.0942,0.00602896255775801,1.05,0.965325715548059,0.0259,0.00693104569543642,1.08
"STAT3","STAT3","P40763","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.799,0.266,0.0072,-0.108,0.0341,0.0403,0.00330717931571145,1.06,0.562021683527396,-0.259,0.0230637903470818,0.806
"TGS1","TGS1","Q96RS0","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.879,-0.0785,0.156,-0.00963,0.0731,0.147,0.0336062258566054,0.801,0.655497860280025,0.235,0.0115320640955501,1.04
"CYP51A1","CYP51A1","Q16850","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.772,0.0616,-0.291,-0.0938,0.416,0.226,0.00393497942458854,0.833,0.298862414871361,-0.352,0.0836878782738321,0.481
"HM13","HM13","Q8TCT9","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.675,0.0114,-0.296,0.309,0.353,0.0744,0.029261465320116,0.687,0.447481076516352,-0.308,0.242850911279234,0.379
"COX15","COX15","Q7KZN9","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.396,-0.0302,0.386,0.121,0.153,-0.111,0.0836231339385302,0.366,0.129904986668102,0.417,0.00181923001684212,0.783
"HIGD1A","HIGD1A","Q9Y241","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.359,0.241,0.26,0.402,0.0858,0.415,0.0332269500510148,0.601,0.967346101688418,0.0192,0.037198867252287,0.62
"MGST2","MGST2","Q99735","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.268,0.822,0.483,-0.252,0.0686,-0.278,0.00220063161894299,1.09,0.409942437255744,-0.339,0.0270242427861854,0.751
"UBE2Q1","UBE2Q1","Q7Z7E8","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.446,0.281,0.149,-0.192,-0.104,0.0367,0.00430012696642325,0.727,0.690021194371168,-0.133,0.0192236763405962,0.594
"KEAP1","KEAP1","Q14145","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.406,0.453,0.299,-0.0296,0.00496,-0.159,0.0216110032038085,0.86,0.774255128579571,-0.155,0.0669266723740145,0.705
"MGST3","MGST3","O14880","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.483,0.617,0.417,-0.0875,0.0131,-0.111,0.00136516221262922,1.1,0.628733858724413,-0.2,0.00673384792255321,0.9
"GCLC","GCLC","P48506","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.0206,0.681,-0.208,-0.264,-0.202,-0.14,0.00855173002891774,0.702,0.0175782400020074,-0.889,0.486584821938245,-0.187
"CARM1","CARM1","Q86X55","KEAP1Nrf2",TRUE,"200uM vs 100uM; 200uM vs Veh",FALSE,TRUE,TRUE,-0.0719,0.201,-0.6,0.0996,0.0597,0.0192,0.366269683293538,0.273,0.0544148602477053,-0.801,0.0991795171068781,-0.528
"ATG7","ATG7","O95352","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.133,0.437,-0.214,-0.0451,0.103,0.0617,0.00360954547747705,0.57,0.0147178049254798,-0.651,0.682326072523615,-0.081
"BLVRA","BLVRA","P53004","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.334,0.244,-0.334,-0.167,-0.0543,0.0627,0.0370480867738026,0.579,0.107114780814966,-0.578,0.999330667827227,0.000302
"HMOX1","HMOX1","P09601","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.363,1.09,0.222,-0.425,-0.236,0.725,0.00262758110427241,0.724,0.00850532910352988,-0.865,0.543497334110579,-0.141
"TAX1BP1","TAX1BP1","Q86VP1","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.517,1.51,0.528,-0.165,-0.331,-0.127,0.0049298769667604,0.994,0.0321976737960711,-0.984,0.980255673318882,0.0104
"COX6C","COX6C","P09669","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.754,-0.341,0.939,-0.0389,-0.414,0.0789,0.00154110403220651,-1.1,0.00536294221727291,1.28,0.570200303323297,0.185
"ACOX1","ACOX1","Q15067","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.895,-0.239,0.873,0.0437,0.0272,-0.196,0.00219881784580296,-1.13,0.0201605841780198,1.11,0.958552841590703,-0.0223
"SOD2","SOD2","P04179","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.07,-0.359,0.567,0.286,-0.0651,0.0414,0.000638575506547617,-1.43,0.0476323456781452,0.926,0.158741355070459,-0.5
"COX14","COX14","Q96I36","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.814,0.37,0.218,-0.197,-0.105,-0.15,0.104512086732923,-0.444,0.700195984464196,-0.152,0.0431736555680854,-0.597
"BLVRB","BLVRB","P30043","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.962,0.154,0.0961,-0.204,-0.288,0.0473,0.000993763481832073,-0.808,0.855527205198204,-0.0584,0.000626516556072701,-0.866
"CHAC2","CHAC2","Q8WUX2","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.8,0.407,0.118,-0.35,-0.304,-0.0569,0.0232116975780264,-0.394,0.182089611022731,-0.289,0.000859552178174908,-0.683
"GSTO1","GSTO1","P78417","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.71,0.225,0.061,-0.402,-0.373,-0.0549,0.00678739998513212,-0.484,0.45306830143225,-0.165,0.0011720511383968,-0.649
"ATG3","ATG3","Q9NT62","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.583,0.225,-0.0468,-0.2,0.0255,0.0632,0.101787525417102,-0.359,0.342108916679377,-0.271,0.010119942362667,-0.63
"PRDX2","PRDX2","P32119","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.697,0.315,-0.166,-0.155,-0.26,-0.275,0.0337155968554293,-0.383,0.0490480436814939,-0.48,0.000172510311053657,-0.863
"TAX1BP3","TAX1BP3","O14907","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.27,-0.027,0.215,-0.218,-0.317,0.0802,0.000286856957040223,-1.29,0.507391235213103,0.242,0.00129897799287939,-1.05
"NEDD4L","NEDD4L","Q96PU5","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.22,-0.148,0.323,-0.0396,-0.254,0.00299,0.000653481510922815,-1.36,0.255261976449061,0.471,0.0126604039932525,-0.893
"PRDX5","PRDX5","P30044","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.16,-0.207,0.167,-0.05,-0.155,-0.013,0.000100122249016675,-1.36,0.25500673867582,0.374,0.00128799849102398,-0.991
"AKR1A1","AKR1A1","P14550","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.25,0.226,0.0275,-0.315,-0.235,-0.233,0.00129249576097629,-1.03,0.599349584443763,-0.198,0.000355511490365184,-1.23
"CCS","CCS","O14618","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.4,0.263,0.464,-0.125,-0.0161,-0.0306,0.00341623568151184,-1.14,0.690359743159543,0.2,0.0149854406403492,-0.94
"SMARCD3","SMARCD3","Q6STE5","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.217,-0.282,-0.192,-0.0274,-0.111,0.0118,0.00887289676946619,-0.499,0.729867313612238,0.0901,0.0341219152609363,-0.409
"ABCC1","ABCC1","P33527","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.3,-0.24,0.119,0.0493,0.189,-0.242,0.0218774965221142,-0.54,0.21838807719282,0.359,0.458742198386932,-0.181
"CYP2S1","CYP2S1","Q96SQ9","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.393,-0.369,0.0453,-0.0354,0.075,0.014,0.011034176285993,-0.762,0.253458398456129,0.414,0.245666763702798,-0.348
"CHD9","CHD9","Q3L8U1","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.389,-0.851,0.155,0.256,0.143,0.137,0.000611529236828223,-1.24,0.0193218045228638,1.01,0.454791993054068,-0.234
"GSTCD","GSTCD","Q8NEC7","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.693,-0.633,-0.276,-0.0859,0.125,-0.00755,0.000860946321250448,-1.33,0.409224320720072,0.357,0.00864505563922239,-0.969
"TXN2","TXN2","Q99757","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.588,-0.411,0.493,0.346,0.294,-0.601,0.0146675660002897,-1,0.0824814129257211,0.904,0.836538087406087,-0.0955
"COX20","COX20","Q5RI15","KEAP1Nrf2",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.132,-0.0368,0.482,-0.00449,0.0164,-0.0209,0.340727469389904,-0.169,0.0385886459781129,0.518,0.065030685155869,0.35
"HMOX2","HMOX2","P30519","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.664,-0.0231,0.476,0.0307,0.042,-0.111,0.00871873917768177,-0.687,0.118446699436039,0.5,0.477850793401821,-0.188
"BACH1","BACH1","O14867","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.357,-0.0332,-0.652,-0.162,0.154,0.255,0.385868692221946,-0.39,0.288019045532803,-0.618,0.0379166852143614,-1.01
"CREBBP","CREBBP","Q92793","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.542,-0.143,-0.261,0.261,-0.279,0.198,0.020425816417491,-0.685,0.781685635777804,-0.118,0.011162980555653,-0.803
"PRDX6","PRDX6","P30041","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.637,0.129,-0.311,-0.0235,-0.139,0.378,0.0132375903591355,-0.508,0.0880144441894765,-0.441,0.000180629831886597,-0.948
"COX7A2","COX7A2","P14406","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.675,-0.52,-0.315,0.487,0.625,0.148,0.00207862272753688,-1.2,0.673154611949096,0.205,0.00920401521689486,-0.99
"ACY1","ACY1","Q03154","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.661,0.202,-0.121,0.155,0.345,0.214,0.272744372543336,-0.459,0.577268671906644,-0.323,0.080685713404717,-0.783
"COX16","COX16","Q9P0S2","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.561,-0.0573,-0.0562,0.41,0.372,0.707,0.054138856302357,-0.619,0.998482389112939,0.00112,0.0687131381374423,-0.617
"ATP7A","ATP7A","Q04656","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.84,0.794,0.297,0.427,0.193,0.0711,2.42305833094899e-06,3.64,0.456667095586183,-0.497,1.29669073397116e-05,3.14
"TBL1X","TBL1X","O60907","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.41,-0.177,-0.111,0.311,0.331,0.292,2.14289554099825e-06,2.24,0.894248590888473,0.0663,1.09967511796242e-06,2.3
"MAFK","MAFK","O60675","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.27,-2.46,0.953,0.861,0.728,0.251,3.72210024185452e-05,-3.72,0.000630118663150895,3.41,0.661148420696737,-0.312
"BACH2","BACH2","Q9BYV9","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.471,-2.2,-2.26,0.846,0.583,0.813,0.00126784928129449,-2.67,0.957711422700239,-0.0609,0.00124587701493904,-2.73
"HPCAL1","HPCAL1","P37235","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.0227,-1.4,-1.37,1.42,0.752,1.27,0.0253246579431296,-1.42,0.976472214172657,0.0297,0.0365795609314476,-1.39
"NCOA6","NCOA6","Q14686","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.197,-1.27,-1.09,0.929,0.601,0.881,0.00281417321721711,-1.46,0.785462871189887,0.178,0.00856421388943711,-1.28
"ATOX1","ATOX1","O00244","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.32,-0.169,-0.602,0.882,0.289,0.357,0.0221942908782498,-1.49,0.625284406343897,-0.433,0.00689327652994302,-1.93
"COX19","COX19","Q49B96","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.23,-0.64,-0.398,0.846,0.338,0.739,0.0034983290336533,-1.87,0.779400334595336,0.242,0.0111776024064012,-1.63
"YAP1","YAP1","P46937","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.857,-0.65,-0.769,1.01,0.264,1.06,0.0112047790397292,-1.51,0.896032087579931,-0.119,0.00955157271956352,-1.63
"COX17","COX17","Q14061","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.54,-0.897,-0.482,0.222,0.361,0.974,0.05665512001419,-1.44,0.700596823516961,0.414,0.19498140536082,-1.02
"RXRA","RXRA","P19793","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.0932,-0.57,-0.667,0.407,0.0913,0.0636,0.0429003934728961,-0.663,0.846506795560548,-0.0971,0.0297316777741005,-0.76
"NCOR1","NCOR1","O75376","KEAP1Nrf2",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.278,-0.812,-0.685,0.589,0.438,0.699,0.0587451515437669,-0.533,0.759710606207072,0.127,0.169504531349903,-0.406
"NCOR2","NCOR2","Q9Y618","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.127,-0.758,-0.678,0.586,0.354,0.703,0.0173373439551067,-0.632,0.838271911645192,0.0801,0.0437317527262014,-0.551
