"ProteinID","Gene","SampleName","PG.MaxLFQ","Condition","Replicate","Detected"
"A3KN83","SBNO1","GFP2",313273.46875,"GFP","2",TRUE
"A3KN83","SBNO1","GFP3",284040.5,"GFP","3",TRUE
"A3KN83","SBNO1","RDH1",330731.84375,"RDH","1",TRUE
"A3KN83","SBNO1","RDH2",342839.78125,"RDH","2",TRUE
"A3KN83","SBNO1","RDH3",327586.21875,"RDH","3",TRUE
"A4D161","FAM221A","GFP1",35592.30078125,"GFP","1",TRUE
"A4D161","FAM221A","GFP2",32573.361328125,"GFP","2",TRUE
"A4D161","FAM221A","GFP3",34938.84375,"GFP","3",TRUE
"A4D161","FAM221A","RDH1",19779.638671875,"RDH","1",TRUE
"A4D161","FAM221A","RDH2",43844.04296875,"RDH","2",TRUE
"A4D161","FAM221A","RDH3",41784.52734375,"RDH","3",TRUE
"A4D1E9","GTPBP10","GFP1",140321.78125,"GFP","1",TRUE
"A4D1E9","GTPBP10","GFP2",57020.3359375,"GFP","2",TRUE
"A4D1E9","GTPBP10","GFP3",51068.4765625,"GFP","3",TRUE
"A4D1E9","GTPBP10","RDH1",155668.109375,"RDH","1",TRUE
"A4D1E9","GTPBP10","RDH2",38353.37890625,"RDH","2",TRUE
"A4D1E9","GTPBP10","RDH3",45145.84375,"RDH","3",TRUE
"A4D1P6","WDR91","GFP1",52656.7421875,"GFP","1",TRUE
"A4D1P6","WDR91","GFP2",50180.2890625,"GFP","2",TRUE
"A4D1P6","WDR91","GFP3",50245.05859375,"GFP","3",TRUE
"A4D1P6","WDR91","RDH1",66950.578125,"RDH","1",TRUE
"A4D1P6","WDR91","RDH2",54735.6640625,"RDH","2",TRUE
"A4D1P6","WDR91","RDH3",50180.69921875,"RDH","3",TRUE
"A4D1S0","KLRG2","GFP1",35429.59765625,"GFP","1",TRUE
"A4D1S0","KLRG2","GFP2",15185.61328125,"GFP","2",TRUE
"A4D1S0","KLRG2","GFP3",17558.44921875,"GFP","3",TRUE
"A4D1S0","KLRG2","RDH1",28191.634765625,"RDH","1",TRUE
"A4D1S0","KLRG2","RDH2",18241.673828125,"RDH","2",TRUE
"A4D1S0","KLRG2","RDH3",17124.689453125,"RDH","3",TRUE
"A4D1U4","DENND11","GFP1",102734.609375,"GFP","1",TRUE
"A4D1U4","DENND11","GFP2",48176.34765625,"GFP","2",TRUE
"A4D1U4","DENND11","GFP3",66681.734375,"GFP","3",TRUE
"A4D1U4","DENND11","RDH1",100761.859375,"RDH","1",TRUE
"A4D1U4","DENND11","RDH2",53757.5625,"RDH","2",TRUE
"A4D1U4","DENND11","RDH3",60255.0234375,"RDH","3",TRUE
"A4D2B0","MBLAC1","GFP1",56015.9375,"GFP","1",TRUE
"A4D2B0","MBLAC1","GFP2",42229.6015625,"GFP","2",TRUE
"A4D2B0","MBLAC1","GFP3",47302.14453125,"GFP","3",TRUE
"A4D2B0","MBLAC1","RDH3",57097.6171875,"RDH","3",TRUE
"A4D2P6","GRID2IP","GFP1",64379.97265625,"GFP","1",TRUE
"A4D2P6","GRID2IP","GFP2",54984.7265625,"GFP","2",TRUE
"A4D2P6","GRID2IP","GFP3",55132.24609375,"GFP","3",TRUE
"A4D2P6","GRID2IP","RDH1",39691.35546875,"RDH","1",TRUE
"A4D2P6","GRID2IP","RDH2",147555.546875,"RDH","2",TRUE
"A4D2P6","GRID2IP","RDH3",118561.0859375,"RDH","3",TRUE
"A5D8V6","VPS37C","GFP1",67013.4609375,"GFP","1",TRUE
"A5D8V6","VPS37C","GFP2",31675.453125,"GFP","2",TRUE
"A5D8V6","VPS37C","GFP3",40386.1640625,"GFP","3",TRUE
"A5D8V6","VPS37C","RDH1",39169.13671875,"RDH","1",TRUE
"A5D8V6","VPS37C","RDH2",33839.921875,"RDH","2",TRUE
"A5D8V6","VPS37C","RDH3",45348.484375,"RDH","3",TRUE
"A5PLL7","PEDS1","GFP1",27893.623046875,"GFP","1",TRUE
"A5PLL7","PEDS1","GFP2",13422.7890625,"GFP","2",TRUE
"A5PLL7","PEDS1","GFP3",15380.392578125,"GFP","3",TRUE
"A5PLL7","PEDS1","RDH1",40666.42578125,"RDH","1",TRUE
"A5PLL7","PEDS1","RDH2",16587.1484375,"RDH","2",TRUE
"A5PLL7","PEDS1","RDH3",18000.4609375,"RDH","3",TRUE
"A5PLN9","TRAPPC13","GFP1",40424.40625,"GFP","1",TRUE
"A5PLN9","TRAPPC13","GFP2",46708.640625,"GFP","2",TRUE
"A5PLN9","TRAPPC13","GFP3",49090.38671875,"GFP","3",TRUE
"A5PLN9","TRAPPC13","RDH1",50398.55078125,"RDH","1",TRUE
"A5PLN9","TRAPPC13","RDH2",53857.94921875,"RDH","2",TRUE
"A5PLN9","TRAPPC13","RDH3",59038.3359375,"RDH","3",TRUE
"A5YKK6","CNOT1","GFP1",248459.984375,"GFP","1",TRUE
"A5YKK6","CNOT1","GFP2",207574.8125,"GFP","2",TRUE
"A5YKK6","CNOT1","GFP3",229404.578125,"GFP","3",TRUE
"A5YKK6","CNOT1","RDH1",236125.421875,"RDH","1",TRUE
"A5YKK6","CNOT1","RDH2",203258.515625,"RDH","2",TRUE
"A5YKK6","CNOT1","RDH3",196538.21875,"RDH","3",TRUE
"A6H8Y1","BDP1","GFP1",19313.5,"GFP","1",TRUE
"A6H8Y1","BDP1","GFP2",9750.51171875,"GFP","2",TRUE
"A6H8Y1","BDP1","GFP3",6230.47119140625,"GFP","3",TRUE
"A6H8Y1","BDP1","RDH1",18774.296875,"RDH","1",TRUE
"A6H8Y1","BDP1","RDH2",5527.7470703125,"RDH","2",TRUE
"A6H8Y1","BDP1","RDH3",6556.794921875,"RDH","3",TRUE
"A6NDB9","PALM3","GFP1",19667.361328125,"GFP","1",TRUE
"A6NDB9","PALM3","GFP2",14201.53125,"GFP","2",TRUE
"A6NDB9","PALM3","GFP3",16257.4521484375,"GFP","3",TRUE
"A6NDB9","PALM3","RDH1",12864.6142578125,"RDH","1",TRUE
"A6NDB9","PALM3","RDH2",14800.5068359375,"RDH","2",TRUE
"A6NDB9","PALM3","RDH3",21461.4140625,"RDH","3",TRUE
"A6NDG6","PGP","GFP1",133193.015625,"GFP","1",TRUE
"A6NDG6","PGP","GFP2",152727.953125,"GFP","2",TRUE
"A6NDG6","PGP","GFP3",145540.59375,"GFP","3",TRUE
"A6NDG6","PGP","RDH1",108418.3828125,"RDH","1",TRUE
"A6NDG6","PGP","RDH2",163850.203125,"RDH","2",TRUE
"A6NDG6","PGP","RDH3",178843.0625,"RDH","3",TRUE
"A6NDU8","RIMOC1","GFP1",165204.140625,"GFP","1",TRUE
"A6NDU8","RIMOC1","GFP2",173069.40625,"GFP","2",TRUE
"A6NDU8","RIMOC1","GFP3",178483.46875,"GFP","3",TRUE
"A6NDU8","RIMOC1","RDH1",120199.6953125,"RDH","1",TRUE
"A6NDU8","RIMOC1","RDH2",180799.421875,"RDH","2",TRUE
"A6NDU8","RIMOC1","RDH3",196509.578125,"RDH","3",TRUE
"A6NED2","RCCD1","GFP1",112763.265625,"GFP","1",TRUE
"A6NED2","RCCD1","GFP2",90298.8984375,"GFP","2",TRUE
"A6NED2","RCCD1","GFP3",97894.6640625,"GFP","3",TRUE
"A6NED2","RCCD1","RDH1",87621.078125,"RDH","1",TRUE
"A6NED2","RCCD1","RDH2",77497.046875,"RDH","2",TRUE
"A6NED2","RCCD1","RDH3",74652,"RDH","3",TRUE
"A6NFI3","ZNF316","GFP1",15229.5380859375,"GFP","1",TRUE
"A6NFI3","ZNF316","GFP2",11730.078125,"GFP","2",TRUE
"A6NFI3","ZNF316","GFP3",13251.705078125,"GFP","3",TRUE
"A6NFI3","ZNF316","RDH1",15822.0830078125,"RDH","1",TRUE
"A6NFI3","ZNF316","RDH2",8189.77294921875,"RDH","2",TRUE
"A6NFI3","ZNF316","RDH3",10824.24609375,"RDH","3",TRUE
"A6NFY4","NEMP2","GFP1",9952.7578125,"GFP","1",TRUE
"A6NFY4","NEMP2","GFP2",3585.43310546875,"GFP","2",TRUE
