"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"Direct GO Biological Processes","GO:0050821","protein stabilization",175,19,3.551,1.6334,0.708,0.0230939913513068,1.63650100116489,1,0.10340126028359,0.868721724118954,"TCP1,CEP63,DVL3,CCT7,USP27X,SOX4,NCLN,CCT6A,USP9X,COG3,FLOT2,PHB2,TBL1X,MARCHF7,DSC3,RASSF2,MFSD8,PTEN,UFL1","11655,25815,3087,1622,13486,11200,26923,1620,12632,18619,3758,30306,11585,17393,3037,9883,28486,9588,23039","protein stabilization","CCT6A;CCT7;CEP63;COG3;DSC3;DVL3;FLOT2;MARCHF7;MFSD8;NCLN;PHB2;PTEN;RASSF2;SOX4;TBL1X;TCP1;UFL1;USP27X;USP9X",19
NA,"Direct GO Biological Processes","GO:0007507","heart development",131,17,3.178,1.9524,0.965,0.00585013051136735,2.23283444507433,1,0.0667030191585393,0.560402858228434,"GNA11,IFT172,AP1B1,PTEN,ERBB2,TSC2,MEF2A,SYPL2,BMPR1A,SOX4,GLI2,MED12,ACVR2B,MTHFD1,FREM2,CAD,TGFBR1","4379,30391,554,9588,3430,12363,6993,27638,1076,11200,4318,11957,174,7432,25396,1424,11772","heart development","ACVR2B;AP1B1;BMPR1A;CAD;ERBB2;FREM2;GLI2;GNA11;IFT172;MED12;MEF2A;MTHFD1;PTEN;SOX4;SYPL2;TGFBR1;TSC2",17
NA,"Direct GO Biological Processes","GO:0006468","protein phosphorylation",135,16,2.991,1.7831,0.834,0.0168992713064469,1.7721320216829,1,0.0944430579743935,0.793459730854001,"DAPK3,MAPK9,CDK16,ULK1,PRKAG1,STRADA,ERBB2,NEK4,PRKACA,RPS6KA4,MAPK8,CDK11A,NEK3,SYK,PRKACB,RPS6KA5","2676,6886,8749,12558,9385,30172,3430,11399,9380,10433,6881,1730,7746,11491,9381,10434","protein phosphorylation","CDK11A;CDK16;DAPK3;ERBB2;MAPK8;MAPK9;NEK3;NEK4;PRKACA;PRKACB;PRKAG1;RPS6KA4;RPS6KA5;STRADA;SYK;ULK1",16
NA,"Direct GO Biological Processes","GO:0006486","protein glycosylation",88,15,2.804,2.5645,1.359,0.000616018161676689,3.21040648361529,1,0.021096512386188,0.177241540023422,"GALNT10,MAN1A1,ALG8,B4GALT7,ALG2,ENTPD5,ALG1,OGT,ALG9,ALG5,KRTCAP2,GALNT1,GALNT16,ALG3,COG3","19873,6821,23161,930,23159,3367,18294,8127,15672,20266,28942,4123,23233,23056,18619","protein glycosylation","ALG1;ALG2;ALG3;ALG5;ALG8;ALG9;B4GALT7;COG3;ENTPD5;GALNT1;GALNT10;GALNT16;KRTCAP2;MAN1A1;OGT",15
NA,"Direct GO Biological Processes","GO:0000278","mitotic cell cycle",108,13,2.43,1.811,0.857,0.0263456854579865,1.57929049753726,1,0.108686821196314,0.913128161491615,"NCAPD2,NEK3,NEK9,WEE1,CDK11A,TUBGCP2,NEK4,TUBB,PKMYT1,CLTC,TUBGCP6,TUBA4A,SNX33","24305,7746,18591,12761,1730,18599,11399,20778,29650,2092,18127,12407,28468","mitotic cell cycle","CDK11A;CLTC;NCAPD2;NEK3;NEK4;NEK9;PKMYT1;SNX33;TUBA4A;TUBB;TUBGCP2;TUBGCP6;WEE1",13
NA,"Direct GO Biological Processes","GO:0001843","neural tube closure",53,11,2.056,3.1225,1.643,0.000594482277485165,3.2258610879,1,0.0206417457460127,0.173420835530639,"WNT5A,APAF1,IFT172,PRKACB,MED12,MTHFD1,RGMA,TSC2,MTHFD1L,PRKACA,VANGL2","12784,576,30391,9381,11957,7432,30308,12363,21055,9380,15511","neural tube closure","APAF1;IFT172;MED12;MTHFD1;MTHFD1L;PRKACA;PRKACB;RGMA;TSC2;VANGL2;WNT5A",11
NA,"Direct GO Biological Processes","GO:0031669","cellular response to nutrient levels",57,10,1.869,2.6394,1.4,0.00391269364615351,2.40752415490882,1,0.0572031234817765,0.480589848903079,"PRKACB,SESN2,TSC2,RRAGA,PRKAG1,ULK1,PRKACA,WDR59,SYK,OGT","9381,20746,12363,16963,9385,12558,9380,25706,11491,8127","cellular response to nutrient levels","OGT;PRKACA;PRKACB;PRKAG1;RRAGA;SESN2;SYK;TSC2;ULK1;WDR59",10
NA,"Direct GO Biological Processes","GO:0038202","TORC1 signaling",50,9,1.682,2.7081,1.437,0.00510449956517905,2.29204682884339,1,0.0599119667274537,0.503348091581154,"SYK,RPS6KA4,PRKACA,MFSD8,TSC2,RPS6KA5,PRKACB,OGT,RRAGA","11491,10433,9380,28486,12363,10434,9381,8127,16963","torc1 signaling","MFSD8;OGT;PRKACA;PRKACB;RPS6KA4;RPS6KA5;RRAGA;SYK;TSC2",9
NA,"Direct GO Biological Processes","GO:0007186","G protein-coupled receptor signaling pathway",65,9,1.682,2.0831,1.059,0.0270402027347391,1.56799005658216,1,0.111309650239465,0.93516375914474,"RIC8B,GNA11,TAPT1,GNB2,GPRC5C,GNAI3,INPP5K,GNB4,GNB1","25555,4379,26887,4398,13309,4387,33882,20731,4396","g protein coupled receptor signaling pathway","GNA11;GNAI3;GNB1;GNB2;GNB4;GPRC5C;INPP5K;RIC8B;TAPT1",9
NA,"Direct GO Biological Processes","GO:0001649","osteoblast differentiation",80,9,1.682,1.6925,0.759,0.082570857195151,1.08317320682722,1,0.200609468404157,1,"PTEN,BMPR1A,RDH14,GLI2,UFL1,CLTC,IARS1,BCAP29,FASN","9588,1076,19979,4318,23039,2092,5330,24131,3594","osteoblast differentiation","BCAP29;BMPR1A;CLTC;FASN;GLI2;IARS1;PTEN;RDH14;UFL1",9
