"Gene","Process","SigIn","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"TXNRD1","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs Veh",2.36,0.0818,0.636,-0.355,-0.443,-0.0712,0.000511888799949885,-2.28,0.416148004232796,0.554,0.00397554045620578,-1.72
"TXNRD2","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs 100 µM",1.78,-0.42,0.948,0.183,-0.363,-0.364,0.000988461788635406,-2.2,0.0673777291219422,1.37,0.158008318027966,-0.828
"GPX4","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs Veh",2.42,-0.466,-0.262,-0.22,-0.258,-0.265,3.90594483632869e-07,-2.89,0.688239300284822,0.204,9.00290358725078e-07,-2.68
"GPX1","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs Veh",1.9,-0.667,0.216,0.32,0.0463,0.194,5.14994309515241e-05,-2.57,0.133689827914488,0.884,0.00176628532966567,-1.68
"PRDX3","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs 100 µM; 200 µM vs Veh",1.54,-0.675,0.2,0.182,0.103,-0.293,5.61248594865939e-06,-2.21,0.0517212386591794,0.875,0.00080796395068285,-1.34
"PRDX5","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs Veh",1.16,-0.207,0.167,-0.05,-0.155,-0.013,0.000100122249016675,-1.36,0.25500673867582,0.374,0.00128799849102398,-0.991
"PRDX6","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs Veh",0.637,0.129,-0.311,-0.0235,-0.139,0.378,0.0132375903591355,-0.508,0.0880144441894765,-0.441,0.000180629831886597,-0.948
"GPX8","GPX / TXN / PRDX peroxide detoxification","Not significant in acute contrasts",0.466,0.0292,0.275,-0.113,-0.171,0.0385,0.0233924596461594,-0.437,0.306568393946202,0.246,0.336007738092089,-0.19
"PRDX2","GPX / TXN / PRDX peroxide detoxification","200 µM vs Veh",0.697,0.315,-0.166,-0.155,-0.26,-0.275,0.0337155968554293,-0.383,0.0490480436814939,-0.48,0.000172510311053657,-0.863
"GPX3","GPX / TXN / PRDX peroxide detoxification","Not significant in acute contrasts",0.837,0.0498,1.05,-0.128,-0.456,0.0194,0.250058007093959,-0.787,0.2579454465729,0.999,0.793964588922412,0.212
"TXN2","GPX / TXN / PRDX peroxide detoxification","100 µM vs Veh; 200 µM vs 100 µM",0.588,-0.411,0.493,0.346,0.294,-0.601,0.0146675660002897,-1,0.0824814129257211,0.904,0.836538087406087,-0.0955
"MGST1","GST / MGST lipid-electrophile detoxification","Not significant in acute contrasts",4.71,2.5,3.61,-1.83,-2.04,-1.66,0.124123295140767,-2.21,0.574300893934193,1.11,0.479421405402948,-1.1
"GSTA4","GST / MGST lipid-electrophile detoxification","Not significant in acute contrasts",1.65,1.28,0.83,-1.54,-3.21,2.81,0.738378283128503,-0.372,0.782202165904903,-0.445,0.480928211131468,-0.817
"GSTZ1","GST / MGST lipid-electrophile detoxification","100 µM vs Veh; 200 µM vs Veh",2.52,0.155,0.651,-0.543,-0.478,-0.664,0.000494866304764817,-2.36,0.488180129064009,0.496,0.0028236403801866,-1.87
"GSTCD","GST / MGST lipid-electrophile detoxification","100 µM vs Veh; 200 µM vs Veh",0.693,-0.633,-0.276,-0.0859,0.125,-0.00755,0.000860946321250448,-1.33,0.409224320720072,0.357,0.00864505563922239,-0.969
"MGST2","GST / MGST lipid-electrophile detoxification","100 µM vs Veh; 200 µM vs Veh",-0.268,0.822,0.483,-0.252,0.0686,-0.278,0.00220063161894299,1.09,0.409942437255744,-0.339,0.0270242427861854,0.751
"MGST3","GST / MGST lipid-electrophile detoxification","100 µM vs Veh; 200 µM vs Veh",-0.483,0.617,0.417,-0.0875,0.0131,-0.111,0.00136516221262922,1.1,0.628733858724413,-0.2,0.00673384792255321,0.9
"GSTK1","GST / MGST lipid-electrophile detoxification","Not significant in acute contrasts",0.671,0.81,1.06,-0.0787,-0.0272,-0.312,0.508358577261528,0.139,0.369921174849146,0.245,0.0835517349095469,0.384
"GSTO1","GST / MGST lipid-electrophile detoxification","200 µM vs Veh",0.71,0.225,0.061,-0.402,-0.373,-0.0549,0.00678739998513212,-0.484,0.45306830143225,-0.165,0.0011720511383968,-0.649
"GSTM2","GST / MGST lipid-electrophile detoxification","Not significant in acute contrasts",0.539,0.252,0.377,-0.203,-0.159,-0.0717,0.288093826148089,-0.287,0.756030180142495,0.125,0.584609070665938,-0.163
"GSTM3","GST / MGST lipid-electrophile detoxification","Not significant in acute contrasts",0.21,0.394,0.316,-0.2,-0.0286,-0.149,0.334732649312428,0.184,0.787247767794317,-0.0774,0.612683746737293,0.106
"SLC39A14","Iron import / storage / export","100 µM vs Veh; 200 µM vs Veh",-0.754,0.141,0.325,0.147,0.21,-0.157,0.00183662767567706,0.895,0.595830247844764,0.184,0.000530609029940222,1.08
"TFRC","Iron import / storage / export","100 µM vs Veh; 200 µM vs Veh",-0.417,0.923,1.13,-0.326,-0.311,-0.446,0.000516804220053437,1.34,0.624346217265962,0.21,0.000120741300354681,1.55
"SLC11A2","Iron import / storage / export","100 µM vs Veh; 200 µM vs Veh",-0.607,0.631,0.962,0.0565,0.157,-0.982,0.010616277011419,1.24,0.604223712573437,0.331,0.00319161721361857,1.57
"FTL","Iron import / storage / export","100 µM vs Veh; 200 µM vs 100 µM",1.25,-0.59,0.706,-0.804,-0.743,0.391,0.00105695225399895,-1.84,0.0475558921760337,1.3,0.277120375411219,-0.542
"STEAP3","Iron import / storage / export","Not significant in acute contrasts",0.794,0.524,0.546,-0.571,-0.158,-0.369,0.584946151853823,-0.27,0.978507129023077,0.0217,0.646368051004698,-0.248
"FTH1","Iron import / storage / export","100 µM vs Veh",0.497,-0.241,0.213,0.0376,-0.524,0.265,0.0804518117553878,-0.738,0.412925627397829,0.455,0.534836786297529,-0.284
"PCBP1","Iron import / storage / export","Not significant in acute contrasts",0.191,0.0589,-0.167,0.0165,0.0237,-0.16,0.527805524651104,-0.133,0.409001372291654,-0.226,0.103061533643062,-0.359
"PCBP2","Iron import / storage / export","Not significant in acute contrasts",0.22,0.128,-0.0659,0.22,-0.142,-0.292,0.722131418265742,-0.0917,0.57152893576033,-0.194,0.279315156302951,-0.285
"SLC39A7","Heme / metal / copper redox handling","100 µM vs Veh; 200 µM vs Veh",-1.31,2.47,3.26,-2.36,3.22,3.44,0.00602866010725285,3.78,0.666170945592939,0.785,0.0022691165485848,4.56
