"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","34/388","185/3974",0.183783783783784,1.88236277514628,4.04241356154861,0.000164504917182711,0.0447453374736973,0.0431176046089421,"KIF5B/RUFY2/VPS25/VPS37B/ARFGAP3/ARPC3/ASAP1/BIN1/CBL/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/EPN1/EPN2/HGS/HLA-E/KIF5A/RAB11FIP1/RAB11FIP2/RHOA/SH3GL1/SH3GL2/SH3KBP1/SMAP2/TSG101/VPS4A/WASHC2A/WASHC2C/WIPF1/WIPF2/WIPF3",34,"endocytosis",0.0876288659793814,1.88236277514628
"Genetic Information Processing","Translation","hsa03010","Ribosome","30/388","164/3974",0.182926829268293,1.87358561729947,3.75781083326389,0.00043610053697764,0.0448826617234972,0.043249933317147,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7/RPL22L1/RPLP2/RPS17/RPS19/RPS28",30,"ribosome",0.077319587628866,1.87358561729947
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","23/388","114/3974",0.201754385964912,2.06642249954784,3.7997767000643,0.000495029357244454,0.0448826617234972,0.043249933317147,"TNFRSF1A/WASF1/WASF2/ABI1/ABL1/ARPC3/BAIAP2/BAX/BRK1/CTTN/FADD/MAP3K7/MYH9/OCLN/RHOA/RIPK1/ROCK1/TAB2/TAB3/WASF3/WIPF1/WIPF2/WIPF3",23,"pathogenic escherichia coli infection",0.0592783505154639,2.06642249954784
