_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.3,TRR01175,M1,1,0,TRRUST,34,Regulated by: RUNX3,,-4.3,6.9,6.1,30230,34,896,7,0.78,0.29,595|1026|3621|6925|6934|8772|150383,CCND1|CDKN1A|ING1|TCF4|TCF7L2|FADD|CDPF1,-2,0
1,-4,TRR00859,M1,1,0,TRRUST,34,Regulated by: NELFCD,,-4,25,8.5,30230,4,896,3,0.33,0.19,595|1026|150383,CCND1|CDKN1A|CDPF1,-1.8,0
1,-3.9,TRR01225,M1,1,0,TRRUST,34,Regulated by: SIRT1,,-3.9,5.3,5.4,30230,51,896,8,0.89,0.31,595|1026|2104|3046|3297|3383|6464|150383,CCND1|CDKN1A|ESRRG|HBE1|HSF1|ICAM1|SHC1|CDPF1,-1.7,0
1,-3.9,TRR01421,M1,1,0,TRRUST,34,Regulated by: TP63,,-3.9,9.4,6.2,30230,18,896,5,0.56,0.25,1026|6925|6934|8553|150383,CDKN1A|TCF4|TCF7L2|BHLHE40|CDPF1,-1.7,0
1,-3.8,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-3.8,3.7,4.8,30230,99,896,11,1.2,0.37,595|1026|1113|1636|5126|6522|6925|6934|10252|27338|150383,CCND1|CDKN1A|CHGA|ACE|PCSK2|SLC4A2|TCF4|TCF7L2|SPRY1|UBE2S|CDPF1,-1.6,0
1,-3.6,TRR01226,M1,1,0,TRRUST,34,Regulated by: SIRT2,,-3.6,20,7.5,30230,5,896,3,0.33,0.19,1026|4734|150383,CDKN1A|NEDD4|CDPF1,-1.5,0
1,-3.4,TRR01239,M1,1,0,TRRUST,34,Regulated by: SMARCA4,,-3.4,10,5.9,30230,13,896,4,0.45,0.22,595|1026|2122|150383,CCND1|CDKN1A|MECOM|CDPF1,-1.3,0
1,-3.3,TRR00339,M1,1,0,TRRUST,34,Regulated by: FHL2,,-3.3,17,6.8,30230,6,896,3,0.33,0.19,595|1026|150383,CCND1|CDKN1A|CDPF1,-1.3,0
1,-3.3,TRR00871,M1,1,0,TRRUST,34,Regulated by: NFIB,,-3.3,17,6.8,30230,6,896,3,0.33,0.19,1026|4155|150383,CDKN1A|MBP|CDPF1,-1.3,0
1,-3.3,TRR00918,M1,1,0,TRRUST,34,Regulated by: NUPR1,,-3.3,17,6.8,30230,6,896,3,0.33,0.19,1026|150383|339287,CDKN1A|CDPF1|MSL1,-1.3,0
1,-3.3,TRR01434,M1,1,0,TRRUST,34,Regulated by: TSC22D3,,-3.3,17,6.8,30230,6,896,3,0.33,0.19,595|1026|150383,CCND1|CDKN1A|CDPF1,-1.3,0
1,-3.3,TRR01521,M1,1,0,TRRUST,34,Regulated by: VHL,,-3.3,7.3,5.3,30230,23,896,5,0.56,0.25,595|1028|6925|6934|8553,CCND1|CDKN1C|TCF4|TCF7L2|BHLHE40,-1.3,0
1,-3.1,TRR01254,M1,1,0,TRRUST,34,Regulated by: SOX6,,-3.1,14,6.2,30230,7,896,3,0.33,0.19,595|1026|150383,CCND1|CDKN1A|CDPF1,-1.2,0
1,-2.8,TRR00601,M1,1,0,TRRUST,34,Regulated by: ING4,,-2.8,7.5,4.8,30230,18,896,4,0.45,0.22,595|1026|6696|150383,CCND1|CDKN1A|SPP1|CDPF1,-0.96,0
1,-2.6,TRR00069,M1,1,0,TRRUST,34,Regulated by: BCL6,,-2.6,6.7,4.5,30230,20,896,4,0.45,0.22,1026|9734|51564|150383,CDKN1A|HDAC9|HDAC7|CDPF1,-0.84,0
1,-2.6,TRR00705,M1,1,0,TRRUST,34,Regulated by: LEF1,,-2.6,5.1,4.1,30230,33,896,5,0.56,0.25,595|1113|4286|6925|6934,CCND1|CHGA|MITF|TCF4|TCF7L2,-0.83,0
1,-2.4,TRR01402,M1,1,0,TRRUST,34,Regulated by: TFAP2C,,-2.4,9.2,4.8,30230,11,896,3,0.33,0.19,1026|1475|150383,CDKN1A|CSTA|CDPF1,-0.74,0
1,-2.4,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-2.4,2.6,3.3,30230,144,896,11,1.2,0.37,595|1026|1028|2067|2073|4863|23368|56776|56998|146059|150383,CCND1|CDKN1A|CDKN1C|ERCC1|ERCC5|NPAT|PPP1R13B|FMN2|CTNNBIP1|CDAN1|CDPF1,-0.72,0
1,-2.4,TRR01047,M1,1,0,TRRUST,34,Regulated by: PML,,-2.4,5.9,4.1,30230,23,896,4,0.45,0.22,595|904|1026|150383,CCND1|CCNT1|CDKN1A|CDPF1,-0.69,0
1,-2.3,TRR01150,M1,1,0,TRRUST,34,Regulated by: RB1,,-2.3,4.6,3.8,30230,37,896,5,0.56,0.25,1026|1997|3479|84337|150383,CDKN1A|ELF1|IGF1|ELOF1|CDPF1,-0.68,0
1,-2.3,TRR00894,M1,1,0,TRRUST,34,Regulated by: NPM1,,-2.3,8.4,4.5,30230,12,896,3,0.33,0.19,595|1026|150383,CCND1|CDKN1A|CDPF1,-0.67,0
1,-2.1,TRR00232,M1,1,0,TRRUST,34,Regulated by: E2F3,,-2.1,7.2,4.1,30230,14,896,3,0.33,0.19,1026|7030|150383,CDKN1A|TFE3|CDPF1,-0.54,0
