Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-15,3.1,9.8,30230,680,896,63,7,0.85,71|715|868|1265|1307|1634|1948|2791|3487|4052|4060|4810|4854|5782|5978|6001|6383|6464|6747|6909|6925|7041|7145|7456|8496|8553|10082|10413|10631|11030|23528|25937|25959|25960|26471|30011|30850|51129|51132|51177|51199|51303|51564|54434|57584|57608|57636|64285|79834|81555|83892|84668|85456|89796|94031|112464|114990|140809|151887|170954|219654|284297|359845,ACTG1|C1R|CBLB|CNN2|COL16A1|DCN|EFNB2|GNG11|IGFBP4|LTBP1|LUM|NHS|NOTCH3|PTPN12|REST|RGS10|SDC2|SHC1|SSR3|TBX2|TCF4|TGFB1I1|TNS1|WIPF1|PPFIBP1|BHLHE40|GPC6|YAP1|POSTN|RBPMS|ZNF281|WWTR1|KANK2|ADGRA2|NUPR1|SH3KBP1|CDR2L|ANGPTL4|RLIM|PLEKHO1|NIN|FKBP11|HDAC7|SSH1|ARHGAP21|JCAD|ARHGAP23|RHBDF1|PEAK1|YIPF5|KCTD10|HYCC1|TNKS1BP1|NAV1|HTRA3|CAVIN3|VASN|SRXN1|CCDC80|PPP1R18|ZCCHC24|SSC5D|RFLNB,-10,MyList
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-14,3,9.6,30230,765,896,67,7.5,0.88,715|730|858|862|1307|1634|1947|2619|2687|2737|2824|3400|3487|3489|3667|4060|4291|4634|4685|4854|5118|5806|6096|6387|6529|6764|7092|7424|7703|7802|9547|9843|10252|10413|11117|11135|22871|23767|25937|25987|26471|27147|51129|54510|55243|57333|57664|64129|64285|64856|80274|80303|80760|83987|85456|112464|114990|119587|127435|140606|148170|148398|151887|219654|220965|255743|337876,C1R|C7|CAV2|RUNX1T1|COL16A1|DCN|EFNB1|GAS1|GGT5|GLI3|GPM6B|ID4|IGFBP4|IGFBP6|IRS1|LUM|MLF1|MYL3|NCAM2|NOTCH3|PCOLCE|PTX3|RORB|CXCL12|SLC6A1|DENND2B|TLL1|VEGFC|PCGF2|DNALI1|CXCL14|HEPH|SPRY1|YAP1|EMILIN1|CDC42EP1|NLGN1|FLRT3|WWTR1|TSKU|NUPR1|DENND2A|ANGPTL4|PCDH18|KIRREL1|RCN3|PLEKHA4|TINAGL1|RHBDF1|VWA1|SCUBE1|EFHD1|ITIH5|CCDC8|TNKS1BP1|CAVIN3|VASN|CPXM2|PODN|SELENOM|CDC42EP5|SAMD11|CCDC80|ZCCHC24|FAM13C|NPNT|CHSY3,-10,MyList
Cell Type Signatures,7,M39052,MANNO MIDBRAIN NEUROTYPES HOPC,,-12,3.7,9,30230,366,896,40,4.5,0.69,460|575|1501|1997|2077|2824|3479|3707|4299|4661|4685|5098|5662|6529|6660|7145|8641|9289|9813|22871|22986|22997|30812|51286|53826|55553|55872|57348|57555|57636|63827|79006|79870|84441|84631|143282|152503|219654|220296|256643,ASTN1|ADGRB1|CTNND2|ELF1|ERF|GPM6B|IGF1|ITPKB|AFF1|MYT1|NCAM2|PCDHGC3|PSD|SLC6A1|SOX5|TNS1|PCDHGB4|ADGRG1|EFCAB14|NLGN1|SORCS3|IGSF9B|SOX8|CEND1|FXYD6|SOX6|PBK|TTYH1|NLGN2|ARHGAP23|BCAN|METRN|BAALC|MAML2|SLITRK2|FGFBP3|SH3D19|ZCCHC24|HEPACAM|BCLAF3,-7.8,MyList
Transcription Factor Targets,16,M946,GGATTA PITX2 Q2,,-11,3,8.4,30230,594,896,52,5.8,0.78,730|862|2824|3321|4052|4286|4300|5076|5662|6091|6522|6777|6792|6925|7145|7227|8496|9854|10150|10529|11030|22807|23528|23767|25792|26037|26103|51271|54714|56849|57010|57468|57512|57630|57804|64111|65056|79047|83451|84530|84631|90187|94137|112752|116224|140890|151887|153222|159195|339302|344658|359845,C7|RUNX1T1|GPM6B|IGSF3|LTBP1|MITF|MLLT3|PAX2|PSD|ROBO1|SLC4A2|STAT5B|CDKL5|TCF4|TNS1|TRPS1|PPFIBP1|C2CD2L|MBNL2|NEBL|RBPMS|IKZF2|ZNF281|FLRT3|CIZ1|SIPA1L1|LRIT1|UBAP1|CNGB3|TCEAL7|CABP4|SLC12A5|GPR158|SH3RF1|POLD4|NPVF|GPBP1|KCTD15|ABHD11|SRRM4|SLITRK2|EMILIN3|RP1L1|IFT43|PABIR1|SREK1|CCDC80|CREBRF|USP54|CPLX4|SAMD7|RFLNB,-7.4,MyList
Cell Type Signatures,7,M39167,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-11,3.1,8.5,30230,505,896,47,5.2,0.74,715|858|1634|2687|2737|2791|2869|3489|4060|4854|5118|6320|6383|6387|6909|6925|7145|9411|9547|10082|10398|10631|11030|11117|11170|25937|25959|25960|53826|54510|55243|55553|56548|56977|57608|57664|80310|80760|83987|112464|112574|151887|170954|219654|220965|253827|359845,C1R|CAV2|DCN|GGT5|GLI3|GNG11|GRK5|IGFBP6|LUM|NOTCH3|PCOLCE|CLEC11A|SDC2|CXCL12|TBX2|TCF4|TNS1|ARHGAP29|CXCL14|GPC6|MYL9|POSTN|RBPMS|EMILIN1|FAM107A|WWTR1|KANK2|ADGRA2|FXYD6|PCDH18|KIRREL1|SOX6|CHST7|STOX2|JCAD|PLEKHA4|PDGFD|ITIH5|CCDC8|CAVIN3|SNX18|CCDC80|PPP1R18|ZCCHC24|FAM13C|MSRB3|RFLNB,-7.4,MyList
Cell Type Signatures,7,M40313,DESCARTES FETAL THYMUS STROMAL CELLS,,-11,5.7,9.6,30230,137,896,23,2.6,0.53,715|1634|2619|2719|4060|4685|4969|5099|5118|6320|8425|10078|10631|11117|54507|55033|57333|57683|83987|94031|151887|158038|284297,C1R|DCN|GAS1|GPC3|LUM|NCAM2|OGN|PCDH7|PCOLCE|CLEC11A|LTBP4|TSSC4|POSTN|EMILIN1|ADAMTSL4|FKBP14|RCN3|ZDBF2|CCDC8|HTRA3|CCDC80|LINGO2|SSC5D,-7,MyList
DisGeNET,35,C0014772,Red Blood Cell Count measurement,,-11,2.7,8,30230,717,896,57,6.4,0.82,605|665|705|1489|1611|2122|4286|4299|6239|6387|6522|6764|7059|7145|7227|7942|8766|9107|9811|10723|11346|22864|22983|23112|23368|27086|29911|51070|51599|54806|55553|55589|56181|56478|57337|57479|57619|57690|79058|81558|83546|83860|83986|84444|84969|85302|90355|91289|129685|147339|152485|192668|252983|254102|284058|388588|400916,BCL7A|BNIP3L|BYSL|CTF1|DAP|MECOM|MITF|AFF1|RREB1|CXCL12|SLC4A2|DENND2B|THBS3|TNS1|TRPS1|TFEB|RAB11A|MTMR6|CTIF|SLC12A7|SYNPO|R3HDM2|MAST1|TNRC6B|PPP1R13B|FOXP1|HOOK2|NOSIP|LSR|AHI1|SOX6|BMP2K|MTFR1L|EIF4ENIF1|SENP7|PRR12|SHROOM3|TNRC6C|ASPSCR1|FAM117A|RTBDN|TAF3|FAM234A|DOT1L|TOX2|FBF1|MACIR|LMF2|TAF8|ARK2N|ZNF827|CYS1|STXBP4|EHBP1L1|KANSL1|SMIM1|CHCHD10,-7,MyList
Cell Type Signatures,7,M39264,HU FETAL RETINA FIBROBLAST,,-11,3.4,8.3,30230,385,896,39,4.4,0.68,715|1634|1947|1948|2791|3046|3133|3487|3489|4060|4267|4810|4854|4969|5118|6281|6383|6387|6925|7041|8425|9411|10398|10602|11117|11135|23767|25937|25959|27086|54510|54751|56265|79047|80274|90488|90843|151887|221477,C1R|DCN|EFNB1|EFNB2|GNG11|HBE1|HLA-E|IGFBP4|IGFBP6|LUM|CD99|NHS|NOTCH3|OGN|PCOLCE|S100A10|SDC2|CXCL12|TCF4|TGFB1I1|LTBP4|ARHGAP29|MYL9|CDC42EP3|EMILIN1|CDC42EP1|FLRT3|WWTR1|KANK2|FOXP1|PCDH18|FBLIM1|CPXM1|KCTD15|SCUBE1|TMEM263|TCEAL8|CCDC80|C6orf89,-6.9,MyList
Transcription Factor Targets,16,M10112,RNGTGGGC UNKNOWN,,-10,2.5,7.6,30230,784,896,59,6.6,0.83,320|595|607|868|972|1946|1947|1949|2002|2049|2077|2719|3707|4335|4739|4810|4900|5118|5126|6457|6522|6764|6792|7041|7092|7942|8766|9289|10749|10849|11143|11276|11278|23518|23767|27086|27153|29903|29997|30011|50487|51599|55028|57468|57513|57630|57649|65078|65083|79047|83546|84254|84530|124790|127733|136227|151647|153222|220296,APBA1|CCND1|BCL9|CBLB|CD74|EFNA5|EFNB1|EFNB3|ELK1|EPHB3|ERF|GPC3|ITPKB|MNT|NEDD9|NHS|NRGN|PCOLCE|PCSK2|SH3GL3|SLC4A2|DENND2B|CDKL5|TGFB1I1|TLL1|TFEB|RAB11A|ADGRG1|KIF1C|POLR1G|KAT7|SYNRG|KLF12|R3HDM1|FLRT3|FOXP1|ZNF777|CCDC106|NOP53|SH3KBP1|PLA2G3|LSR|MTNAP1|SLC12A5|CASKIN2|SH3RF1|PHF12|RTN4R|NOL6|KCTD15|RTBDN|CAMKK1|SRRM4|HEXIM2|UBXN10|COL26A1|TAFA4|CREBRF|HEPACAM,-6.6,MyList
Cell Type Signatures,7,M39104,ZHONG PFC C3 MICROGLIA,,-9.6,3,7.7,30230,488,896,43,4.8,0.71,166|862|1979|2039|2044|4062|4300|4756|5361|6925|8496|8660|9811|10133|10297|10602|11278|22983|27086|51308|51335|53822|55095|55859|56776|57690|64219|65009|65265|79058|79608|79870|81706|84530|89796|114787|140597|157695|266727|317781|375449|552889|728568,TLE5|RUNX1T1|EIF4EBP2|DMTN|EPHA5|LY6H|MLLT3|NEO1|PLXNA1|TCF4|PPFIBP1|IRS2|CTIF|OPTN|APC2|CDC42EP3|KLF12|MAST1|FOXP1|REEP2|NGRN|FXYD7|SAMD4B|BEX1|FMN2|TNRC6C|PJA1|NDRG4|C8orf33|ASPSCR1|RIC3|BAALC|PPP1R14C|SRRM4|NAV1|GPRIN1|TCEAL2|TDRP|MDGA1|DDX51|MAST4|ATXN7L3B|UQCC6,-6.1,MyList
