_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,C0014772,M1,1,0,DisGeNET,35,Red Blood Cell Count measurement,,-11,2.7,8,30230,717,896,57,6.4,0.82,605|665|705|1489|1611|2122|4286|4299|6239|6387|6522|6764|7059|7145|7227|7942|8766|9107|9811|10723|11346|22864|22983|23112|23368|27086|29911|51070|51599|54806|55553|55589|56181|56478|57337|57479|57619|57690|79058|81558|83546|83860|83986|84444|84969|85302|90355|91289|129685|147339|152485|192668|252983|254102|284058|388588|400916,BCL7A|BNIP3L|BYSL|CTF1|DAP|MECOM|MITF|AFF1|RREB1|CXCL12|SLC4A2|DENND2B|THBS3|TNS1|TRPS1|TFEB|RAB11A|MTMR6|CTIF|SLC12A7|SYNPO|R3HDM2|MAST1|TNRC6B|PPP1R13B|FOXP1|HOOK2|NOSIP|LSR|AHI1|SOX6|BMP2K|MTFR1L|EIF4ENIF1|SENP7|PRR12|SHROOM3|TNRC6C|ASPSCR1|FAM117A|RTBDN|TAF3|FAM234A|DOT1L|TOX2|FBF1|MACIR|LMF2|TAF8|ARK2N|ZNF827|CYS1|STXBP4|EHBP1L1|KANSL1|SMIM1|CHCHD10,-7,0
1,-7.7,C0021704,M1,1,0,DisGeNET,35,Intelligence,,-7.7,2.5,6.5,30230,645,896,47,5.2,0.74,320|575|665|862|1307|1946|2044|2104|3697|4299|4900|6047|6787|6925|6942|8766|8861|9745|10010|22927|22983|22986|22997|27086|29855|29911|50485|54820|54901|56987|57512|57591|58493|64084|64129|64375|79884|84441|84444|84901|89796|113263|114800|140733|200186|284058|285672,APBA1|ADGRB1|BNIP3L|RUNX1T1|COL16A1|EFNA5|EPHA5|ESRRG|ITIH1|AFF1|NRGN|RNF4|NEK4|TCF4|TCF20|RAB11A|LDB1|ZNF536|TANK|HABP4|MAST1|SORCS3|IGSF9B|FOXP1|UBN1|HOOK2|SMARCAL1|NDE1|CDKAL1|BBX|GPR158|MRTFA|INIP|CLSTN2|TINAGL1|IKZF4|MAP9|MAML2|DOT1L|NFATC2IP|NAV1|GLCCI1|CCDC85A|MACROD2|CRTC2|KANSL1|SREK1IP1,-4.6,0
1,-6.6,C0206682,M1,1,0,DisGeNET,35,Follicular thyroid carcinoma,,-6.6,3.1,6.3,30230,293,896,27,3,0.57,664|858|1028|1636|2067|2158|2662|2719|3014|3082|3383|3489|4288|4854|4969|5126|6281|6387|6692|7424|7903|10631|10653|26471|51129|80774|94031,BNIP3|CAV2|CDKN1C|ACE|ERCC1|F9|GDF10|GPC3|H2AX|HGF|ICAM1|IGFBP6|MKI67|NOTCH3|OGN|PCSK2|S100A10|CXCL12|SPINT1|VEGFC|ST8SIA4|POSTN|SPINT2|NUPR1|ANGPTL4|LIMD2|HTRA3,-3.8,0
1,-5.4,C0202117,M1,1,0,DisGeNET,35,Low density lipoprotein cholesterol measurement,,-5.4,2.4,5.3,30230,483,896,34,3.8,0.64,350|1636|2039|2122|3083|3383|3667|4286|4703|5125|6002|6934|6938|7200|7227|8897|9388|9530|9611|9846|10082|23051|23301|54815|54901|55553|56776|57094|57523|64599|64897|85463|94137|144108,APOH|ACE|DMTN|MECOM|HGFAC|ICAM1|IRS1|MITF|NEB|PCSK5|RGS12|TCF7L2|TCF12|TRH|TRPS1|MTMR3|LIPG|BAG4|NCOR1|GAB2|GPC6|ZHX3|EHBP1|GATAD2A|CDKAL1|SOX6|FMN2|CPA6|NYNRIN|GIGYF1|C12orf43|ZC3H12C|RP1L1|SPTY2D1,-2.8,0
1,-5.4,C4528257,M1,1,0,DisGeNET,35,Corpuscular Hemoglobin Concentration Mean,,-5.4,2.5,5.4,30230,401,896,30,3.3,0.6,705|1489|1501|3046|4299|6764|7942|8766|10723|22983|23331|29911|55815|56006|57010|57035|57649|64285|64599|83546|83986|84080|84444|84988|91289|129685|147339|254102|284058|388588,BYSL|CTF1|CTNND2|HBE1|AFF1|DENND2B|TFEB|RAB11A|SLC12A7|MAST1|TTC28|HOOK2|TSNAXIP1|SMG9|CABP4|RSRP1|PHF12|RHBDF1|GIGYF1|RTBDN|FAM234A|ENKD1|DOT1L|PPP1R16A|LMF2|TAF8|ARK2N|EHBP1L1|KANSL1|SMIM1,-2.8,0
1,-5.1,C0427460,M1,1,0,DisGeNET,35,Red cell distribution width determination,,-5.1,2.2,5,30230,593,896,38,4.2,0.67,665|2122|3046|4756|6764|8660|9139|9326|9388|10524|10723|22864|22983|23301|25959|29911|51129|51274|54806|54815|55553|55589|55596|57035|57512|57636|57724|65980|81558|83986|84079|84969|126526|147339|254102|284058|375449|388588,BNIP3L|MECOM|HBE1|NEO1|DENND2B|IRS2|CBFA2T2|ZNHIT3|LIPG|KAT5|SLC12A7|R3HDM2|MAST1|EHBP1|KANK2|HOOK2|ANGPTL4|KLF3|AHI1|GATAD2A|SOX6|BMP2K|ZCCHC8|RSRP1|GPR158|ARHGAP23|EPG5|BRD9|FAM117A|FAM234A|ANKRD27|TOX2|C19orf47|ARK2N|EHBP1L1|KANSL1|MAST4|SMIM1,-2.6,0
1,-5.1,C1304746,M1,1,0,DisGeNET,35,RDW - Red blood cell distribution width result,,-5.1,2.2,5,30230,593,896,38,4.2,0.67,665|2122|3046|4756|6764|8660|9139|9326|9388|10524|10723|22864|22983|23301|25959|29911|51129|51274|54806|54815|55553|55589|55596|57035|57512|57636|57724|65980|81558|83986|84079|84969|126526|147339|254102|284058|375449|388588,BNIP3L|MECOM|HBE1|NEO1|DENND2B|IRS2|CBFA2T2|ZNHIT3|LIPG|KAT5|SLC12A7|R3HDM2|MAST1|EHBP1|KANK2|HOOK2|ANGPTL4|KLF3|AHI1|GATAD2A|SOX6|BMP2K|ZCCHC8|RSRP1|GPR158|ARHGAP23|EPG5|BRD9|FAM117A|FAM234A|ANKRD27|TOX2|C19orf47|ARK2N|EHBP1L1|KANSL1|MAST4|SMIM1,-2.6,0
1,-5,C3896643,M1,1,0,DisGeNET,35,New Onset Diabetes After Transplant,,-5,22,9.2,30230,6,896,4,0.45,0.22,3667|6934|8660|200186,IRS1|TCF7L2|IRS2|CRTC2,-2.5,0
1,-4.8,C1314691,M1,1,0,DisGeNET,35,Age at menarche,,-4.8,2.8,5.1,30230,267,896,22,2.5,0.52,705|2044|5126|6096|6660|6925|7799|9325|9705|9846|10150|11278|23373|51720|54901|55663|60676|114800|124565|140733|252983|285672,BYSL|EPHA5|PCSK2|RORB|SOX5|TCF4|PRDM2|TRIP4|ST18|GAB2|MBNL2|KLF12|CRTC1|UIMC1|CDKAL1|ZNF446|PAPPA2|CCDC85A|SLC38A10|MACROD2|STXBP4|SREK1IP1,-2.3,0
1,-4.6,C0017654,M1,1,0,DisGeNET,35,Glomerular Filtration Rate,,-4.6,2.4,4.8,30230,399,896,28,3.1,0.58,735|868|2122|3083|4300|4703|4772|6002|6239|6660|6792|6909|7059|7092|7942|8897|9846|22864|23054|23373|27125|27297|29079|55833|57591|57619|84138|140733,C9|CBLB|MECOM|HGFAC|MLLT3|NEB|NFATC1|RGS12|RREB1|SOX5|CDKL5|TBX2|THBS3|TLL1|TFEB|MTMR3|GAB2|R3HDM2|NCOA6|CRTC1|AFF4|CRCP|MED4|UBAP2|MRTFA|SHROOM3|SLC7A6OS|MACROD2,-2.2,0
