_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.6,PGB:00065,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-3.6,2.1,4.1,30230,452,896,28,3.1,0.58,1311|1501|2662|2824|3321|3489|4155|4501|4653|4703|4744|4885|5125|5361|6489|6769|7060|9745|10297|10529|11030|22986|23208|29903|51308|65009|65055|113146,COMP|CTNND2|GDF10|GPM6B|IGSF3|IGFBP6|MBP|MT1X|MYOC|NEB|NEFH|NPTX2|PCSK5|PLXNA1|ST8SIA1|STAC|THBS4|ZNF536|APC2|NEBL|RBPMS|SORCS3|SYT11|CCDC106|REEP2|NDRG4|REEP1|AHNAK2,-1.5,0
1,-3.2,PGB:00033,M1,1,0,PaGenBase,36,Tissue-specific: thyroid,,-3.2,2.5,3.9,30230,233,896,17,1.9,0.46,862|3400|3622|3667|4703|5126|6383|6482|6792|7136|7903|8751|9388|55859|81706|284297|440073,RUNX1T1|ID4|ING2|IRS1|NEB|PCSK2|SDC2|ST3GAL1|CDKL5|TNNI2|ST8SIA4|ADAM15|LIPG|BEX1|PPP1R14C|SSC5D|IQSEC3,-1.3,0
1,-3.1,PGB:00053,M1,1,0,PaGenBase,36,Tissue-specific: Prefrontal Cortex,,-3.1,14,6.2,30230,7,896,3,0.33,0.19,6925|6934|114787,TCF4|TCF7L2|GPRIN1,-1.2,0
1,-3,PGB:00067,M1,1,0,PaGenBase,36,Cell-specific: Testis Germ Cell,,-3,3.5,4.1,30230,87,896,9,1,0.33,1113|2861|3400|4885|6457|6764|23627|65055|140597,CHGA|GPR37|ID4|NPTX2|SH3GL3|DENND2B|PRND|REEP1|TCEAL2,-1.1,0
1,-2.6,PGB:00094,M1,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-2.6,2.7,3.5,30230,137,896,11,1.2,0.37,858|1824|3321|3667|4501|6692|7424|9388|23767|81706|113146,CAV2|DSC2|IGSF3|IRS1|MT1X|SPINT1|VEGFC|LIPG|FLRT3|PPP1R14C|AHNAK2,-0.83,0
1,-2.4,PGB:00022,M1,1,0,PaGenBase,36,Tissue-specific: Thalamus,,-2.4,6.1,4.2,30230,22,896,4,0.45,0.22,320|6934|9607|284058,APBA1|TCF7L2|CARTPT|KANSL1,-0.74,0
1,-2.4,PGB:00080,M1,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-2.4,2.6,3.3,30230,145,896,11,1.2,0.37,715|1311|1634|2619|3487|4060|4311|5118|6383|25987|54510,C1R|COMP|DCN|GAS1|IGFBP4|LUM|MME|PCOLCE|SDC2|TSKU|PCDH18,-0.71,0
1,-2.1,PGB:00133,M1,1,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-2.1,3.4,3.2,30230,60,896,6,0.67,0.27,2791|9411|10631|25937|57575|81555,GNG11|ARHGAP29|POSTN|WWTR1|PCDH10|YIPF5,-0.49,0
