"Condition","n_proteins_with_CV","median_CV","mean_CV","q25_CV","q75_CV"
"Acute RDH12 Veh",6731,20.4660403552502,22.6652739079024,13.0676632891509,29.7982241236897
"Acute RDH12 100 µM",7736,11.4713513098315,13.0727184874127,6.9580489920761,17.3239876453179
"Acute RDH12 200 µM",7621,30.9644263646144,38.2823413618629,15.885801574442,54.4543387790794
"Recovery RDH12 Veh",7521,12.9740061338571,15.2565076342335,8.28872043851688,19.3055237125726
"Recovery RDH12 100 µM",7521,11.9361763447453,15.2220076271858,6.55607646526625,20.9150032848847
"Recovery RDH12 200 µM",7457,14.5740177146287,18.4018829999834,8.64587853890392,24.7359199726897
"Recovery WT Veh",7533,12.8276576824079,15.9636172505031,7.99557497960719,20.2710258397782
"Recovery WT 100 µM",7480,14.9736464010776,18.4440212613589,9.05393238872662,24.014442608116
"Recovery WT 200 µM",7400,15.0492994079167,17.6351151884426,9.56084682905806,22.379811702449
